<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AACIU.US,D,20240202,000000,9.8,10.92,9.8,10.9,1655,0
AACIU.US,D,20240318,000000,11.12,11.12,11.12,11.12,574,0
AACIU.US,D,20240320,000000,12.08,13.2,11.5,11.51,1158,0
AACIU.US,D,20240327,000000,11.45,12,11.4,11.9,3628,0
AACIU.US,D,20240328,000000,12.5,12.5,11.06,11.06,2480,0
AACIU.US,D,20240404,000000,11.07,11.07,11.07,11.07,512,0
AACIU.US,D,20240405,000000,11.07,11.1,11.01,11.01,924,0
AACIU.US,D,20240510,000000,11.17,11.17,11.17,11.17,147,0
AACIU.US,D,20240513,000000,11.59,11.59,11.59,11.59,404,0
AACIU.US,D,20240514,000000,11.59,11.59,10.45,11.11,2700,0
AACIU.US,D,20240515,000000,11.43,11.43,11.43,11.43,100,0
AACIU.US,D,20240606,000000,11.43,11.44,11.43,11.43,2300,0
AACIU.US,D,20240715,000000,11.93,11.93,11.93,11.93,244,0
AACIU.US,D,20240724,000000,11.09,11.09,11.09,11.09,300,0
AACIU.US,D,20240730,000000,11,11,10.99,10.99,394,0
AACIU.US,D,20240801,000000,10.99,10.99,10.99,10.99,615,0
AACIU.US,D,20240802,000000,11.83,14.76,10.08,11.45,14673,0
AACIU.US,D,20240805,000000,10.31,13.97,10.01,12.7,16922,0
AACIU.US,D,20240806,000000,11.26,13.5,11.26,13.1,6211,0
AACIU.US,D,20240808,000000,11.79,15,11.08,11.98,15269,0
AACIU.US,D,20240809,000000,11.9,11.9,10.85,11.7,1206,0
AACIU.US,D,20240812,000000,10.85,10.85,10.85,10.85,204,0
AACIU.US,D,20240813,000000,10.75,11.33,10.75,11.33,608,0
AACIU.US,D,20240814,000000,10.95,14.16,10.81,11.51,34429,0
AACIU.US,D,20240815,000000,11.05,11.05,10.5,11,1960,0
