<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACACU.US,D,20230822,000000,11,11,10.927,11,4800,0
ACACU.US,D,20230830,000000,10.99,11.14,10.99,11.14,1225,0
ACACU.US,D,20230905,000000,11,11,11,11,360,0
ACACU.US,D,20230906,000000,10.85,10.94,10.85,10.93,21167,0
ACACU.US,D,20230912,000000,10.92,10.99,10.92,10.98,5101,0
ACACU.US,D,20230913,000000,10.99,11.53,10.99,11.53,300,0
ACACU.US,D,20230914,000000,10.99,10.99,10.99,10.99,100,0
ACACU.US,D,20230922,000000,11.88,11.88,11.88,11.88,100,0
ACACU.US,D,20230925,000000,11.4,11.4,11.4,11.4,100,0
ACACU.US,D,20230926,000000,12.22,12.22,12.22,12.22,100,0
ACACU.US,D,20230929,000000,11.1,11.1,11.02,11.02,200,0
ACACU.US,D,20231002,000000,11,11.02,10.97,11.02,1200,0
ACACU.US,D,20231004,000000,10.97,10.97,10.97,10.97,400,0
ACACU.US,D,20231016,000000,10.98,11.33,10.97,10.98,2000,0
ACACU.US,D,20231025,000000,11.1,11.3585,10.97,10.98,12700,0
ACACU.US,D,20231027,000000,11.1,11.1,10.97,10.98,700,0
ACACU.US,D,20231030,000000,10.9701,11.87,10.97,11.1,5939,0
ACACU.US,D,20231031,000000,11.1,11.11,10.97,10.97,3949,0
ACACU.US,D,20231107,000000,10.97,10.97,10.97,10.97,869,0
ACACU.US,D,20231108,000000,10.97,10.9701,10.97,10.9701,200,0
ACACU.US,D,20231110,000000,10.97,10.99,10.97,10.99,300,0
ACACU.US,D,20231120,000000,11.02,11.02,11.02,11.02,100,0
ACACU.US,D,20231127,000000,11.89,11.89,10.97,10.97,1236,0
ACACU.US,D,20231129,000000,10.99,10.99,10.98,10.98,236,0
ACACU.US,D,20231219,000000,11.04,11.04,11.04,11.04,1000,0
ACACU.US,D,20240108,000000,11.856,11.856,11.856,11.856,350,0
ACACU.US,D,20240119,000000,11.79,11.79,11.79,11.79,168,0
ACACU.US,D,20240123,000000,11.35,11.35,11.35,11.35,168,0
ACACU.US,D,20240131,000000,10.98,10.98,10.9718,10.9718,385,0
ACACU.US,D,20240207,000000,11.1,11.1,11.1,11.1,100,0
ACACU.US,D,20240402,000000,11.21,11.29,11.1459,11.29,9100,0
ACACU.US,D,20240415,000000,11.78,11.78,11.78,11.78,100,0
ACACU.US,D,20240418,000000,11.6,11.6,11.6,11.6,100,0
ACACU.US,D,20240503,000000,11.65,11.65,11.65,11.65,100,0
ACACU.US,D,20240523,000000,11.77,11.77,11.77,11.77,114,0
ACACU.US,D,20240627,000000,12.21,12.21,12.21,12.21,100,0
ACACU.US,D,20240628,000000,12.16,12.16,12.16,12.16,100,0
ACACU.US,D,20240701,000000,12.16,12.16,12.16,12.16,100,0
ACACU.US,D,20240709,000000,11.78,11.78,11.78,11.78,100,0
ACACU.US,D,20240718,000000,11.6,12.41,11.41,11.96,1208,0
ACACU.US,D,20240814,000000,12,12,11.67,11.67,300,0
ACACU.US,D,20240820,000000,11.84,11.84,11.8,11.8,515,0
ACACU.US,D,20240821,000000,11.7,11.8,11.7,11.79,507,0
ACACU.US,D,20240822,000000,11.42,12,11.35,11.75,1241,0
ACACU.US,D,20240823,000000,10.91,16.49,10.91,13.69,17397,0
ACACU.US,D,20240826,000000,12.51,15.44,12.25,13.99,14822,0
ACACU.US,D,20240827,000000,12,12,11.32,11.73,1070,0
ACACU.US,D,20240828,000000,11.93,12.9,11.93,12.9,1456,0
ACACU.US,D,20240830,000000,12.17,12.17,12.16,12.16,300,0
ACACU.US,D,20240913,000000,12,14.9,11.01,13.03,10220,0
ACACU.US,D,20240916,000000,13.1,13.59,12.875,12.875,657,0
ACACU.US,D,20240917,000000,13.09,13.98,12,13.01,7785,0
ACACU.US,D,20240918,000000,13.49,13.49,13.03,13.03,1719,0
ACACU.US,D,20240919,000000,12.95,13.07,12.95,13.07,734,0
ACACU.US,D,20240920,000000,12.94,15,12.36,13.28,5017,0
ACACU.US,D,20240926,000000,12.94,12.94,12.94,12.94,404,0
