<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACON.US,D,20220422,000000,46.4,52.64,34.56,43.52,106566.4375,0
ACON.US,D,20220425,000000,41.12,52.32,37.76,40.8,184806,0
ACON.US,D,20220426,000000,36,40.96,34.24,39.2,58447.1875,0
ACON.US,D,20220427,000000,34.4,64.8,33.6,37.44,991922.4375,0
ACON.US,D,20220428,000000,36.16,44,34.56,34.7216,119559.1875,0
ACON.US,D,20220429,000000,32.64,37.44,28.96,33.12,58717.75,0
ACON.US,D,20220502,000000,32.16,35.68,28.96,29.12,39817.9375,0
ACON.US,D,20220503,000000,29.12,32.8,26.24,27.52,41078.1875,0
ACON.US,D,20220504,000000,32.48,40.16,30.88,37.6,2001166.5625,0
ACON.US,D,20220505,000000,34.72,36.7008,32,33.92,74860.125,0
ACON.US,D,20220506,000000,32.96,38.72,32.16,32.16,79520.6875,0
ACON.US,D,20220509,000000,30.72,32.0864,28.48,30.72,16325.375,0
ACON.US,D,20220510,000000,29.6,30.88,25.6,28,26822.875,0
ACON.US,D,20220511,000000,27.52,29.44,23.52,23.68,27497.75,0
ACON.US,D,20220512,000000,23.2,23.52,20.16,21.44,9579.25,0
ACON.US,D,20220513,000000,20.16,24.8,20.16,23.36,9414,0
ACON.US,D,20220516,000000,23.04,23.68,21.8272,22.08,2932,0
ACON.US,D,20220517,000000,21.76,23.2,21.28,22.56,5102.8125,0
ACON.US,D,20220518,000000,21.6,24.32,21.6,24,6275.625,0
ACON.US,D,20220519,000000,24.8,28,23.36,28,17172.5,0
ACON.US,D,20220520,000000,26.4,31.84,26.4,28.48,8706,0
ACON.US,D,20220523,000000,28.64,30.88,25.76,26.2496,3124.875,0
ACON.US,D,20220524,000000,26.72,28.08,21.6,22.08,8251.5,0
ACON.US,D,20220525,000000,21.28,24.32,20.952,24.16,3368.8125,0
ACON.US,D,20220526,000000,22.56,24,21.6,22.24,5019.1875,0
ACON.US,D,20220527,000000,22.56,23.1392,18.48,20,6824.125,0
ACON.US,D,20220531,000000,19.36,20.32,19.36,20.16,2342.8125,0
ACON.US,D,20220601,000000,21.44,21.76,19.9152,20.4,4924.375,0
ACON.US,D,20220602,000000,19.36,22.08,18.72,19.52,6480.4375,0
ACON.US,D,20220603,000000,19.2,19.52,17.12,17.1696,5143.4375,0
ACON.US,D,20220606,000000,16.64,17.192,15.752,16.64,3794.4375,0
ACON.US,D,20220607,000000,16.16,17.6,15.84,16.32,4098.625,0
ACON.US,D,20220608,000000,15.8304,17.0544,15.8304,16.8,3125.375,0
ACON.US,D,20220609,000000,16.696,17.28,16.32,16.32,3345.8125,0
ACON.US,D,20220610,000000,17.12,17.12,15.696,16.08,4719.0625,0
ACON.US,D,20220613,000000,14.72,16.96,14.08,16.5968,6175.8125,0
ACON.US,D,20220614,000000,16.16,16.8,15.0576,16.8,3385.6875,0
ACON.US,D,20220615,000000,16.32,19.8384,15.376,17.44,34601.6875,0
ACON.US,D,20220616,000000,15.7152,17.36,15.552,15.9952,6088.25,0
ACON.US,D,20220617,000000,16,16.64,14.08,14.08,3953.25,0
ACON.US,D,20220621,000000,14.6912,15.0944,12.52,13.0256,5683,0
ACON.US,D,20220622,000000,15.84,17.6,12.96,13.352,17595.1875,0
ACON.US,D,20220623,000000,13.44,14.9584,13.44,14.1664,5054.25,0
ACON.US,D,20220624,000000,14.08,15.352,14.08,14.4,1947.8125,0
ACON.US,D,20220627,000000,14.776,14.7856,13.9202,14.128,935.625,0
ACON.US,D,20220628,000000,15.12,15.12,13.44,14.0784,2246.25,0
ACON.US,D,20220629,000000,14.96,14.96,13.6,13.7776,1034.6875,0
ACON.US,D,20220630,000000,13.12,16.48,12.8,14.616,29792.3125,0
ACON.US,D,20220701,000000,14.72,14.8768,13.76,14.72,2520.5,0
ACON.US,D,20220705,000000,15.2,15.2,13.6416,14.168,6419,0
ACON.US,D,20220706,000000,14.032,14.856,13.6912,14.08,2980.4375,0
ACON.US,D,20220707,000000,14.4432,14.5968,13.176,13.584,11111.375,0
