<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADGM.US,D,20240802,000000,8.66,9.34,6.56,8.17,272099,0
ADGM.US,D,20240805,000000,6.15,6.7,5.1501,5.9,80117,0
ADGM.US,D,20240806,000000,5.6,5.6,4.8,4.94,37627,0
ADGM.US,D,20240807,000000,4.46,5.4,4,4.9043,26780,0
ADGM.US,D,20240808,000000,4.75,6.78,4.75,5.425,136834,0
ADGM.US,D,20240809,000000,5.26,6.23,4.91,5.8,23774,0
ADGM.US,D,20240812,000000,5.6,5.8,5.24,5.6001,24909,0
ADGM.US,D,20240813,000000,6.4,6.54,5.5,5.86,47604,0
ADGM.US,D,20240814,000000,5.65,5.73,4.99,5.12,31697,0
ADGM.US,D,20240815,000000,5.39,6.38,4.9,5.3,77975,0
ADGM.US,D,20240816,000000,5.7,5.7,5.1,5.42,84464,0
ADGM.US,D,20240819,000000,4.9,6.144,4.9,5.58,40307,0
ADGM.US,D,20240820,000000,5.59,5.8,5.214,5.8,50358,0
ADGM.US,D,20240821,000000,5.42,5.798,5.35,5.37,41188,0
ADGM.US,D,20240822,000000,5.53,5.53,5.11,5.2,60520,0
ADGM.US,D,20240823,000000,5.56,5.56,4.46,5.2,23146,0
ADGM.US,D,20240826,000000,5.4,5.8,5,5.1,17031,0
ADGM.US,D,20240827,000000,5.08,5.25,4.17,4.315,85012,0
ADGM.US,D,20240828,000000,4.37,4.8899,4.34,4.34,6828,0
ADGM.US,D,20240829,000000,4.33,4.74,4.16,4.69,5298,0
ADGM.US,D,20240830,000000,4.5,5.15,4.18,5.15,36019,0
ADGM.US,D,20240903,000000,4.63,4.85,4.545,4.85,3502,0
ADGM.US,D,20240904,000000,4.77,4.77,4.59,4.59,888,0
ADGM.US,D,20240905,000000,4.55,4.6699,4.38,4.38,4601,0
ADGM.US,D,20240906,000000,4.4,4.79,4.13,4.35,11498,0
ADGM.US,D,20240909,000000,4.28,4.38,3.85,4.21,21974,0
ADGM.US,D,20240910,000000,4.2,4.2,3.9,3.9,4802,0
ADGM.US,D,20240911,000000,3.94,4,3.7,3.72,9670,0
ADGM.US,D,20240912,000000,3.8,3.88,3.6345,3.85,5009,0
ADGM.US,D,20240913,000000,3.97,4.14,3.73,4.082,30639,0
ADGM.US,D,20240916,000000,4.1,4.94,3.72,4.2,31632,0
ADGM.US,D,20240917,000000,4.66,4.67,4.185,4.44,152011,0
ADGM.US,D,20240918,000000,4.2651,4.35,3.81,4.26,27431,0
ADGM.US,D,20240919,000000,4.12,4.31,4.03,4.06,5084,0
ADGM.US,D,20240920,000000,3.96,3.9763,3.78,3.85,28715,0
ADGM.US,D,20240923,000000,3.78,4.03,3.49,3.52,10299,0
ADGM.US,D,20240924,000000,3.5,3.7,3.26,3.4352,7871,0
ADGM.US,D,20240925,000000,3.35,3.52,3.17,3.17,47214,0
ADGM.US,D,20240926,000000,3.28,3.42,3.0703,3.42,24997,0
ADGM.US,D,20240927,000000,3.0678,3.11,2.8,2.86,13443,0
ADGM.US,D,20240930,000000,3.155,3.155,2.44,2.58,38752,0
ADGM.US,D,20241001,000000,2.78,3.374,2.6603,2.8039,50957,0
ADGM.US,D,20241002,000000,3.19,3.3,2.81,2.85,16747,0
ADGM.US,D,20241003,000000,3.26,3.44,2.5,2.5195,36583,0
ADGM.US,D,20241004,000000,2.49,2.99,2.4,2.89,38117,0
ADGM.US,D,20241007,000000,2.93,3,2.74,2.8,12888,0
ADGM.US,D,20241008,000000,2.73,2.85,2.6,2.6,5613,0
ADGM.US,D,20241009,000000,2.56,2.91,2.56,2.8,24314,0
ADGM.US,D,20241010,000000,2.9,2.9,2.6501,2.75,2455,0
ADGM.US,D,20241011,000000,2.825,2.825,2.825,2.825,1295,0
ADGM.US,D,20241014,000000,2.86,2.96,2.52,2.8,9308,0
ADGM.US,D,20241015,000000,2.77,2.9266,2.642,2.75,14220,0
ADGM.US,D,20241016,000000,2.59,2.9,2.585,2.875,6974,0
ADGM.US,D,20241017,000000,2.9,3,2.7775,2.875,5695,0
ADGM.US,D,20241018,000000,2.88,2.88,2.8,2.8,2987,0
ADGM.US,D,20241021,000000,2.8,2.8,2.7,2.79,2665,0
ADGM.US,D,20241022,000000,2.8,2.8,2.7,2.7,7293,0
ADGM.US,D,20241023,000000,2.75,3,2.7,2.7,8271,0
ADGM.US,D,20241024,000000,2.7209,2.9857,2.7,2.7,34235,0
ADGM.US,D,20241025,000000,2.7,2.95,2.7,2.9,14555,0
ADGM.US,D,20241028,000000,2.97,3,2.72,2.76,12178,0
ADGM.US,D,20241029,000000,2.9,2.9,2.75,2.8,5894,0
