<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGRI.US,D,20210708,000000,237.5,245,182.5,230.5,73896.14,0
AGRI.US,D,20210709,000000,359.325,422.5,245,280,397357.16,0
AGRI.US,D,20210712,000000,250,257.415,223.5,231,55620.74,0
AGRI.US,D,20210713,000000,220,230,190,197.5,65723.8,0
AGRI.US,D,20210714,000000,210,230,186.5,193,46285.56,0
AGRI.US,D,20210715,000000,190.5,191.5,166,186.5,34034.96,0
AGRI.US,D,20210716,000000,186.5,186.5,162.5,165.5,10453.8,0
AGRI.US,D,20210719,000000,156.5,158.495,146,151.5,14829,0
AGRI.US,D,20210720,000000,152.5,162,146.005,149,15408.74,0
AGRI.US,D,20210721,000000,149,159,147.5,153,12390.16,0
AGRI.US,D,20210722,000000,153,175.5,151.5,163,27472.96,0
AGRI.US,D,20210723,000000,163,191,163,169.5,35538.94,0
AGRI.US,D,20210726,000000,165,172.49,147.5,150.5,13525.48,0
AGRI.US,D,20210727,000000,152.5,155.62,142.5,145.5,4698.24,0
AGRI.US,D,20210728,000000,145,156,143.5,153.5,9244.54,0
AGRI.US,D,20210729,000000,156,169.95,153,157.5,12234.34,0
AGRI.US,D,20210730,000000,155.5,172.5,154,166.5,106530.38,0
AGRI.US,D,20210802,000000,199,205,171,179.5,205393.64,0
AGRI.US,D,20210803,000000,171,182,157.5,173.5,51658.4,0
AGRI.US,D,20210804,000000,162,170,148.5,152.495,14245.7,0
AGRI.US,D,20210805,000000,150.5,160.995,150.5,155.5,13876.36,0
AGRI.US,D,20210806,000000,155.5,156.395,148.505,151.005,7159.14,0
AGRI.US,D,20210809,000000,150.5,158,150,152.5,7113.7,0
AGRI.US,D,20210810,000000,151,159.5,145,147,18317.48,0
AGRI.US,D,20210811,000000,146.5,152.5,144,148.5,5414.42,0
AGRI.US,D,20210812,000000,149,152.5,144.63,145.5,3687.38,0
AGRI.US,D,20210813,000000,145.5,149.5,142.5,144.5,6069.7,0
AGRI.US,D,20210816,000000,142.5,143.875,131.5,132,5795.96,0
AGRI.US,D,20210817,000000,129.215,130,121.25,123.5,4995.56,0
AGRI.US,D,20210818,000000,122.5,131.5,120.5,126.5,8480.06,0
AGRI.US,D,20210819,000000,130.5,130.5,115.75,117.5,12840.08,0
AGRI.US,D,20210820,000000,116.5,119.5,114.5,115,4641.64,0
AGRI.US,D,20210823,000000,115,115.5,109.5,111.5,5984.9,0
AGRI.US,D,20210824,000000,112.5,116.5,109,111.5,4414.92,0
AGRI.US,D,20210825,000000,114,120,111.5,119.5,5462.46,0
AGRI.US,D,20210826,000000,115.5,119.5,115.5,116.5,2581.68,0
AGRI.US,D,20210827,000000,116.5,119.495,114.5,118.5,5067.26,0
AGRI.US,D,20210830,000000,119.5,123.825,115,115,4035,0
AGRI.US,D,20210831,000000,115,118.5,114.15,118,3921.64,0
AGRI.US,D,20210901,000000,119,119,113.25,117,2049.46,0
AGRI.US,D,20210902,000000,117,118,115,116.5,2050.94,0
AGRI.US,D,20210903,000000,115.5,121.5,114.5,120,4194.32,0
AGRI.US,D,20210907,000000,119.5,122.5,116.5,119,2565.42,0
AGRI.US,D,20210908,000000,118.5,119,114,114.5,2015.18,0
AGRI.US,D,20210909,000000,118.5,120,116,119,3652.58,0
AGRI.US,D,20210910,000000,119,128.5,117.5,127.005,15414.22,0
AGRI.US,D,20210913,000000,129.5,134.5,124.5,125.5,6885.08,0
AGRI.US,D,20210914,000000,123.5,124.5,115.5,115.5,8810.82,0
AGRI.US,D,20210915,000000,114.5,148.495,112.5,128.5,113397.98,0
AGRI.US,D,20210916,000000,123,126.5,116,120.5,8406.56,0
AGRI.US,D,20210917,000000,119,121,117.5,118.75,2834.34,0
AGRI.US,D,20210920,000000,116,116.7,112.5,113,2438.8,0
AGRI.US,D,20210921,000000,113,119.5,112.715,115,2102.1,0
AGRI.US,D,20210922,000000,114,117.5,112.5,115.5,2276.84,0
AGRI.US,D,20210923,000000,115.5,120,115,119.5,2226.5,0
AGRI.US,D,20210924,000000,119.5,126.5,116,122.675,7302.24,0
AGRI.US,D,20210927,000000,124,125,116.89,118.5,2753.86,0
AGRI.US,D,20210928,000000,117.5,119,114,116.81,3998.34,0
AGRI.US,D,20210929,000000,115.435,118.475,113.5,115,3018.22,0
AGRI.US,D,20210930,000000,116.5,117,110,111.5,6929.32,0
AGRI.US,D,20211001,000000,111.29,113.5,110,110.75,901.5,0
AGRI.US,D,20211004,000000,111,112,95.5,100.5,3582.42,0
AGRI.US,D,20211005,000000,102.5,105.5,98.505,102,1883.14,0
AGRI.US,D,20211006,000000,101,101,89.52,90,3202.72,0
AGRI.US,D,20211007,000000,92,97,90.985,94,2656.7,0
AGRI.US,D,20211008,000000,94.5,97,91.5,91.5,898.72,0
AGRI.US,D,20211011,000000,97,97,93,94.5,2237,0
AGRI.US,D,20211012,000000,95,97.75,90.5,93,1344.32,0
AGRI.US,D,20211013,000000,94,96,87.53,91,2750.74,0
AGRI.US,D,20211014,000000,92,104,91,99.5,14862.12,0
AGRI.US,D,20211015,000000,101.5,105,96,96,2231.66,0
AGRI.US,D,20211018,000000,97,101.5,95,101.5,2325.38,0
AGRI.US,D,20211019,000000,104,112,101.5,110.5,7473.56,0
AGRI.US,D,20211020,000000,111,115,99.5,105,7860.64,0
AGRI.US,D,20211021,000000,103.5,116.255,103.5,114,5805.76,0
AGRI.US,D,20211022,000000,112.5,113.5,102,102,3932,0
AGRI.US,D,20211025,000000,102,112,102,111.5,3440.96,0
AGRI.US,D,20211026,000000,110.5,110.5,104.1,108,2803.9,0
AGRI.US,D,20211027,000000,108,357.5,108,158.5,5385355.38,0
AGRI.US,D,20211028,000000,140.76,168,132.33,152,182504.54,0
AGRI.US,D,20211029,000000,152,183,146,152.5,108704,0
AGRI.US,D,20211101,000000,153,153,132,135,34082.3,0
AGRI.US,D,20211102,000000,132.5,133.5,118,126.5,19367.32,0
AGRI.US,D,20211103,000000,125.5,126,118.5,118.5,9834.44,0
AGRI.US,D,20211104,000000,121,123.495,115,115,8043.12,0
AGRI.US,D,20211105,000000,115,124.995,114.5,120.5,11936.98,0
AGRI.US,D,20211108,000000,122.5,123,114,114,6686.16,0
AGRI.US,D,20211109,000000,115,117.5,108.555,109.5,9254.44,0
AGRI.US,D,20211110,000000,110,122.5,109.5,111,10675.16,0
AGRI.US,D,20211111,000000,112.5,113.5,106,111.5,5058.6,0
AGRI.US,D,20211112,000000,112.5,119,107.5,116,13478.92,0
AGRI.US,D,20211115,000000,123,137.5,116.5,117.5,29726.54,0
AGRI.US,D,20211116,000000,116.5,117.5,110,114,5615.9,0
AGRI.US,D,20211117,000000,113,115,111.085,113,2758.06,0
AGRI.US,D,20211118,000000,112,113.5,105.5,107,4295.66,0
AGRI.US,D,20211119,000000,105,109.495,102.5,105,4824.6,0
AGRI.US,D,20211122,000000,106.5,109.045,100.5,103.5,3745.44,0
AGRI.US,D,20211123,000000,103.5,106.255,100.5,102.5,3586.02,0
AGRI.US,D,20211124,000000,103.5,111.5,102.5,109,6599.28,0
AGRI.US,D,20211126,000000,107.5,127.5,105.5,119.5,8883.32,0
AGRI.US,D,20211129,000000,116.045,122,104,107.5,6679.08,0
AGRI.US,D,20211130,000000,105,110,103,107.5,4463.36,0
AGRI.US,D,20211201,000000,106,111.395,104,106,5292.16,0
AGRI.US,D,20211202,000000,107,111.5,96.5,101,24472.08,0
AGRI.US,D,20211203,000000,99.5,101.86,96.5,98.21,5253.46,0
AGRI.US,D,20211206,000000,95.5,101.5,93,101.5,4748.86,0
AGRI.US,D,20211207,000000,102.5,106.2,99.505,103,3034.8,0
AGRI.US,D,20211208,000000,104.5,108.5,101.5,106.5,2984.26,0
AGRI.US,D,20211209,000000,109,110.5,106,107.5,2178.3,0
AGRI.US,D,20211210,000000,109.5,111,104,108,2009.62,0
AGRI.US,D,20211213,000000,111,111,102.5,105,2555.68,0
AGRI.US,D,20211214,000000,102.5,108,101,105.5,2638.54,0
AGRI.US,D,20211215,000000,105,109.995,98,108,2662.4,0
AGRI.US,D,20211216,000000,107.5,112.5,105,107,1870.6,0
AGRI.US,D,20211217,000000,108,109.5,102.505,108.5,2097.7,0
AGRI.US,D,20211220,000000,105,108.5,103.88,105,1876.14,0
AGRI.US,D,20211221,000000,107.5,108.5,105,105.5,2040.08,0
AGRI.US,D,20211222,000000,106.5,108,104.5,107,1382.66,0
AGRI.US,D,20211223,000000,106,116.13,105.5,114.5,3200.32,0
AGRI.US,D,20211227,000000,113.5,114.5,111.5,112.5,977.24,0
AGRI.US,D,20211228,000000,112.5,112.5,107.5,108,888.24,0
AGRI.US,D,20211229,000000,109,109.5,96,98,3729.22,0
AGRI.US,D,20211230,000000,96,104.5,96,102.5,1843.96,0
AGRI.US,D,20211231,000000,102.5,105.5,102.085,104,868.78,0
AGRI.US,D,20220103,000000,104,107,102.78,107,867.38,0
AGRI.US,D,20220104,000000,106,106,102.5,105.5,904.78,0
AGRI.US,D,20220105,000000,103,104.25,98.5,99.5,1573.58,0
AGRI.US,D,20220106,000000,99.5,100.545,96,97.5,1343.84,0
AGRI.US,D,20220107,000000,99,99,93.5,95,1884.84,0
AGRI.US,D,20220110,000000,93,94.5,91.12,94,839.56,0
AGRI.US,D,20220111,000000,92.5,99,92.005,98.5,1520.36,0
AGRI.US,D,20220112,000000,99,99.5,95.5,95.5,676.4,0
AGRI.US,D,20220113,000000,94,95,90.5,93.5,1714.28,0
AGRI.US,D,20220114,000000,91.5,93.5,85.5,89.5,2573.38,0
AGRI.US,D,20220118,000000,89,89,81,82,1552.22,0
AGRI.US,D,20220119,000000,82,82.5,80,81.5,1660.54,0
AGRI.US,D,20220120,000000,80.5,82.5,80,80.83,1189.88,0
AGRI.US,D,20220121,000000,81,81,65,67,4609.84,0
AGRI.US,D,20220124,000000,67,67.495,57.75,62,4711.6,0
AGRI.US,D,20220125,000000,58,61.225,57,58,3137.56,0
AGRI.US,D,20220126,000000,58.5,62.55,58,61.5,3001.92,0
AGRI.US,D,20220127,000000,62.5,62.5,56,58.25,3497.86,0
AGRI.US,D,20220128,000000,57,61,57,60.57,1448.24,0
AGRI.US,D,20220131,000000,61,70,61,69,5824.98,0
AGRI.US,D,20220201,000000,71,73.265,64.54,72.5,4595.22,0
AGRI.US,D,20220202,000000,74.5,87.5,73,84,23672.94,0
AGRI.US,D,20220203,000000,82.5,82.5,74,76,5632.72,0
AGRI.US,D,20220204,000000,74,78,73.07,75.5,2644.54,0
AGRI.US,D,20220207,000000,74.5,76.495,64,71,3587.1,0
AGRI.US,D,20220208,000000,71,72,66.505,72,1901.02,0
AGRI.US,D,20220209,000000,68.5,77,68.5,74.5,3539.72,0
AGRI.US,D,20220210,000000,75,80.5,75,79,4348.16,0
AGRI.US,D,20220211,000000,77.5,79.995,76.5,78,1397.76,0
AGRI.US,D,20220214,000000,78,80,76.5,78.5,1696.18,0
AGRI.US,D,20220215,000000,94.5,102,83.5,87.5,468321.62,0
AGRI.US,D,20220216,000000,80,84,76.5,82.5,23747.32,0
AGRI.US,D,20220217,000000,81.5,87.5,79,87,9241.5,0
AGRI.US,D,20220218,000000,87,95.5,84,91.5,11147.46,0
AGRI.US,D,20220222,000000,91.5,92.625,81.5,87,7815.06,0
AGRI.US,D,20220223,000000,86,87.5,75.5,77.5,2866.68,0
AGRI.US,D,20220224,000000,70.5,72.5,60,72,6209.46,0
AGRI.US,D,20220225,000000,72.5,79.995,71.505,77.5,3285.86,0
AGRI.US,D,20220228,000000,76.5,81,70,74,2464.32,0
AGRI.US,D,20220301,000000,77.5,80.495,75,77,1989.28,0
AGRI.US,D,20220302,000000,76.5,83.5,76,83,1219.22,0
AGRI.US,D,20220303,000000,87,87,80,85,10060.1,0
AGRI.US,D,20220304,000000,88,99,87.5,89.5,14289.4,0
AGRI.US,D,20220307,000000,93,104.5,90.5,101,27860.76,0
AGRI.US,D,20220308,000000,99.5,100,82,86.5,12062.68,0
AGRI.US,D,20220309,000000,86.5,86.5,79,84.5,4841.9,0
AGRI.US,D,20220310,000000,106.5,257,101,171,5046703.98,0
