<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIMAU.US,D,20240731,000000,11.3784,11.3784,11.3784,11.3784,171,0
AIMAU.US,D,20240801,000000,11.39,11.39,11.39,11.39,361,0
AIMAU.US,D,20240807,000000,11.55,11.67,11.51,11.52,886,0
AIMAU.US,D,20240808,000000,11.6,11.6,11.6,11.6,201,0
AIMAU.US,D,20240812,000000,11.6,11.6,11.6,11.6,138,0
AIMAU.US,D,20240819,000000,11.6,11.6,11.6,11.6,145,0
AIMAU.US,D,20240821,000000,11.41,11.41,11.41,11.41,210,0
AIMAU.US,D,20240822,000000,11.56,11.56,11.56,11.56,202,0
AIMAU.US,D,20240823,000000,11.6501,11.6501,11.65,11.65,289,0
AIMAU.US,D,20240826,000000,11.74,11.74,11.65,11.65,443,0
AIMAU.US,D,20240827,000000,11.65,11.65,11.64,11.65,600,0
AIMAU.US,D,20240903,000000,11.65,11.66,11.65,11.66,473,0
AIMAU.US,D,20240917,000000,11.66,11.66,11.66,11.66,102,0
AIMAU.US,D,20240926,000000,11.55,11.55,11.55,11.55,503,0
AIMAU.US,D,20241016,000000,11.66,11.66,11.66,11.66,130,0
