<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIPI.US,D,20240606,000000,52.4061,52.49,52.146,52.155,16274,0
AIPI.US,D,20240607,000000,52.25,52.59,52.17,52.3524,14477,0
AIPI.US,D,20240610,000000,52.25,52.83,52.0492,52.83,13645,0
AIPI.US,D,20240611,000000,52.76,53.04,52.6,53.0275,13636,0
AIPI.US,D,20240612,000000,53.59,53.73,53.49,53.6346,40909,0
AIPI.US,D,20240613,000000,53.79,53.8796,53.38,53.6645,14037,0
AIPI.US,D,20240614,000000,53.73,53.81,53.5365,53.76,8974,0
AIPI.US,D,20240617,000000,53.75,54.3499,53.57,54.1864,17734,0
AIPI.US,D,20240618,000000,54.29,54.54,54.2,54.53,28769,0
AIPI.US,D,20240620,000000,55.87,55.87,53.8681,54.0494,36082,0
AIPI.US,D,20240621,000000,53.88,54.0083,53.57,53.89,16418,0
AIPI.US,D,20240624,000000,53.6438,53.8299,53.14,53.25,22154,0
AIPI.US,D,20240625,000000,53.3086,53.942,53.25,53.92,15213,0
AIPI.US,D,20240626,000000,54.04,54.145,53.82,53.9836,19852,0
AIPI.US,D,20240627,000000,53.94,54.5292,53.94,54.3982,15707,0
AIPI.US,D,20240628,000000,54.59,54.86,54.4,54.43,27484,0
AIPI.US,D,20240701,000000,54.48,54.71,53.845,54.71,14202,0
AIPI.US,D,20240702,000000,54.45,54.97,54.35,54.97,25853,0
AIPI.US,D,20240703,000000,54.97,55.29,54.825,55.29,8576,0
AIPI.US,D,20240705,000000,55.38,55.6897,55.38,55.55,43059,0
AIPI.US,D,20240708,000000,55.67,55.84,55.66,55.84,54209,0
AIPI.US,D,20240709,000000,55.94,56.04,55.6305,55.74,17286,0
AIPI.US,D,20240710,000000,55.83,56.01,55.6,55.9458,16160,0
AIPI.US,D,20240711,000000,56.06,56.07,55.2001,55.3509,25713,0
AIPI.US,D,20240712,000000,55.25,55.97,55.25,55.7461,19148,0
AIPI.US,D,20240715,000000,55.92,56.15,55.7101,55.8212,17860,0
AIPI.US,D,20240716,000000,55.8896,55.8896,55.5,55.7369,18271,0
AIPI.US,D,20240717,000000,54.98,54.98,53.7799,53.9124,88482,0
AIPI.US,D,20240718,000000,54.29,54.29,53.07,53.5321,23489,0
AIPI.US,D,20240719,000000,53.15,53.4499,53.01,53.0288,18206,0
AIPI.US,D,20240722,000000,53.32,53.3999,52.92,53.2216,28424,0
AIPI.US,D,20240723,000000,53.2,53.8,53.2,53.5,13632,0
AIPI.US,D,20240724,000000,53.03,53.03,51.5127,51.5127,28178,0
AIPI.US,D,20240725,000000,51.43,52.0399,50.5131,51.1465,57357,0
AIPI.US,D,20240726,000000,50.3,50.39,49.83,50.0894,152790,0
AIPI.US,D,20240729,000000,50.29,50.58,49.61,49.85,41027,0
AIPI.US,D,20240730,000000,49.72,49.88,48.1963,48.64,38923,0
AIPI.US,D,20240731,000000,49.7,50.22,49.28,50.11,21261,0
AIPI.US,D,20240801,000000,49.85,50.21,48.24,48.64,42510,0
AIPI.US,D,20240802,000000,47.08,47.09,46.05,46.99,41914,0
AIPI.US,D,20240805,000000,43.91,46.4881,43.5209,45.7154,45354,0
AIPI.US,D,20240806,000000,46.95,47.6599,46.23,47.06,22952,0
AIPI.US,D,20240807,000000,47.46,48,46.25,46.28,18474,0
AIPI.US,D,20240808,000000,46.77,47.98,46.77,47.8998,15281,0
AIPI.US,D,20240809,000000,48.01,48.3,47.865,48.27,13520,0
AIPI.US,D,20240812,000000,48.6,48.6199,48.1101,48.3413,21487,0
AIPI.US,D,20240813,000000,48.48,49.0599,48.48,48.99,52110,0
AIPI.US,D,20240814,000000,49.37,49.41,49.01,49.3395,19398,0
AIPI.US,D,20240815,000000,49.85,50.28,49.62,50.1774,27557,0
AIPI.US,D,20240816,000000,50.21,50.4099,50.0758,50.3264,19864,0
AIPI.US,D,20240819,000000,50.44,50.8,50.3,50.7212,24684,0
AIPI.US,D,20240820,000000,50.83,50.97,50.54,50.72,21545,0
AIPI.US,D,20240821,000000,50.8,50.925,50.7,50.9077,10741,0
AIPI.US,D,20240822,000000,51.0891,51.1897,50.3201,50.4,47292,0
AIPI.US,D,20240823,000000,50.65,50.99,50.57,50.8309,27827,0
AIPI.US,D,20240826,000000,50.84,50.8989,50.1801,50.2682,50872,0
AIPI.US,D,20240827,000000,48.99,49.17,48.43,49.09,41652,0
AIPI.US,D,20240828,000000,48.98,48.99,47.825,48.2942,52568,0
AIPI.US,D,20240829,000000,48.39,49.43,48.39,48.86,37453,0
AIPI.US,D,20240830,000000,49.2,49.39,48.96,49.3317,23198,0
AIPI.US,D,20240903,000000,49.01,49.6,47.65,47.87,54210,0
AIPI.US,D,20240904,000000,47.51,47.985,47.17,47.5986,33622,0
AIPI.US,D,20240905,000000,47.41,47.93,47.305,47.56,14542,0
AIPI.US,D,20240906,000000,47.295,47.295,46.3099,46.55,19877,0
AIPI.US,D,20240909,000000,47.09,47.66,47.09,47.5913,21703,0
AIPI.US,D,20240910,000000,47.87,47.98,47.3701,47.98,11191,0
AIPI.US,D,20240911,000000,48.11,48.8578,47.54,48.8578,29034,0
AIPI.US,D,20240912,000000,48.89,49.17,48.7208,49.0887,41595,0
AIPI.US,D,20240913,000000,49.12,49.38,49.105,49.2947,21667,0
AIPI.US,D,20240916,000000,49.26,49.42,49.15,49.38,29408,0
AIPI.US,D,20240917,000000,49.52,49.52,49.3048,49.3778,28067,0
AIPI.US,D,20240918,000000,49.37,49.88,49.15,49.25,17745,0
AIPI.US,D,20240919,000000,50.01,50.37,50.01,50.19,33716,0
AIPI.US,D,20240920,000000,50.13,50.5033,49.9899,50.41,38035,0
AIPI.US,D,20240923,000000,50.53,50.7705,50.4705,50.74,84343,0
AIPI.US,D,20240924,000000,51.56,51.56,49.67,50.88,241235,0
AIPI.US,D,20240925,000000,50.9,51.12,50.88,51.05,107012,0
AIPI.US,D,20240926,000000,50.12,50.13,49.3688,49.76,107447,0
AIPI.US,D,20240927,000000,49.72,49.8,49.41,49.61,97814,0
AIPI.US,D,20240930,000000,49.41,49.6,49.31,49.6,109580,0
AIPI.US,D,20241001,000000,49.6,49.6,48.7,48.92,50853,0
AIPI.US,D,20241002,000000,48.86,49.38,48.53,49.28,28157,0
AIPI.US,D,20241003,000000,49.17,49.6982,49.17,49.58,48462,0
AIPI.US,D,20241004,000000,49.7,50.11,49.6703,50.11,61153,0
AIPI.US,D,20241007,000000,50.12,50.22,49.8292,49.93,84453,0
AIPI.US,D,20241008,000000,50.08,50.55,50.025,50.55,61063,0
AIPI.US,D,20241009,000000,50.55,50.88,50.5,50.88,83015,0
AIPI.US,D,20241010,000000,50.76,51.08,50.76,51.02,73266,0
AIPI.US,D,20241011,000000,51.03,51.26,50.9546,51.26,83404,0
AIPI.US,D,20241014,000000,51.35,51.51,51.3,51.43,82390,0
