<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AKAN.US,D,20220315,000000,12000,12400,3272,4200,3390.8275,0
AKAN.US,D,20220316,000000,5193.6,7960,3920,4404,18489.4975,0
AKAN.US,D,20220317,000000,4168,4168,3216,3242,1550.1125,0
AKAN.US,D,20220318,000000,3348,3480,2920,2960,2665.49,0
AKAN.US,D,20220321,000000,2916,4592,2652,3364,5205.5075,0
AKAN.US,D,20220322,000000,3328,3640,3160,3216,779.0275,0
AKAN.US,D,20220323,000000,3240,3260,3152,3216,613.58,0
AKAN.US,D,20220324,000000,3160,3800,3160,3560,2995.3,0
AKAN.US,D,20220325,000000,3596,3768,3388,3588,1274.565,0
AKAN.US,D,20220328,000000,3136,3416,3088,3292,931.56,0
AKAN.US,D,20220329,000000,3252,3520,3252,3296,685.4925,0
AKAN.US,D,20220330,000000,3336,3760,3188,3312,1444.02,0
AKAN.US,D,20220331,000000,3288,3452,3100,3176,663.605,0
AKAN.US,D,20220401,000000,3208,3640,3096,3456,1445.6125,0
AKAN.US,D,20220404,000000,3404,3712,3372,3488,291.265,0
AKAN.US,D,20220405,000000,3436,3505.28,3344,3492,79.8625,0
AKAN.US,D,20220406,000000,3440,3496,3276,3388,147.0175,0
AKAN.US,D,20220407,000000,3420,4000,3328,3952,841.67,0
AKAN.US,D,20220408,000000,3752,4736,3320,3504,2193.5375,0
AKAN.US,D,20220411,000000,3612,3956,3612,3780,643.1175,0
AKAN.US,D,20220412,000000,3872,4100,3611.56,3676,374.02,0
AKAN.US,D,20220413,000000,3636,3704,3396,3648,1309.845,0
AKAN.US,D,20220414,000000,3600,4000,3600,3948,1277.12,0
AKAN.US,D,20220418,000000,3844,4368,3724,4300,781.69,0
AKAN.US,D,20220419,000000,4300,4396,4000,4120,422.415,0
AKAN.US,D,20220420,000000,4108,4596.56,4040,4572,948.925,0
AKAN.US,D,20220421,000000,4652,4920,4588,4724,238.6225,0
AKAN.US,D,20220422,000000,4792,4912,4400,4620,153.09,0
AKAN.US,D,20220425,000000,4640,4808,4256,4292,109.8225,0
AKAN.US,D,20220426,000000,4276,4276,3892,3904,292.9575,0
AKAN.US,D,20220427,000000,3848,3852,3360,3404,312.3325,0
AKAN.US,D,20220428,000000,3460,3560,3460,3504,23.3,0
AKAN.US,D,20220429,000000,3412,3452,3324,3396,49.315,0
AKAN.US,D,20220502,000000,3523.96,3660,3348,3436,106.87,0
AKAN.US,D,20220503,000000,3624,3624,3380,3600,19.76,0
AKAN.US,D,20220504,000000,3580,3608,3440,3440,60.4875,0
AKAN.US,D,20220505,000000,3560,3596,3440,3464,25.3025,0
AKAN.US,D,20220506,000000,3488,4328,3320,3600,3702.2325,0
AKAN.US,D,20220509,000000,3400,3412,880,916,19334.0275,0
AKAN.US,D,20220510,000000,788,808,472,556,11800.8925,0
AKAN.US,D,20220511,000000,516,547.44,436,492,4323.765,0
AKAN.US,D,20220512,000000,476,550.16,424,454,2614.47,0
AKAN.US,D,20220513,000000,464,504,452,504,2710.155,0
AKAN.US,D,20220516,000000,488,572,472,492,2395.74,0
AKAN.US,D,20220517,000000,500,500,420,428,1915.2975,0
AKAN.US,D,20220518,000000,416,448.04,412,424,1204.085,0
AKAN.US,D,20220519,000000,416,456,416,440,1581.6275,0
AKAN.US,D,20220520,000000,424,440,396.04,416,1080.3925,0
AKAN.US,D,20220523,000000,416,440,408,420,497.9425,0
AKAN.US,D,20220524,000000,412,420,364,367.48,1052.2925,0
AKAN.US,D,20220525,000000,368.88,379.16,352,364.88,580.4525,0
AKAN.US,D,20220526,000000,352,388,352,371.96,345.4575,0
AKAN.US,D,20220527,000000,368,396,364.44,372.04,465.53,0
AKAN.US,D,20220531,000000,392,400,372,390.2,616.5,0
AKAN.US,D,20220601,000000,396.4,415.96,356.04,380,463.215,0
AKAN.US,D,20220602,000000,396.44,396.44,368,370.4,170.035,0
AKAN.US,D,20220603,000000,372,376.04,336.56,337.2,643.18,0
AKAN.US,D,20220606,000000,339.6,347.96,306.76,331.92,718.775,0
AKAN.US,D,20220607,000000,328.4,336,320.4,328,178.545,0
AKAN.US,D,20220608,000000,320.04,340,320,332.6,271.375,0
AKAN.US,D,20220609,000000,335.2,339.96,320.04,333.16,187.785,0
AKAN.US,D,20220610,000000,320.102,343.92,318.04,328.16,192.1475,0
AKAN.US,D,20220613,000000,324,324,292.16,307.92,394.505,0
AKAN.US,D,20220614,000000,298.68,416,288,333.56,3169.4525,0
AKAN.US,D,20220615,000000,331.2,416,324.8,368.26,3075.8,0
AKAN.US,D,20220616,000000,362.4,556,362.4,492,19463.9775,0
AKAN.US,D,20220617,000000,512,612,420,436,12943.37,0
AKAN.US,D,20220621,000000,392.04,432,380,412,1729.37,0
AKAN.US,D,20220622,000000,384,400,348,368,1237.825,0
AKAN.US,D,20220623,000000,358.8,359.92,344.72,344.72,557.935,0
AKAN.US,D,20220624,000000,354.76,370,348.4,360,678.3825,0
AKAN.US,D,20220627,000000,360.04,380,356,360,439.7575,0
AKAN.US,D,20220628,000000,367.2,367.96,344,344.44,428.2875,0
AKAN.US,D,20220629,000000,346.32,354.8,312,330,286.1575,0
AKAN.US,D,20220630,000000,320,351.2,320,324,191.53,0
AKAN.US,D,20220701,000000,343.96,343.96,304,311.56,329.235,0
AKAN.US,D,20220705,000000,344.08,344.08,312,312.88,212.695,0
AKAN.US,D,20220706,000000,312,328,300,302.12,216.5425,0
AKAN.US,D,20220707,000000,308.96,308.96,300.12,301.72,166.945,0
AKAN.US,D,20220708,000000,301.76,316,301.76,306,88.115,0
AKAN.US,D,20220711,000000,308,315.96,289.2,313.8,210.47,0
AKAN.US,D,20220712,000000,412,468,334,360,94753.895,0
AKAN.US,D,20220713,000000,344.36,375.92,332,375.88,4748.8875,0
AKAN.US,D,20220714,000000,350.08,432,350.08,395.04,5932.8675,0
AKAN.US,D,20220715,000000,396,440,368.04,424,3135.855,0
