<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALCYU.US,D,20240820,000000,11.33,11.9,11.12,11.9,1000,0
ALCYU.US,D,20240821,000000,11.51,11.52,11.2,11.38,3734,0
ALCYU.US,D,20240823,000000,11.3,11.45,11.15,11.45,503,0
ALCYU.US,D,20240826,000000,11.38,11.45,11,11.12,1610,0
ALCYU.US,D,20240830,000000,11.6,11.6,11.6,11.6,503,0
ALCYU.US,D,20240904,000000,11.42,11.42,11.42,11.42,103,0
ALCYU.US,D,20240912,000000,11.0502,11.0502,11.0502,11.0502,203,0
ALCYU.US,D,20240913,000000,10.94,11,10.87,11,762,0
ALCYU.US,D,20240919,000000,10.81,10.81,10.81,10.81,303,0
ALCYU.US,D,20240920,000000,10.85,10.96,10.84,10.94,2467,0
ALCYU.US,D,20240925,000000,10.88,10.89,10.88,10.88,5932,0
ALCYU.US,D,20241023,000000,10.99,10.99,10.99,10.99,100,0
