<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALF.US,D,20240802,000000,10,10,10,10,500441,0
ALF.US,D,20240805,000000,10,10,9.98,10,1190,0
ALF.US,D,20240806,000000,10.02,10.02,9.998,9.998,7470,0
ALF.US,D,20240807,000000,10,10,10,10,524,0
ALF.US,D,20240808,000000,9.99,10,9.99,10,425348,0
ALF.US,D,20240812,000000,9.99,10,9.99,10,76353,0
ALF.US,D,20240813,000000,9.99,10.01,9.99,10.01,53645,0
ALF.US,D,20240815,000000,9.99,10.03,9.99,9.9973,848905,0
ALF.US,D,20240816,000000,10,10,9.99,10,920192,0
ALF.US,D,20240819,000000,9.99,10.01,9.99,9.995,1208344,0
ALF.US,D,20240820,000000,10,10,10,10,869,0
ALF.US,D,20240821,000000,10.0026,10.0026,9.995,10,10509,0
ALF.US,D,20240822,000000,10,10,9.99,10,101600,0
ALF.US,D,20240823,000000,10,10.01,9.99,9.99,652293,0
ALF.US,D,20240826,000000,10,10,9.995,10,431928,0
ALF.US,D,20240827,000000,9.99,9.99,9.98,9.98,6473,0
ALF.US,D,20240828,000000,9.97,9.98,9.97,9.98,8674,0
ALF.US,D,20240829,000000,9.985,9.985,9.98,9.98,569,0
ALF.US,D,20240903,000000,9.98,9.99,9.97,9.97,6146,0
ALF.US,D,20240904,000000,9.98,9.98,9.98,9.98,71753,0
ALF.US,D,20240905,000000,9.99,9.99,9.96,9.97,125491,0
ALF.US,D,20240906,000000,9.98,9.98,9.97,9.98,35324,0
ALF.US,D,20240909,000000,9.985,9.985,9.985,9.985,1028,0
ALF.US,D,20240910,000000,10.02,10.02,9.98,9.98,8417,0
ALF.US,D,20240911,000000,9.98,9.98,9.97,9.97,101200,0
ALF.US,D,20240912,000000,9.97,9.97,9.96,9.97,102101,0
ALF.US,D,20240913,000000,9.97,9.98,9.97,9.975,240201,0
ALF.US,D,20240916,000000,9.96,9.98,9.96,9.98,16876,0
ALF.US,D,20240917,000000,9.97,9.98,9.97,9.97,513006,0
ALF.US,D,20240918,000000,9.97,9.98,9.97,9.975,21027,0
ALF.US,D,20240919,000000,9.98,9.99,9.975,9.98,173399,0
ALF.US,D,20240920,000000,9.98,9.985,9.98,9.98,94302,0
ALF.US,D,20240923,000000,9.98,9.99,9.98,9.99,114932,0
ALF.US,D,20240924,000000,9.99,10.005,9.99,10.005,11724,0
ALF.US,D,20240925,000000,10,10.03,9.99,10.03,101194,0
ALF.US,D,20240926,000000,10.0113,10.02,10.01,10.01,26830,0
ALF.US,D,20240930,000000,10.0302,10.08,10.02,10.02,4581,0
ALF.US,D,20241001,000000,10.01,10.015,10.01,10.01,2304,0
ALF.US,D,20241002,000000,10.0225,10.0225,10.0225,10.0225,100,0
ALF.US,D,20241003,000000,10.05,10.05,10.03,10.03,402,0
ALF.US,D,20241007,000000,10.01,10.01,10.01,10.01,509,0
ALF.US,D,20241008,000000,10.01,10.01,10,10.01,1124,0
ALF.US,D,20241009,000000,10.03,10.03,10,10,16696,0
ALF.US,D,20241010,000000,10.0129,10.0167,10.01,10.0167,5100,0
ALF.US,D,20241014,000000,10.0137,10.0137,10.0137,10.0137,1524,0
ALF.US,D,20241015,000000,10.04,10.1,10.01,10.02,172216,0
ALF.US,D,20241016,000000,10.02,10.02,10.02,10.02,2873,0
ALF.US,D,20241017,000000,10.01,10.01,10.01,10.01,3800,0
ALF.US,D,20241018,000000,10.02,10.02,10.0064,10.01,7770,0
ALF.US,D,20241021,000000,10.02,10.02,10.01,10.01,16502,0
ALF.US,D,20241022,000000,10.01,10.015,10.01,10.01,12002,0
ALF.US,D,20241023,000000,10.01,10.015,10.01,10.01,8002,0
ALF.US,D,20241024,000000,10.01,10.1,10.01,10.01,103836,0
ALF.US,D,20241025,000000,10.25,10.25,10.1,10.1,500,0
ALF.US,D,20241028,000000,10.09,10.09,10.04,10.05,289728,0
ALF.US,D,20241029,000000,10.07,10.07,10.07,10.07,3567,0
