<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALFUU.US,D,20240612,000000,10.03,10.03,9.99,10.01,3689434,0
ALFUU.US,D,20240613,000000,10.02,10.02,10.01,10.02,159580,0
ALFUU.US,D,20240614,000000,10.04,10.04,10.01,10.02,104501,0
ALFUU.US,D,20240617,000000,10.01,10.02,10,10.01,305779,0
ALFUU.US,D,20240618,000000,10,10.02,10,10,397126,0
ALFUU.US,D,20240620,000000,10.01,10.02,9.99,10.01,156012,0
ALFUU.US,D,20240621,000000,10,10,9.99,10,106849,0
ALFUU.US,D,20240624,000000,10,10.01,10,10,343165,0
ALFUU.US,D,20240625,000000,10,10,9.99,10,114789,0
ALFUU.US,D,20240626,000000,10,10,9.99,10,112771,0
ALFUU.US,D,20240627,000000,10,10,9.995,9.995,94688,0
ALFUU.US,D,20240628,000000,9.99,9.99,9.971,9.99,58380,0
ALFUU.US,D,20240701,000000,10,10,9.98,9.98,392340,0
ALFUU.US,D,20240702,000000,9.98,9.98,9.98,9.98,6713,0
ALFUU.US,D,20240703,000000,9.98,9.98,9.9768,9.98,9158,0
ALFUU.US,D,20240705,000000,9.98,9.98,9.98,9.98,2144,0
ALFUU.US,D,20240708,000000,9.98,9.99,9.9799,9.985,691962,0
ALFUU.US,D,20240709,000000,9.99,10,9.98,9.98,846876,0
ALFUU.US,D,20240710,000000,9.99,9.99,9.98,9.99,87255,0
ALFUU.US,D,20240711,000000,9.99,10,9.99,9.99,655645,0
ALFUU.US,D,20240712,000000,10,10.01,10,10,1196347,0
ALFUU.US,D,20240715,000000,10,10.01,10,10.005,41267,0
ALFUU.US,D,20240716,000000,10.01,10.02,10.01,10.02,385105,0
ALFUU.US,D,20240717,000000,10.02,10.04,10.02,10.03,500157,0
ALFUU.US,D,20240718,000000,10.02,10.03,10.02,10.03,40009,0
ALFUU.US,D,20240719,000000,10.035,10.04,10.03,10.04,24462,0
ALFUU.US,D,20240722,000000,10.04,10.04,10.03,10.04,212688,0
ALFUU.US,D,20240723,000000,10.05,10.05,10.03,10.03,2681,0
ALFUU.US,D,20240724,000000,10.05,10.05,10.05,10.05,1232,0
ALFUU.US,D,20240725,000000,10.05,10.05,10.02,10.04,7112,0
ALFUU.US,D,20240726,000000,10.05,10.05,10.0226,10.05,4969,0
ALFUU.US,D,20240729,000000,10.05,10.05,10.04,10.04,3450,0
ALFUU.US,D,20240730,000000,10.02,10.07,10.02,10.04,4748,0
ALFUU.US,D,20240731,000000,10.04,10.05,10.04,10.05,2659,0
ALFUU.US,D,20240801,000000,10.05,10.05,10.05,10.05,507,0
ALFUU.US,D,20240802,000000,10.0357,10.06,10.0357,10.05,7670,0
ALFUU.US,D,20240805,000000,10.02,10.03,10.02,10.03,1266,0
