<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALLR.US,D,20211222,000000,308000,418600,307160,353500,6.67657152872,0
ALLR.US,D,20211223,000000,353360,376516,331136,335274,1.9306786003887,0
ALLR.US,D,20211227,000000,336000,350000,297570,307160,2.4063571789525,0
ALLR.US,D,20211228,000000,315000,315012,266000,271040,2.7234643265662,0
ALLR.US,D,20211229,000000,271040,275458,252280,254800,2.0876071741713,0
ALLR.US,D,20211230,000000,256200,296438,240142,293440,2.32257146341,0
ALLR.US,D,20211231,000000,308000,308000,280700,290486,0.4142857205,0
ALLR.US,D,20220103,000000,308000,360012,294000,296746,1.8412500276188,0
ALLR.US,D,20220104,000000,301000,312446,288400,299180,1.1036785879838,0
ALLR.US,D,20220105,000000,306320,308000,288960,290640,0.94453572845375,0
ALLR.US,D,20220106,000000,290920,296800,280000,294000,0.45496429253875,0
ALLR.US,D,20220107,000000,280280,306320,280280,301000,1.44800002172,0
ALLR.US,D,20220110,000000,299320,299600,271712,288400,1.7168928828962,0
ALLR.US,D,20220111,000000,288400,288400,257600,277200,1.6641071678188,0
ALLR.US,D,20220112,000000,276920,276920,258160,261660,1.6432500246488,0
ALLR.US,D,20220113,000000,261800,261800,228480,245000,2.0303571733125,0
ALLR.US,D,20220114,000000,245000,253120,238000,251720,0.9292142996525,0
ALLR.US,D,20220118,000000,248920,248920,199640,229320,4.7104643563712,0
ALLR.US,D,20220119,000000,227640,235620,224000,228200,1.11085715952,0
ALLR.US,D,20220120,000000,225960,235200,215040,230440,1.22028573259,0
ALLR.US,D,20220121,000000,228200,228200,211322,223160,1.1771428748,0
ALLR.US,D,20220124,000000,221200,221480,189218,200760,2.0182143159875,0
ALLR.US,D,20220125,000000,202440,210000,196280,202720,1.119857159655,0
ALLR.US,D,20220126,000000,201880,215932,201880,207200,0.8535000128025,0
ALLR.US,D,20220127,000000,210280,211372,196000,203840,0.9007857277975,0
ALLR.US,D,20220128,000000,200200,218400,200200,218400,1.0629643016588,0
ALLR.US,D,20220131,000000,225680,236600,219756,228760,1.2382143042875,0
ALLR.US,D,20220201,000000,236600,249060,229880,246960,1.2597500188963,0
ALLR.US,D,20220202,000000,270760,270760,252388,260400,0.93703572834125,0
ALLR.US,D,20220203,000000,254800,258120,240124,245910,0.484428578695,0
ALLR.US,D,20220204,000000,251440,253120,235816,249200,0.6355000095325,0
ALLR.US,D,20220207,000000,246400,248640,232352,235760,0.7210714393875,0
