<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASCBF.US,D,20220601,000000,9.84,9.84,9.84,9.84,102264,0
ASCBF.US,D,20220602,000000,9.84,9.84,9.84,9.84,206,0
ASCBF.US,D,20220607,000000,9.84,9.84,9.84,9.84,14580,0
ASCBF.US,D,20220608,000000,9.82,9.84,9.82,9.83,340355,0
ASCBF.US,D,20220609,000000,9.84,9.86,9.84,9.84,191542,0
ASCBF.US,D,20220613,000000,9.82,9.87,9.82,9.87,338,0
ASCBF.US,D,20220614,000000,9.85,9.85,9.84,9.8459,20716,0
ASCBF.US,D,20220615,000000,9.85,9.85,9.8284,9.83,167101,0
ASCBF.US,D,20220616,000000,9.83,9.84,9.81,9.81,251228,0
ASCBF.US,D,20220617,000000,9.82,9.85,9.82,9.85,344991,0
ASCBF.US,D,20220622,000000,9.85,9.85,9.81,9.81,1491,0
ASCBF.US,D,20220623,000000,9.82,9.832,9.8196,9.82,163268,0
ASCBF.US,D,20220624,000000,9.8399,9.85,9.8399,9.84,7828,0
ASCBF.US,D,20220627,000000,9.8537,9.8607,9.8499,9.86,135088,0
ASCBF.US,D,20220628,000000,9.82,9.86,9.82,9.84,33632,0
ASCBF.US,D,20220629,000000,9.84,9.86,9.83,9.85,49176,0
ASCBF.US,D,20220630,000000,9.84,9.86,9.82,9.84,237722,0
ASCBF.US,D,20220701,000000,9.84,9.86,9.84,9.85,21349,0
ASCBF.US,D,20220705,000000,9.84,9.855,9.835,9.8403,102013,0
ASCBF.US,D,20220706,000000,9.84,9.86,9.84,9.86,7055,0
ASCBF.US,D,20220707,000000,9.86,9.87,9.82,9.83,78919,0
ASCBF.US,D,20220708,000000,9.84,9.85,9.84,9.85,431,0
ASCBF.US,D,20220711,000000,9.86,9.86,9.86,9.86,13900,0
ASCBF.US,D,20220713,000000,9.87,9.87,9.87,9.87,40026,0
ASCBF.US,D,20220714,000000,9.86,9.8601,9.85,9.85,7841,0
ASCBF.US,D,20220715,000000,9.87,9.87,9.83,9.84,2600,0
ASCBF.US,D,20220718,000000,9.865,9.88,9.86,9.88,33604,0
ASCBF.US,D,20220719,000000,9.87,9.87,9.87,9.87,5756,0
ASCBF.US,D,20220720,000000,9.87,9.87,9.85,9.85,27261,0
ASCBF.US,D,20220722,000000,9.88,9.89,9.875,9.885,54254,0
ASCBF.US,D,20220725,000000,9.9,9.9,9.8964,9.8964,47010,0
ASCBF.US,D,20220726,000000,9.88,9.88,9.88,9.88,4464,0
ASCBF.US,D,20220727,000000,9.8909,9.91,9.8909,9.91,13341,0
ASCBF.US,D,20220728,000000,9.87,9.91,9.87,9.91,24649,0
ASCBF.US,D,20220801,000000,9.89,9.91,9.89,9.9,7159,0
ASCBF.US,D,20220802,000000,9.9,9.91,9.9,9.91,100688,0
ASCBF.US,D,20220803,000000,9.8992,9.9,9.86,9.86,24754,0
ASCBF.US,D,20220804,000000,9.9,9.9,9.89,9.89,65757,0
ASCBF.US,D,20220805,000000,9.89,9.89,9.88,9.89,31300,0
ASCBF.US,D,20220808,000000,9.89,9.91,9.89,9.905,15075,0
