<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASTI.US,D,20220825,000000,1745.88,1905.32,1600,1600,118.66,0
ASTI.US,D,20220826,000000,1600,1775.98,1600,1663.98,34.96,0
ASTI.US,D,20220829,000000,1700,1700,1436,1436,182.995,0
ASTI.US,D,20220830,000000,1435.94,1450,1300,1302,70.7,0
ASTI.US,D,20220831,000000,1300,1430,1260,1299.98,117.3,0
ASTI.US,D,20220901,000000,1262,1280,1161.68,1200,93.415,0
ASTI.US,D,20220902,000000,1192,1266,1108.02,1266,51.74,0
ASTI.US,D,20220906,000000,1334,1341.98,1230,1298,50.395,0
ASTI.US,D,20220907,000000,1260,1276,1110,1118,69.365,0
ASTI.US,D,20220908,000000,1110,1198,1110,1152,48.49,0
ASTI.US,D,20220909,000000,1157.6,1276,1157.6,1180,42.885,0
ASTI.US,D,20220912,000000,1200,1258,1159.96,1204,67.465,0
ASTI.US,D,20220913,000000,1298,1298,1193.92,1230,35.765,0
ASTI.US,D,20220914,000000,1202,1212.88,1180.02,1200,30.55,0
ASTI.US,D,20220915,000000,1200,1200,1160,1195.2,19.875,0
ASTI.US,D,20220916,000000,1148,1167.68,1112,1117.42,63.45,0
ASTI.US,D,20220919,000000,1149.56,1153.98,1107.9,1123.98,17.63,0
ASTI.US,D,20220920,000000,1128,1160,1030,1056,74.26,0
ASTI.US,D,20220921,000000,1040,1087.36,1024.02,1074,29.83,0
ASTI.US,D,20220922,000000,1059.42,1103.98,1026.02,1067.72,14.5,0
ASTI.US,D,20220923,000000,1024,1097.98,1024,1065.98,43.34,0
ASTI.US,D,20220926,000000,1028,1116.2,1010.48,1028,92.375,0
ASTI.US,D,20220927,000000,1028,1056,867.28,930,609.975,0
ASTI.US,D,20220928,000000,963.8,1000,877,936,606.665,0
ASTI.US,D,20220929,000000,990,1000,860,928,605.55,0
ASTI.US,D,20220930,000000,896,960,870,910,610.155,0
ASTI.US,D,20221003,000000,888,950,838,860,334.165,0
ASTI.US,D,20221004,000000,862,930,824.02,874,349.695,0
ASTI.US,D,20221005,000000,850,921,836,868,366.75,0
ASTI.US,D,20221006,000000,848,902,810,848,379.085,0
ASTI.US,D,20221007,000000,810,900,732,772,440.965,0
ASTI.US,D,20221010,000000,760,808.02,686.86,720,81.97,0
ASTI.US,D,20221011,000000,694,716.26,626,660,43.215,0
ASTI.US,D,20221012,000000,680,680,598.74,650,61.17,0
ASTI.US,D,20221013,000000,608,624,572.04,596,106.955,0
ASTI.US,D,20221014,000000,588,602.62,536.02,540,76.52,0
ASTI.US,D,20221017,000000,560,640,505.62,580,119.88,0
ASTI.US,D,20221018,000000,698,698,535,604,364.515,0
ASTI.US,D,20221019,000000,648,776,560,650,569.365,0
ASTI.US,D,20221020,000000,652,1494,652,1024,25291.875,0
ASTI.US,D,20221021,000000,1048,1376,810,916,10560.185,0
ASTI.US,D,20221024,000000,882,882,562,684,1511.865,0
ASTI.US,D,20221025,000000,628,660,568,618,1226.495,0
ASTI.US,D,20221026,000000,652,652,580,606,564.595,0
ASTI.US,D,20221027,000000,588,610,518,566,569.565,0
ASTI.US,D,20221028,000000,550,591.16,545,560,432.285,0
ASTI.US,D,20221031,000000,550,572,544,556,309.12,0
ASTI.US,D,20221101,000000,554,596,500,550,340.865,0
ASTI.US,D,20221102,000000,553,558,517.2,532,327.145,0
ASTI.US,D,20221103,000000,540,560,502,514,330.02,0
ASTI.US,D,20221104,000000,548,548,508,518.02,337.355,0
ASTI.US,D,20221107,000000,520,675.98,520,572,2166.685,0
ASTI.US,D,20221108,000000,580,580,514,558,415.83,0
ASTI.US,D,20221109,000000,560,576.6,506,530,748.29,0
ASTI.US,D,20221110,000000,558,596,524,573,545.74,0
ASTI.US,D,20221111,000000,600,695.26,564.02,690,922.665,0
ASTI.US,D,20221114,000000,698,698,620,632,225.495,0
ASTI.US,D,20221115,000000,656,688,638,650,171,0
ASTI.US,D,20221116,000000,650,677.24,636,652,133.84,0
ASTI.US,D,20221117,000000,650,700,638,672,136.315,0
ASTI.US,D,20221118,000000,660,692,624,630,672.33,0
ASTI.US,D,20221121,000000,624,648,554,602,434.82,0
ASTI.US,D,20221122,000000,608,608,567.22,592,47.735,0
ASTI.US,D,20221123,000000,586,620,564,608,216.48,0
ASTI.US,D,20221125,000000,592,678,578.02,666.02,510.665,0
