<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASUUF.US,D,20240722,000000,11.6,12.98,11.53,12.42,14800,0
ASUUF.US,D,20240723,000000,11.91,12.61,11.5,11.96,22790,0
ASUUF.US,D,20240724,000000,12.34,12.34,11.6,11.8,604,0
ASUUF.US,D,20240725,000000,11.99,12,11.2,11.6,4740,0
ASUUF.US,D,20240726,000000,11.59,11.59,11.12,11.35,5297,0
ASUUF.US,D,20240801,000000,11.59,12.38,11.53,12.38,23365,0
ASUUF.US,D,20240802,000000,12.3599,12.36,11.69,11.79,29032,0
ASUUF.US,D,20240805,000000,11.74,12.33,11.74,12.3,19953,0
ASUUF.US,D,20240806,000000,11.9,15,11.51,12.5,24086,0
ASUUF.US,D,20240807,000000,12.49,12.49,12.49,12.49,301,0
ASUUF.US,D,20240808,000000,12.24,14.84,11.21,11.86,13556,0
ASUUF.US,D,20240809,000000,11.31,11.6,11.23,11.58,4862,0
ASUUF.US,D,20240812,000000,12,12.49,11.8,12.49,3761,0
ASUUF.US,D,20240813,000000,13.1,13.1,11.48,11.85,6882,0
ASUUF.US,D,20240815,000000,11.9,11.9,11.24,11.4,1049,0
ASUUF.US,D,20240816,000000,11.8,11.8001,11.41,11.44,2191,0
ASUUF.US,D,20240820,000000,12.5,12.5,11.6,11.6,244,0
ASUUF.US,D,20240822,000000,11.43,11.6,11.41,11.6,1732,0
ASUUF.US,D,20240823,000000,11.31,11.5,11.31,11.5,584,0
ASUUF.US,D,20240827,000000,11.41,11.41,11.31,11.31,1092,0
ASUUF.US,D,20240828,000000,11.1,11.31,11.1,11.31,429,0
ASUUF.US,D,20240830,000000,11.29,11.29,11.29,11.29,100,0
ASUUF.US,D,20240903,000000,11.29,11.34,11.29,11.34,593,0
ASUUF.US,D,20240904,000000,12.54,12.54,11.25,11.25,1463,0
ASUUF.US,D,20240905,000000,11.22,11.22,11.22,11.22,202,0
ASUUF.US,D,20240911,000000,11.29,11.3,11.29,11.3,600,0
ASUUF.US,D,20240913,000000,11.5,11.5,11.5,11.5,100,0
