<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATMCU.US,D,20240911,000000,11.3,11.3,11.3,11.3,700,0
ATMCU.US,D,20240912,000000,11.29,11.29,11.29,11.29,100,0
ATMCU.US,D,20240913,000000,11.29,11.2999,11.29,11.29,500,0
ATMCU.US,D,20240917,000000,11.3,11.3,11.3,11.3,500,0
ATMCU.US,D,20240923,000000,11.34,11.35,11.34,11.35,110137,0
ATMCU.US,D,20241003,000000,11.37,11.37,11.37,11.37,300,0
ATMCU.US,D,20241007,000000,11.44,11.44,11.37,11.42,523,0
ATMCU.US,D,20241010,000000,11.61,11.61,11.61,11.61,137,0
ATMCU.US,D,20241023,000000,11.57,11.75,11.4,11.4,3806,0
ATMCU.US,D,20241024,000000,11.55,12.95,11.31,11.71,6235,0
ATMCU.US,D,20241025,000000,11.59,13.03,11.48,11.7,6257,0
ATMCU.US,D,20241028,000000,11.6,13.85,11.36,11.37,15398,0
ATMCU.US,D,20241029,000000,12.2,13.11,11.055,11.49,18782,0
