<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVGX.US,D,20240823,000000,19.66,20.54,19.37,20.0393,36319,0
AVGX.US,D,20240826,000000,19.93,19.93,18.25,18.3776,59147,0
AVGX.US,D,20240827,000000,18,18.94,17.7614,18.83,19404,0
AVGX.US,D,20240828,000000,18.8306,18.8306,17.72,18.1013,29454,0
AVGX.US,D,20240829,000000,18.2,19.15,17.4,17.76,103313,0
AVGX.US,D,20240830,000000,18.9,19.26,18.219,19.09,132462,0
AVGX.US,D,20240903,000000,18.53,18.53,16.43,16.73,214430,0
AVGX.US,D,20240904,000000,16.27,17.46,16.02,17.01,128376,0
AVGX.US,D,20240905,000000,16.12,17.45,16.12,16.75,379871,0
AVGX.US,D,20240906,000000,14.52,14.53,13.13,13.2,590893,0
AVGX.US,D,20240909,000000,13.49,14.0301,12.79,13.91,250098,0
AVGX.US,D,20240910,000000,14.07,15.7,14.03,15.39,260877,0
AVGX.US,D,20240911,000000,15.49,17.555,14.74,17.49,334253,0
AVGX.US,D,20240912,000000,17.48,19.2199,17.18,18.84,535716,0
AVGX.US,D,20240913,000000,19.27,19.62,18.8,19.54,244280,0
AVGX.US,D,20240916,000000,18.93,18.94,17.8457,18.65,230664,0
AVGX.US,D,20240917,000000,19.04,19.04,17.91,18.33,95865,0
AVGX.US,D,20240918,000000,18.51,19.3,18.07,18.11,133957,0
AVGX.US,D,20240919,000000,19.5,20.09,19,19.48,645617,0
AVGX.US,D,20240920,000000,19.45,20.55,19.3105,20.37,197983,0
AVGX.US,D,20240923,000000,20.56,20.8299,19.815,20.8,189524,0
AVGX.US,D,20240924,000000,20.71,21.44,20.4743,21.26,170251,0
AVGX.US,D,20240925,000000,21,21.75,20.97,21.35,146744,0
AVGX.US,D,20240926,000000,22.22,22.5,21.23,22.04,135194,0
AVGX.US,D,20240927,000000,21.98,21.98,20.42,20.65,135937,0
AVGX.US,D,20240930,000000,20.38,20.65,19.94,20.56,54186,0
AVGX.US,D,20241001,000000,20.38,20.4364,18.97,19.34,117553,0
AVGX.US,D,20241002,000000,19.37,20.59,19.37,20.11,107955,0
AVGX.US,D,20241003,000000,19.74,21.03,19.72,20.41,97225,0
AVGX.US,D,20241004,000000,21.39,21.541,20.66,21.49,136250,0
AVGX.US,D,20241007,000000,21.01,21.84,20.8347,21.11,107583,0
AVGX.US,D,20241008,000000,21.2,22.669,21.11,22.49,271862,0
AVGX.US,D,20241009,000000,22.17,23.87,21.44,23.79,240203,0
AVGX.US,D,20241010,000000,23.17,23.815,22.935,23.7,145502,0
AVGX.US,D,20241011,000000,22.52,22.89,21.5801,22.54,254940,0
AVGX.US,D,20241014,000000,23.13,23.3509,22.27,22.77,194821,0
AVGX.US,D,20241015,000000,22.45,22.45,20.54,21.2,259172,0
AVGX.US,D,20241016,000000,21.85,21.95,21.025,21.35,92283,0
AVGX.US,D,20241017,000000,22.56,23.48,22.33,22.5,231914,0
AVGX.US,D,20241018,000000,22.61,22.75,21.78,22.05,191519,0
AVGX.US,D,20241021,000000,21.96,22.53,21.66,22.09,121944,0
AVGX.US,D,20241022,000000,21.8,22.2,21.6412,21.91,83830,0
AVGX.US,D,20241023,000000,21.49,21.8099,20.29,20.49,124164,0
AVGX.US,D,20241024,000000,20.7,20.7,19.62,19.98,133834,0
AVGX.US,D,20241025,000000,20.69,21.2,20.2768,20.33,108201,0
AVGX.US,D,20241028,000000,20.36,20.52,19.961,20.1,70326,0
AVGX.US,D,20241029,000000,20.14,21.9947,19.93,21.7785,163681,0
