<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AZI.US,D,20240828,000000,3.9,4.05,2.62,2.62,1810400,0
AZI.US,D,20240829,000000,3.38,3.95,2.7,2.9,5248754,0
AZI.US,D,20240830,000000,2.88,3,2.4,3,509248,0
AZI.US,D,20240903,000000,2.91,3.135,2.69,3.07,188540,0
AZI.US,D,20240904,000000,3.09,3.2998,2.72,2.76,427639,0
AZI.US,D,20240905,000000,2.65,3,1.5,1.81,2918079,0
AZI.US,D,20240906,000000,1.43,1.45,1.22,1.3,631283,0
AZI.US,D,20240909,000000,1.26,1.28,1.1,1.19,390649,0
AZI.US,D,20240910,000000,1.19,1.44,1.15,1.4,474533,0
AZI.US,D,20240911,000000,1.39,1.55,1.32,1.46,171140,0
AZI.US,D,20240912,000000,1.43,1.6,1.38,1.53,146846,0
AZI.US,D,20240913,000000,1.49,1.5399,1.162,1.28,426446,0
AZI.US,D,20240916,000000,1.22,1.41,1.16,1.19,174329,0
AZI.US,D,20240917,000000,1.13,1.2,1.02,1.1,187668,0
AZI.US,D,20240918,000000,1.07,1.17,1.04,1.1,96259,0
AZI.US,D,20240919,000000,1.07,1.17,1.02,1.06,215376,0
AZI.US,D,20240920,000000,1.06,1.08,0.98,1,242567,0
AZI.US,D,20240923,000000,0.99,1.02,0.820001,0.901,283938,0
AZI.US,D,20240924,000000,0.88,0.901,0.8176,0.828949,105303,0
AZI.US,D,20240925,000000,0.84,0.977,0.8302,0.92,321598,0
AZI.US,D,20240926,000000,0.92,0.9899,0.9,0.989,116051,0
AZI.US,D,20240927,000000,0.99,1.1,0.989,1.08,216499,0
AZI.US,D,20240930,000000,1.12,1.42,1.02,1.23,561613,0
AZI.US,D,20241001,000000,1.249,1.27,1.05,1.15,130670,0
AZI.US,D,20241002,000000,1.12,1.19,1.03,1.04,103238,0
AZI.US,D,20241003,000000,1.01,1.0664,0.95,0.97,62303,0
AZI.US,D,20241004,000000,0.95,1.04,0.95,0.99,90584,0
AZI.US,D,20241007,000000,0.96,1.05,0.95,0.98,125809,0
AZI.US,D,20241008,000000,0.963,0.9839,0.84,0.900201,109122,0
AZI.US,D,20241009,000000,0.8732,0.975,0.8601,0.955,38451,0
AZI.US,D,20241010,000000,0.91,0.955,0.91,0.9549,14165,0
AZI.US,D,20241011,000000,1,1.02,0.92,0.9366,64343,0
AZI.US,D,20241014,000000,0.98,1.02,0.965,0.965,29330,0
AZI.US,D,20241015,000000,0.95,0.97,0.93,0.94,18585,0
AZI.US,D,20241016,000000,0.94,0.97,0.9119,0.96,78293,0
AZI.US,D,20241017,000000,1.006,1.02,0.92,0.9316,35911,0
AZI.US,D,20241018,000000,0.9322,0.989317,0.91,0.9116,60739,0
AZI.US,D,20241021,000000,0.92,0.95,0.8581,0.89,89454,0
AZI.US,D,20241022,000000,0.8766,0.8949,0.8303,0.8949,24366,0
AZI.US,D,20241023,000000,0.86,0.92,0.85,0.85,13853,0
AZI.US,D,20241024,000000,0.8511,0.8589,0.8303,0.84,18757,0
AZI.US,D,20241025,000000,0.84,0.8749,0.78,0.78,56369,0
AZI.US,D,20241028,000000,0.7606,0.82,0.7606,0.7711,47292,0
AZI.US,D,20241029,000000,0.79,0.849,0.75,0.77,100291,0
