<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAYAR.US,D,20240906,000000,0.2,0.2,0.2,0.2,10000,0
BAYAR.US,D,20240917,000000,0.2,0.2,0.2,0.2,6991,0
BAYAR.US,D,20240930,000000,0.16,0.16,0.1501,0.1501,502,0
BAYAR.US,D,20241007,000000,0.1534,0.175,0.1534,0.175,3172,0
BAYAR.US,D,20241014,000000,0.2,0.2,0.2,0.2,1502,0
BAYAR.US,D,20241015,000000,0.2,0.2,0.2,0.2,2300,0
BAYAR.US,D,20241021,000000,0.19,0.22,0.1502,0.22,13742,0
BAYAR.US,D,20241022,000000,0.2026,0.2026,0.2026,0.2026,757,0
BAYAR.US,D,20241024,000000,0.16,0.2,0.16,0.2,300,0
BAYAR.US,D,20241028,000000,0.19,0.19,0.19,0.19,411,0
