<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCAN.US,D,20220601,000000,1284.4,1330,997.5,999.4,89.9526316689,0
BCAN.US,D,20220602,000000,931,1003.2,769.12,906.281,187.4105265032,0
BCAN.US,D,20220603,000000,951.9,988,940.5,988,6.1789473746,0
BCAN.US,D,20220606,000000,948.1,961.4,910.1,934.8,69.4000000694,0
BCAN.US,D,20220607,000000,1071.6,1090.6,841.7,931,1743.1894754273999,0
BCAN.US,D,20220608,000000,906.3,929.1,824.6,863.55,214.46842126709998,0
BCAN.US,D,20220609,000000,862.6,900.6,807.5,864.5,70.1473684912,0
BCAN.US,D,20220610,000000,828.4,912,779,853.1,55.2736842658,0
BCAN.US,D,20220613,000000,912,1016.5,853.1,978.5,57.2421053204,0
BCAN.US,D,20220614,000000,908.2,995.6,896.8,902.5,46.000000046,0
BCAN.US,D,20220615,000000,950,950,891.1,904.4,19.1684210718,0
BCAN.US,D,20220616,000000,883.5,931,860.7,930.525,35.9210526675,0
BCAN.US,D,20220617,000000,931,931,931,931,7.3052631651999995,0
BCAN.US,D,20220621,000000,894.9,931,874,931,10.1894736944,0
BCAN.US,D,20220622,000000,856.9,923.571,780.9,902.5,38.7263158282,0
BCAN.US,D,20220623,000000,864.937,902.5,858.8,902.5,19.421052651,0
BCAN.US,D,20220624,000000,862.6,906.3,862.6,893,13.105263171,0
BCAN.US,D,20220627,000000,893,931,879.7,902.139,9.994736852099999,0
BCAN.US,D,20220628,000000,855,921.5,851.2,921.5,5.8894736901,0
BCAN.US,D,20220630,000000,837.9,902.5,826.5,836,18.4421052816,0
BCAN.US,D,20220701,000000,889.2,931,862.6,916.009,17.0578947539,0
BCAN.US,D,20220705,000000,912,912,879.7,893,4.1105263199,0
BCAN.US,D,20220706,000000,893,915.8,893,893,3.7526315827,0
BCAN.US,D,20220707,000000,917.7,917.7,822.7,910.1,35.0473684561,0
BCAN.US,D,20220708,000000,900.6,906.3,877.8,879.7,3.9789473724,0
BCAN.US,D,20220711,000000,950,950,912,929.1,14.626315804099999,0
BCAN.US,D,20220712,000000,912,912,912,912,1.4263157909,0
BCAN.US,D,20220713,000000,912,925.3,902.5,925.3,5.0421052682,0
BCAN.US,D,20220714,000000,915.8,925.3,866.761,912,20.9526315999,0
BCAN.US,D,20220715,000000,912,925.3,902.5,912,4.5105263203,0
BCAN.US,D,20220718,000000,921.5,921.5,896.8,917.054,4.8263157943,0
BCAN.US,D,20220719,000000,921.5,931,912,931,9.9000000099,0
BCAN.US,D,20220720,000000,938.6,940.5,885.4,932.9,15.2578947521,0
BCAN.US,D,20220721,000000,940.5,950,893,937.65,21.8631579166,0
BCAN.US,D,20220722,000000,921.5,932.9,874,932.9,8.7263157982,0
BCAN.US,D,20220725,000000,936.7,936.7,900.6,912,6.7000000067,0
BCAN.US,D,20220726,000000,921.5,929.1,851.2,912,6.368421059,0
BCAN.US,D,20220727,000000,893,910.1,874,910.1,2.1105263179,0
BCAN.US,D,20220728,000000,897.959,912,866.4,912,17.210526333,0
BCAN.US,D,20220729,000000,856.919,912,856.919,875.9,10.0157894837,0
BCAN.US,D,20220801,000000,902.5,912,885.4,906.3,3.3210526349,0
BCAN.US,D,20220802,000000,906.3,912,883.5,912,1.7315789491,0
BCAN.US,D,20220803,000000,912,912,883.5,912,1.9105263177,0
BCAN.US,D,20220804,000000,883.5,912,883.5,912,1.7052631596,0
BCAN.US,D,20220805,000000,912,912,912,912,0.9947368431,0
BCAN.US,D,20220808,000000,906.3,906.3,855,903.165,2.578947371,0
BCAN.US,D,20220810,000000,891.803,902.5,891.803,902.5,1.6421052648,0
BCAN.US,D,20220811,000000,856.9,892.962,855.285,892.905,6.7315789541,0
BCAN.US,D,20220812,000000,893,893,893,893,1.2052631591,0
BCAN.US,D,20220815,000000,889.2,889.2,889.2,889.2,1.1210526326999999,0
BCAN.US,D,20220816,000000,893.114,905.616,881.6,905.616,1.8736842124,0
BCAN.US,D,20220817,000000,902.5,906.832,891.1,906.832,3.8105263196,0
BCAN.US,D,20220818,000000,898.7,898.7,855,866.4,10.000000009999999,0
BCAN.US,D,20220819,000000,887.3,893,887.3,893,3.2315789506,0
BCAN.US,D,20220822,000000,872.651,893,872.1,893,13.3000000133,0
