<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCSAW.US,D,20220103,000000,0.8,0.83,0.7,0.71,262424,0
BCSAW.US,D,20220104,000000,0.73,0.73,0.69985,0.720999,203222,0
BCSAW.US,D,20220105,000000,0.74,0.75,0.7,0.7,63696,0
BCSAW.US,D,20220106,000000,0.75,0.75,0.6995,0.7,167105,0
BCSAW.US,D,20220107,000000,0.7,0.76,0.649808,0.675,134656,0
BCSAW.US,D,20220110,000000,0.82,0.82,0.6,0.67,62421,0
BCSAW.US,D,20220111,000000,0.67,0.7,0.669849,0.69,20597,0
BCSAW.US,D,20220112,000000,0.69,0.69,0.65,0.67,34600,0
BCSAW.US,D,20220113,000000,0.6801,0.7,0.6501,0.6951,59815,0
BCSAW.US,D,20220114,000000,0.69,0.7,0.65,0.65,107513,0
BCSAW.US,D,20220118,000000,0.65,0.664999,0.6,0.6,21280,0
BCSAW.US,D,20220119,000000,0.5801,0.62,0.5756,0.6,63002,0
BCSAW.US,D,20220120,000000,0.5801,0.6,0.5452,0.58,42719,0
BCSAW.US,D,20220121,000000,0.5999,0.6,0.5452,0.58,21031,0
BCSAW.US,D,20220124,000000,0.5501,0.55015,0.5501,0.5501,1662,0
BCSAW.US,D,20220125,000000,0.6,0.6,0.5506,0.5506,15550,0
BCSAW.US,D,20220126,000000,0.56,0.56,0.41945,0.4701,14434,0
BCSAW.US,D,20220127,000000,0.3999,0.4594,0.3999,0.4512,17327,0
BCSAW.US,D,20220128,000000,0.3601,0.410601,0.3601,0.410601,552,0
BCSAW.US,D,20220131,000000,0.5199,0.6757,0.425549,0.585,11805,0
BCSAW.US,D,20220201,000000,0.7274,0.73,0.5379,0.55,15570,0
BCSAW.US,D,20220202,000000,0.55,0.55,0.5,0.54,371523,0
BCSAW.US,D,20220203,000000,0.52,0.52,0.52,0.52,259666,0
BCSAW.US,D,20220204,000000,0.5165,0.5166,0.5147,0.5147,603,0
