<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDMD.US,D,20241003,000000,5.65,5.83,4.68,5,214935,0
BDMD.US,D,20241004,000000,4.98,5.46,4.0137,4.32,89397,0
BDMD.US,D,20241007,000000,4.22,4.67,3.58,4.43,42431,0
BDMD.US,D,20241008,000000,4.5191,5.1,3.62,3.885,103117,0
BDMD.US,D,20241009,000000,4.09,4.4674,3.75,3.94,62033,0
BDMD.US,D,20241010,000000,3.8,4.35,3.01,3.8,165286,0
BDMD.US,D,20241011,000000,3.72,3.9,3.31,3.31,41961,0
BDMD.US,D,20241014,000000,3.45,3.45,3.23,3.43,20007,0
BDMD.US,D,20241015,000000,3.36,3.44,3.15,3.15,5722,0
BDMD.US,D,20241016,000000,3.15,3.39,2.8132,3.26,26065,0
BDMD.US,D,20241017,000000,3.5,3.55,3.01,3.06,73950,0
BDMD.US,D,20241018,000000,3.17,3.29,3.0101,3.02,16499,0
BDMD.US,D,20241021,000000,3.08,3.55,3.08,3.1,20831,0
BDMD.US,D,20241022,000000,3.12,3.4723,3.09,3.25,46196,0
BDMD.US,D,20241023,000000,3.514,3.514,3.052,3.06,9155,0
BDMD.US,D,20241024,000000,3.1189,3.3,3.052,3.16,17164,0
BDMD.US,D,20241025,000000,3.05,3.45,3.05,3.08,16592,0
BDMD.US,D,20241028,000000,3.08,3.22,2.73,3,32392,0
BDMD.US,D,20241029,000000,2.98,3.14,2.65,3.14,22019,0
