<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGRO.US,D,20240607,000000,30.65,30.65,30.6125,30.6125,1045,0
BGRO.US,D,20240610,000000,30.63,30.8224,30.63,30.8224,1323,0
BGRO.US,D,20240611,000000,31.0004,31.0004,31.0004,31.0004,30,0
BGRO.US,D,20240612,000000,31.585,31.615,31.5846,31.5846,346,0
BGRO.US,D,20240613,000000,31.64,31.7656,31.61,31.7656,320,0
BGRO.US,D,20240614,000000,31.79,31.79,31.7823,31.7823,193,0
BGRO.US,D,20240617,000000,32.0766,32.0766,32.0766,32.0766,30,0
BGRO.US,D,20240618,000000,32.01,32.2139,32.01,32.2139,291,0
BGRO.US,D,20240620,000000,32.25,32.25,31.9154,31.9154,585,0
BGRO.US,D,20240621,000000,31.791,31.791,31.791,31.791,12,0
BGRO.US,D,20240624,000000,31.5262,31.55,31.31,31.31,745,0
BGRO.US,D,20240625,000000,31.6,31.7851,31.6,31.7851,778,0
BGRO.US,D,20240626,000000,31.9428,31.9428,31.9428,31.9428,132,0
BGRO.US,D,20240627,000000,32.05,32.06,31.8819,31.9529,12173,0
BGRO.US,D,20240628,000000,32.2,32.2,31.7105,31.7105,6933,0
BGRO.US,D,20240701,000000,31.6947,31.9144,31.64,31.9144,1290,0
BGRO.US,D,20240702,000000,32.1138,32.1138,32.1138,32.1138,148,0
BGRO.US,D,20240703,000000,32.17,32.4184,32.17,32.4184,397,0
BGRO.US,D,20240705,000000,32.7041,32.7041,32.7041,32.7041,189,0
BGRO.US,D,20240708,000000,32.95,32.95,32.7009,32.7009,654,0
BGRO.US,D,20240709,000000,32.7169,32.7169,32.7169,32.7169,23,0
BGRO.US,D,20240710,000000,32.9,33.0863,32.9,33.0863,280,0
BGRO.US,D,20240711,000000,32.81,32.81,32.3386,32.3386,344,0
BGRO.US,D,20240712,000000,32.7,32.74,32.34,32.4195,2924,0
BGRO.US,D,20240715,000000,33.31,33.31,32.33,32.4069,4824,0
BGRO.US,D,20240716,000000,32.64,32.64,32.2779,32.4045,4176,0
BGRO.US,D,20240717,000000,31.76,31.76,31.2699,31.295,7781,0
BGRO.US,D,20240718,000000,31.35,31.36,30.8048,31.0261,1529,0
BGRO.US,D,20240719,000000,30.82,30.82,30.81,30.8147,1647,0
BGRO.US,D,20240722,000000,31.42,31.42,31.4012,31.4012,415,0
BGRO.US,D,20240723,000000,31.4711,31.4711,31.4711,31.4711,113,0
BGRO.US,D,20240724,000000,30.8587,30.8587,30.1472,30.1472,447,0
BGRO.US,D,20240725,000000,29.97,30.0989,29.7938,29.7938,789,0
BGRO.US,D,20240726,000000,29.9949,29.9949,29.9949,29.9949,283,0
BGRO.US,D,20240729,000000,30.029,30.029,30.029,30.029,83,0
BGRO.US,D,20240730,000000,29.6,29.6,29.57,29.5854,4717,0
BGRO.US,D,20240731,000000,30.48,30.6371,30.4799,30.6371,273,0
BGRO.US,D,20240801,000000,30.1102,30.1102,30.03,30.0452,1163,0
BGRO.US,D,20240802,000000,29.12,29.17,28.995,29.1657,4539,0
BGRO.US,D,20240805,000000,27.15,28.2031,27.15,28.2031,1213,0
BGRO.US,D,20240806,000000,28.9088,28.9088,28.26,28.6414,617,0
BGRO.US,D,20240807,000000,29.2399,29.2399,28.273,28.273,350,0
BGRO.US,D,20240808,000000,29.2221,29.2221,29.2221,29.2221,125,0
BGRO.US,D,20240809,000000,29.4927,29.4927,29.4927,29.4927,14,0
BGRO.US,D,20240812,000000,29.5535,29.5535,29.5535,29.5535,165,0
BGRO.US,D,20240813,000000,30.11,30.3379,30.11,30.3379,3362,0
BGRO.US,D,20240814,000000,30.5454,30.5454,30.5454,30.5454,310,0
BGRO.US,D,20240815,000000,31.2799,31.2799,31.271,31.271,468,0
BGRO.US,D,20240816,000000,31.2923,31.2923,31.2923,31.2923,23,0
BGRO.US,D,20240819,000000,31.3116,31.6598,31.3116,31.6598,341,0
BGRO.US,D,20240820,000000,31.6397,31.6397,31.6397,31.6397,31,0
BGRO.US,D,20240821,000000,31.73,31.825,31.73,31.825,492,0
BGRO.US,D,20240822,000000,31.2491,31.2491,31.2491,31.2491,36,0
BGRO.US,D,20240823,000000,31.69,31.69,31.5876,31.5876,584,0
BGRO.US,D,20240826,000000,31.22,31.2345,31.22,31.2345,209,0
BGRO.US,D,20240827,000000,31.3767,31.3767,31.3767,31.3767,46,0
BGRO.US,D,20240828,000000,31.42,31.42,31.0861,31.0861,354,0
BGRO.US,D,20240829,000000,30.9125,30.9125,30.9125,30.9125,46,0
BGRO.US,D,20240830,000000,31.3571,31.3571,31.3571,31.3571,143,0
BGRO.US,D,20240903,000000,30.2782,30.2782,30.2782,30.2782,172,0
BGRO.US,D,20240904,000000,30.159,30.159,30.159,30.159,311,0
BGRO.US,D,20240905,000000,30.0878,30.0878,30.0878,30.0878,56,0
