<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIOR.US,D,20200619,000000,3777.5,3980,3162.5,3280,12092.752,0
BIOR.US,D,20200622,000000,3472.5,3487.5,2940,2992.5,2320.444,0
BIOR.US,D,20200623,000000,2990,3093.5,2650,2825,2226.288,0
BIOR.US,D,20200624,000000,2840,2946.5,2757.5,2880,1254.024,0
BIOR.US,D,20200625,000000,2875,2875,2562.5,2625,1478.788,0
BIOR.US,D,20200626,000000,2627.5,2650,2385,2495,836.284,0
BIOR.US,D,20200629,000000,2457.5,2545,2290,2437.5,770.32,0
BIOR.US,D,20200630,000000,2400,2452.5,2202.5,2250,1036.4,0
BIOR.US,D,20200701,000000,2267.5,2267.5,1907.5,1995,3309.828,0
BIOR.US,D,20200702,000000,2097.5,2250,1975,2200,1562.784,0
BIOR.US,D,20200706,000000,2187.5,2247.5,2152.52,2182.5,1087.436,0
BIOR.US,D,20200707,000000,2127.5,2447.5,2127.5,2355,1208.636,0
BIOR.US,D,20200708,000000,2407.5,2605.02,2295,2512.5,975.556,0
BIOR.US,D,20200709,000000,2505,2505,2247.5,2312.5,492.468,0
BIOR.US,D,20200710,000000,2297.5,2407.5,2210.02,2382.5,205.908,0
BIOR.US,D,20200713,000000,2400,2402.5,2180,2185,335.736,0
BIOR.US,D,20200714,000000,2125,2384.12,2017.5,2322.5,412.364,0
BIOR.US,D,20200715,000000,2362.5,2625,2287.5,2550,1076.644,0
BIOR.US,D,20200716,000000,2545,2725,2427.5,2697.5,582.464,0
BIOR.US,D,20200717,000000,2745,2749.98,2567.5,2677.5,336.344,0
BIOR.US,D,20200720,000000,2652.5,2652.5,2517.5,2572.5,178.344,0
BIOR.US,D,20200721,000000,2532.5,2630,2215,2262.5,800.684,0
BIOR.US,D,20200722,000000,2265,2370,2147.5,2260,364.916,0
BIOR.US,D,20200723,000000,2202.5,2326.25,2200,2252.5,504.32,0
BIOR.US,D,20200724,000000,2315,2320,2225,2235,195.676,0
BIOR.US,D,20200727,000000,2255,2255,2162.5,2175,176.392,0
BIOR.US,D,20200728,000000,2145,2210,2090.02,2130,252.748,0
BIOR.US,D,20200729,000000,2115,2155.08,2040,2072.5,233.276,0
BIOR.US,D,20200730,000000,2160,2212.28,2100.15,2192.5,108.784,0
BIOR.US,D,20200731,000000,2132.5,2277.5,2112.5,2277.5,302.66,0
BIOR.US,D,20200803,000000,2307.5,2307.5,2200,2270,119.2,0
BIOR.US,D,20200804,000000,2257.5,2310,2232.5,2272.5,130.984,0
BIOR.US,D,20200805,000000,2262.5,2272.5,2172.5,2185,196.236,0
BIOR.US,D,20200806,000000,2155,2285,2155,2250,114.484,0
BIOR.US,D,20200807,000000,2247.5,2274.38,2160,2272.5,70.62,0
BIOR.US,D,20200810,000000,2222.5,2284.98,2222.5,2275,167.544,0
BIOR.US,D,20200811,000000,2255,2267.5,2200,2240,96.504,0
BIOR.US,D,20200812,000000,2250,2327.5,2207.52,2282.5,140.98,0
BIOR.US,D,20200813,000000,2260,2343.75,2212.5,2237.5,162.884,0
BIOR.US,D,20200814,000000,2077.5,2125,1927.5,1927.5,406.98,0
BIOR.US,D,20200817,000000,1970,2385,1962.5,2385,525.64,0
BIOR.US,D,20200818,000000,2255.02,2567.5,2237.5,2390,609.672,0
BIOR.US,D,20200819,000000,2390,2418.75,2200,2212.5,290.564,0
BIOR.US,D,20200820,000000,2212.5,2387.5,2130,2387.5,177.384,0
BIOR.US,D,20200821,000000,2432.5,2437.5,2232.52,2267.5,114.076,0
BIOR.US,D,20200824,000000,2425,2427.5,2167.5,2287.5,126.92,0
BIOR.US,D,20200825,000000,2257.5,2298.75,2165,2195,91.304,0
BIOR.US,D,20200826,000000,2195,2257.5,2195,2245,72.12,0
BIOR.US,D,20200827,000000,2245,2310,2200,2225,56.1,0
BIOR.US,D,20200828,000000,2197.5,2362.5,2197.5,2275,203.8,0
BIOR.US,D,20200831,000000,2212.5,2312.5,2205,2307.5,144.484,0
BIOR.US,D,20200901,000000,2305,2305,2127.5,2262.5,133.032,0
BIOR.US,D,20200902,000000,2188.75,2250,2127.5,2247.5,143.988,0
BIOR.US,D,20200903,000000,2230,2245,2027.5,2072.5,301.072,0
BIOR.US,D,20200904,000000,2082.5,2245,2025,2225,266.852,0
BIOR.US,D,20200908,000000,2320,2405,2090,2247.5,375.2,0
BIOR.US,D,20200909,000000,2245,2416.25,2245,2400,279.976,0
BIOR.US,D,20200910,000000,2350,2350,2130,2160,144.104,0
BIOR.US,D,20200911,000000,2170,2302.5,2145,2230,272.244,0
BIOR.US,D,20200914,000000,2247.5,2382.5,2102.5,2362.5,897.908,0
BIOR.US,D,20200915,000000,2382.5,2437.5,2260.25,2290,987.116,0
BIOR.US,D,20200916,000000,2325,2415,2292.5,2302.5,166.784,0
BIOR.US,D,20200917,000000,2270,2382.5,2252.5,2297.5,304.728,0
BIOR.US,D,20200918,000000,2310,2350,2107.5,2120,1993.384,0
BIOR.US,D,20200921,000000,2112.5,2325,2012.5,2077.5,192.216,0
BIOR.US,D,20200922,000000,2112.5,2140,2055,2075,110.724,0
BIOR.US,D,20200923,000000,2062.5,2242.5,2030,2177.5,605.1,0
BIOR.US,D,20200924,000000,2230,2230,2062.5,2132.5,352.66,0
BIOR.US,D,20200925,000000,2187.5,2202.5,2132.52,2187.5,222.46,0
BIOR.US,D,20200928,000000,2205,2275,2157.5,2212.5,304.328,0
BIOR.US,D,20200929,000000,2212.5,2250,2157.52,2217.5,140.928,0
BIOR.US,D,20200930,000000,2227.5,2267.5,2167.5,2255,228.412,0
BIOR.US,D,20201001,000000,2255,2375,2255,2337.5,254.692,0
BIOR.US,D,20201002,000000,2272.5,2325,2190,2322.5,196.328,0
BIOR.US,D,20201005,000000,2342.5,2342.5,2206.05,2275,106.816,0
BIOR.US,D,20201006,000000,2322.5,2322.5,2260,2272.5,99.532,0
BIOR.US,D,20201007,000000,2275,2390,2252.5,2305,110.956,0
BIOR.US,D,20201008,000000,2320,2385,2320,2370,175.588,0
BIOR.US,D,20201009,000000,2363.75,2377.5,2282.5,2315,63.844,0
BIOR.US,D,20201012,000000,2315,2330.42,2250,2282.5,91.74,0
BIOR.US,D,20201013,000000,2292.5,2292.5,2185,2285,202.588,0
BIOR.US,D,20201014,000000,2332.5,2370,2225,2245,75.864,0
BIOR.US,D,20201015,000000,2210,2287.5,2210,2250,50.6,0
BIOR.US,D,20201016,000000,2242.5,2352.5,2210,2257.5,78.632,0
BIOR.US,D,20201019,000000,2285,2291.25,2207.5,2240,44.592,0
BIOR.US,D,20201020,000000,2225,2290,2032.5,2032.5,293.772,0
BIOR.US,D,20201021,000000,2065,2141.42,1980,1997.5,229.664,0
BIOR.US,D,20201022,000000,1987.5,2045,1950,1950,82.288,0
BIOR.US,D,20201023,000000,2002.5,2060,1962.5,1977.5,59.016,0
BIOR.US,D,20201026,000000,1990,2008.75,1960,1987.5,57.096,0
BIOR.US,D,20201027,000000,2030,2050,1976.25,1977.5,98.592,0
BIOR.US,D,20201028,000000,1967.5,1982.5,1900,1922.5,292.848,0
BIOR.US,D,20201029,000000,1930,1930,1480,1490,1874.376,0
BIOR.US,D,20201030,000000,1512.5,1512.5,1247.5,1247.5,796.18,0
BIOR.US,D,20201102,000000,1295,1295,1060,1067.5,810.804,0
BIOR.US,D,20201103,000000,1130,1173.6,1065,1075,290.988,0
BIOR.US,D,20201104,000000,1077.5,1132.5,1000,1080,529.344,0
BIOR.US,D,20201105,000000,1065,1285,1055,1275,481.184,0
BIOR.US,D,20201106,000000,1337.5,1337.5,1182.5,1220,339.056,0
BIOR.US,D,20201109,000000,1275,1312.5,1145,1217.5,460.012,0
BIOR.US,D,20201110,000000,1220,1297.5,1140,1150,591.044,0
BIOR.US,D,20201111,000000,1150,1222.5,1150,1180,567.512,0
BIOR.US,D,20201112,000000,1197.5,1223.75,1075,1097.5,270.356,0
BIOR.US,D,20201113,000000,1122.5,1210,1097.5,1117.5,522.616,0
BIOR.US,D,20201116,000000,1162.5,1190,1080,1097.5,304.412,0
BIOR.US,D,20201117,000000,1115,1133.58,1045,1052.5,416.064,0
BIOR.US,D,20201118,000000,1052.5,1105,1002.5,1040,540.556,0
BIOR.US,D,20201119,000000,1027.5,1060,992.5,1000,633.744,0
BIOR.US,D,20201120,000000,1007.5,1026.68,965,980,1070.528,0
BIOR.US,D,20201123,000000,1002.5,1007.32,910,910,1754.616,0
BIOR.US,D,20201124,000000,950,1050,915,975,1809.396,0
BIOR.US,D,20201125,000000,1007.85,1037.5,960,977.5,1172.744,0
BIOR.US,D,20201127,000000,987.5,1000,947.5,975,680.092,0
BIOR.US,D,20201130,000000,995,1037.5,977.5,1002.5,1439.464,0
BIOR.US,D,20201201,000000,919.7,962.5,892.5,907.5,4283.24,0
BIOR.US,D,20201202,000000,917.5,920,817.5,821.25,2837.9,0
BIOR.US,D,20201203,000000,795,827.5,770,816.25,11762.432,0
BIOR.US,D,20201204,000000,825,837.5,795,817.5,3844.736,0
BIOR.US,D,20201207,000000,875,927.5,842.5,875,6448.324,0
BIOR.US,D,20201208,000000,945,972.5,825,855,4196.796,0
BIOR.US,D,20201209,000000,890,890,835,867.5,4409.736,0
BIOR.US,D,20201210,000000,935.45,1002.5,890,992.5,12318.856,0
BIOR.US,D,20201211,000000,1050,1220,1017.5,1182.5,16255.844,0
BIOR.US,D,20201214,000000,1250,1265.7,1005,1032.5,8796.976,0
BIOR.US,D,20201215,000000,1050,1085,977.5,1040,3766,0
BIOR.US,D,20201216,000000,1082.5,1197.5,1025,1162.5,6949.512,0
BIOR.US,D,20201217,000000,1250,1417.5,1235,1360,10292.384,0
BIOR.US,D,20201218,000000,1385,1605,1375,1580,13774.74,0
BIOR.US,D,20201221,000000,1570,1730,1302.5,1712.5,8057.536,0
BIOR.US,D,20201222,000000,1700,1887.5,1625,1670,8033.588,0
BIOR.US,D,20201223,000000,1700,1735.27,1572.5,1685,4283.424,0
BIOR.US,D,20201224,000000,1665,1687.5,1450,1500,3231.548,0
BIOR.US,D,20201228,000000,1522.5,1600,1315,1337.5,4776.848,0
