<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BJDX.US,D,20211111,000000,105,105.4,95,98.4,92921.15,0
BJDX.US,D,20211112,000000,99.8,100,90.2,91.6,94260.7,0
BJDX.US,D,20211115,000000,88.8,89.358,71.6,72.6,167931.35,0
BJDX.US,D,20211116,000000,72.91,74.798,70.4,72.6,40158.4,0
BJDX.US,D,20211117,000000,70.2,71.6,64.4,66,56454.45,0
BJDX.US,D,20211118,000000,64.8,66.54,56.8,61,68169.2,0
BJDX.US,D,20211119,000000,58.6,69.2,57.234,59.34,63761.85,0
BJDX.US,D,20211122,000000,59.4,60.926,53,54.2,57859.9,0
BJDX.US,D,20211123,000000,54.2,61,54.2,58.4,81728.3,0
BJDX.US,D,20211124,000000,59.8,67.4,59.2,64.8,124884,0
BJDX.US,D,20211126,000000,60.4,68.6,58.6,67.8,115615.95,0
BJDX.US,D,20211129,000000,70.6,71.6,65,66.8,105848.5,0
BJDX.US,D,20211130,000000,64.8,65.798,56.6,57.4,78723.6,0
BJDX.US,D,20211201,000000,57.6,59,52,53,78706.55,0
BJDX.US,D,20211202,000000,51.4,52.8,46.2,51.4,62684.1,0
BJDX.US,D,20211203,000000,51.6,52.6,45.6,46.6,50572.15,0
BJDX.US,D,20211206,000000,47,53.806,44.4,51.4,104207.3,0
BJDX.US,D,20211207,000000,58,59.2,51.6,52.6,938420.2,0
BJDX.US,D,20211208,000000,49.8,53.6,48,51.8,180315.7,0
BJDX.US,D,20211209,000000,51.8,63.2,51.8,53.6,601209.6,0
BJDX.US,D,20211210,000000,56.572,60.4,53.002,59,209575.25,0
BJDX.US,D,20211213,000000,58.4,64.8,57.6,61.6,238206.65,0
BJDX.US,D,20211214,000000,61,61,53.8,54.8,117258.8,0
BJDX.US,D,20211215,000000,55.4,56.6,51.6,54.4,65887.15,0
BJDX.US,D,20211216,000000,53.4,54.324,51.4,52,43191,0
BJDX.US,D,20211217,000000,52,57.4,51.4,55.6,105439.6,0
BJDX.US,D,20211220,000000,56.2,65.8,54,62.2,217197.1,0
BJDX.US,D,20211221,000000,64,71.8,62.42,65.2,201712.55,0
BJDX.US,D,20211222,000000,64,65.2,56.546,57,191328.5,0
BJDX.US,D,20211223,000000,61.4,63,58.2,62.2,80962.85,0
BJDX.US,D,20211227,000000,61.4,62.8,59.026,59.8,57358.85,0
BJDX.US,D,20211228,000000,59.4,59.8,54.634,55.8,79315.6,0
BJDX.US,D,20211229,000000,55.2,55.8,50.6,51.4,71893.15,0
BJDX.US,D,20211230,000000,52,53.4,50.8,52.2,36023.1,0
BJDX.US,D,20211231,000000,52.8,53.2,49.676,51.2,31370.4,0
BJDX.US,D,20220103,000000,53,58.998,52.1,58.3,68098.75,0
BJDX.US,D,20220104,000000,58,58.6,55,56.6,48064,0
BJDX.US,D,20220105,000000,56,58.4,54,55.4,51441.9,0
BJDX.US,D,20220106,000000,54.8,55.6,51,51.4,51088.6,0
BJDX.US,D,20220107,000000,51.4,53.2,50.4,52.6,31604.5,0
BJDX.US,D,20220110,000000,52.8,55.8,51,55.8,31831.85,0
BJDX.US,D,20220111,000000,54.6,56,54,54.8,28635.85,0
BJDX.US,D,20220112,000000,63.4,64,54.4,54.8,362185.3,0
BJDX.US,D,20220113,000000,53,59,51.2,53.2,236966.2,0
BJDX.US,D,20220114,000000,52.4,54.2,52,53.2,30273,0
BJDX.US,D,20220118,000000,51.588,52.4,50.4,51.5,33251.35,0
BJDX.US,D,20220119,000000,52.4,52.956,49,49.2,37583,0
BJDX.US,D,20220120,000000,49,49.6,45.4,46,45465,0
BJDX.US,D,20220121,000000,45,45.8,40.4,41.6,48992.1,0
BJDX.US,D,20220124,000000,36.4,37,30.8,36.4,79829.25,0
BJDX.US,D,20220125,000000,34.2,38.8,33.2,35.2,46690.35,0
BJDX.US,D,20220126,000000,36,36.298,33.2,33.8,15488.2,0
BJDX.US,D,20220127,000000,34.2,34.6,31,31,27945.9,0
BJDX.US,D,20220128,000000,32.8,32.8,29,31.2,29589.25,0
BJDX.US,D,20220131,000000,33.8,33.8,30.4,33,101338.2,0
BJDX.US,D,20220201,000000,32.218,32.4,30.4,31,42892.2,0
BJDX.US,D,20220202,000000,30.8,30.8,27,28.4,66202.55,0
BJDX.US,D,20220203,000000,28,28,25.2,25.8,25520.9,0
BJDX.US,D,20220204,000000,25.8,25.86,23.6,24.6,35506.9,0
BJDX.US,D,20220207,000000,24.6,25.18,22.6,23.4,32531.25,0
BJDX.US,D,20220208,000000,23.2,25,23,24.2,18426.1,0
BJDX.US,D,20220209,000000,25.6,25.6,24.2,24.4,33573.15,0
BJDX.US,D,20220210,000000,23.6,28,23.002,26.2,73376.8,0
BJDX.US,D,20220211,000000,25.6,26.2,23.2,23.4,26222.6,0
BJDX.US,D,20220214,000000,22.4,23.2,21.6,21.6,28634.8,0
BJDX.US,D,20220215,000000,22.2,23.2,21.6,23,38165.45,0
BJDX.US,D,20220216,000000,22.86,23.6,21.6,23.6,23854.9,0
BJDX.US,D,20220217,000000,23.2,25,22.198,22.2,33804.35,0
BJDX.US,D,20220218,000000,22.4,22.4,20,20,40627.15,0
BJDX.US,D,20220222,000000,19.8,19.93,18.206,19,28565.25,0
BJDX.US,D,20220223,000000,19.2,19.6,18.444,18.856,9096.35,0
