<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKHA.US,D,20240515,000000,10.11,10.11,10.1,10.11,39158,0
BKHA.US,D,20240516,000000,10.1,10.11,10.09,10.11,7251,0
BKHA.US,D,20240517,000000,10.1,10.11,10.1,10.11,413,0
BKHA.US,D,20240520,000000,10.11,10.11,10.1,10.11,1894623,0
BKHA.US,D,20240521,000000,10.1077,10.115,10.1,10.11,61941,0
BKHA.US,D,20240522,000000,10.11,10.13,10.11,10.13,79135,0
BKHA.US,D,20240523,000000,10.12,10.13,10.11,10.13,265496,0
BKHA.US,D,20240524,000000,10.13,10.13,10.13,10.13,1603,0
BKHA.US,D,20240528,000000,10.13,10.14,10.13,10.13,8777,0
BKHA.US,D,20240529,000000,10.12,10.13,10.12,10.13,3813,0
BKHA.US,D,20240530,000000,10.13,10.135,10.13,10.135,41212,0
BKHA.US,D,20240605,000000,10.1,10.1,10.1,10.1,2001,0
BKHA.US,D,20240606,000000,10.09,10.14,10.09,10.14,583,0
BKHA.US,D,20240612,000000,10.145,10.145,10.14,10.14,3051,0
BKHA.US,D,20240617,000000,10.14,10.14,10.14,10.14,526,0
BKHA.US,D,20240618,000000,10.14,10.15,10.1301,10.1301,904,0
BKHA.US,D,20240620,000000,10.14,10.14,10.14,10.14,2100,0
BKHA.US,D,20240621,000000,10.15,10.15,10.15,10.15,2000,0
BKHA.US,D,20240627,000000,10.1532,10.1532,10.14,10.15,6102,0
BKHA.US,D,20240628,000000,10.15,10.15,10.14,10.14,31807,0
BKHA.US,D,20240701,000000,10.13,10.14,10.13,10.13,26478,0
BKHA.US,D,20240702,000000,10.13,10.135,10.12,10.13,71393,0
BKHA.US,D,20240703,000000,10.13,10.13,10.13,10.13,102,0
BKHA.US,D,20240705,000000,10.14,10.14,10.13,10.13,51800,0
BKHA.US,D,20240708,000000,10.13,10.13,10.13,10.13,391,0
BKHA.US,D,20240709,000000,10.13,10.13,10.12,10.13,39164,0
BKHA.US,D,20240710,000000,10.13,10.13,10.13,10.13,1033,0
BKHA.US,D,20240711,000000,10.12,10.12,10.12,10.12,171186,0
BKHA.US,D,20240715,000000,10.13,10.13,10.13,10.13,605,0
BKHA.US,D,20240716,000000,10.13,10.135,10.13,10.135,18887,0
BKHA.US,D,20240718,000000,10.14,10.14,10.1395,10.14,42240,0
BKHA.US,D,20240719,000000,10.14,10.14,10.14,10.14,600,0
BKHA.US,D,20240723,000000,10.15,10.15,10.134,10.134,23182,0
BKHA.US,D,20240725,000000,10.15,10.1556,10.15,10.1556,4525,0
BKHA.US,D,20240726,000000,10.16,10.16,10.15,10.15,4038,0
BKHA.US,D,20240731,000000,10.16,10.16,10.16,10.16,887,0
BKHA.US,D,20240801,000000,10.16,10.16,10.16,10.16,2336,0
BKHA.US,D,20240805,000000,10.16,10.16,10.16,10.16,40156,0
BKHA.US,D,20240806,000000,10.16,10.16,10.16,10.16,111,0
BKHA.US,D,20240807,000000,10.17,10.17,10.16,10.16,2042,0
BKHA.US,D,20240808,000000,10.17,10.18,10.16,10.17,8333,0
BKHA.US,D,20240812,000000,10.18,10.18,10.17,10.18,8681,0
BKHA.US,D,20240813,000000,10.19,10.19,10.18,10.18,50708,0
BKHA.US,D,20240814,000000,10.19,10.19,10.18,10.18,600,0
BKHA.US,D,20240815,000000,10.19,10.19,10.18,10.18,26710,0
BKHA.US,D,20240816,000000,10.18,10.19,10.18,10.19,721,0
BKHA.US,D,20240819,000000,10.18,10.2,10.18,10.2,706,0
BKHA.US,D,20240821,000000,10.2,10.2,10.19,10.19,4762,0
BKHA.US,D,20240823,000000,10.19,10.19,10.19,10.19,102,0
BKHA.US,D,20240828,000000,10.2,10.2,10.19,10.19,40400,0
BKHA.US,D,20240903,000000,10.19,10.19,10.19,10.19,110,0
BKHA.US,D,20240906,000000,10.2,10.2,10.2,10.2,350,0
BKHA.US,D,20240909,000000,10.2,10.21,10.2,10.21,75193,0
BKHA.US,D,20240911,000000,10.2,10.2,10.2,10.2,55101,0
BKHA.US,D,20240913,000000,10.22,10.22,10.22,10.22,132068,0
BKHA.US,D,20240916,000000,10.21,10.21,10.21,10.21,155,0
BKHA.US,D,20240918,000000,10.21,10.21,10.19,10.2,4260,0
BKHA.US,D,20240923,000000,10.22,10.3,10.22,10.24,115184,0
BKHA.US,D,20241001,000000,10.23,10.25,10.23,10.25,102503,0
BKHA.US,D,20241002,000000,10.28,10.28,10.2398,10.24,10246,0
BKHA.US,D,20241010,000000,10.25,10.25,10.25,10.25,702,0
BKHA.US,D,20241014,000000,10.25,10.25,10.25,10.25,2100,0
BKHA.US,D,20241017,000000,10.255,10.26,10.255,10.26,8725,0
BKHA.US,D,20241022,000000,10.3,10.3,10.3,10.3,500,0
BKHA.US,D,20241028,000000,10.34,10.34,10.34,10.34,1000,0
