<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKHAR.US,D,20240514,000000,1.05,1.1,1.05,1.06,162851,0
BKHAR.US,D,20240515,000000,1.1,1.1,1.05,1.06,82458,0
BKHAR.US,D,20240517,000000,1.1999,1.1999,1.1,1.1,5401,0
BKHAR.US,D,20240520,000000,1.1,1.1,1.07,1.07,131007,0
BKHAR.US,D,20240521,000000,1.09,1.09,1.09,1.09,100,0
BKHAR.US,D,20240522,000000,1.07,1.09,1.07,1.07,10983,0
BKHAR.US,D,20240523,000000,1.06,1.15,1.06,1.1,1111,0
BKHAR.US,D,20240524,000000,1.07,4.2,1.06,1.2,31407,0
BKHAR.US,D,20240528,000000,1.2,1.2,1.03,1.1,46123,0
BKHAR.US,D,20240529,000000,1.11,1.11,1.11,1.11,153,0
BKHAR.US,D,20240530,000000,1.1,1.11,1.1,1.1,1129,0
BKHAR.US,D,20240531,000000,1.12,1.12,1.08,1.12,1049,0
BKHAR.US,D,20240603,000000,1,1.1,1,1.1,52915,0
BKHAR.US,D,20240610,000000,1.22,1.56,1.1,1.56,7335,0
BKHAR.US,D,20240612,000000,1.52,1.52,1.46,1.46,1218,0
BKHAR.US,D,20240613,000000,1.99,1.99,1.5,1.54,4500,0
BKHAR.US,D,20240614,000000,1.32,1.6,1.1,1.3,8301,0
BKHAR.US,D,20240625,000000,0.96,0.96,0.96,0.96,101,0
BKHAR.US,D,20240626,000000,1.01,1.2,1.01,1.2,233,0
BKHAR.US,D,20240627,000000,1.2,1.49,1.2,1.2,550,0
BKHAR.US,D,20240628,000000,1.01,1.2,1,1.1,34259,0
BKHAR.US,D,20240708,000000,1.25,1.26,1.25,1.26,309,0
BKHAR.US,D,20240710,000000,1.26,1.26,1.26,1.26,138,0
BKHAR.US,D,20240808,000000,1,1.06,1,1.06,15100,0
BKHAR.US,D,20240816,000000,1.1,1.21,1.08,1.1,4339,0
BKHAR.US,D,20240819,000000,1.05,1.1,1.05,1.1,701,0
BKHAR.US,D,20240820,000000,1.1,1.1,1.1,1.1,821,0
BKHAR.US,D,20240821,000000,1.13,1.15,1.13,1.15,601,0
BKHAR.US,D,20240822,000000,1.15,1.15,1.15,1.15,5020,0
BKHAR.US,D,20240826,000000,1.25,1.5,1.25,1.5,7335,0
BKHAR.US,D,20240827,000000,2.11,2.11,1.54,1.6,1702,0
BKHAR.US,D,20240828,000000,1.6,1.6,1.13,1.6,4112,0
BKHAR.US,D,20240904,000000,1.59,1.99,1.4,1.4,11106,0
BKHAR.US,D,20240909,000000,1.6,1.7,1.4,1.41,2099,0
BKHAR.US,D,20240910,000000,1.54,1.55,1.41,1.43,7525,0
BKHAR.US,D,20240911,000000,1.4,1.65,1.32,1.33,16559,0
BKHAR.US,D,20240912,000000,1.45,1.55,1.2,1.2,6067,0
BKHAR.US,D,20240913,000000,1.12,1.35,1.12,1.21,640,0
BKHAR.US,D,20240918,000000,1.33,1.5,1.3,1.3,3441,0
BKHAR.US,D,20240919,000000,1.21,1.21,1.12,1.18,2078,0
BKHAR.US,D,20240920,000000,1.18,1.2,1.075,1.199,8101,0
BKHAR.US,D,20240923,000000,1.13,1.15,1.11,1.11,6912,0
BKHAR.US,D,20240924,000000,1.11,1.11,1.11,1.11,460,0
BKHAR.US,D,20240925,000000,1.17,1.17,1.16,1.16,298,0
BKHAR.US,D,20240930,000000,1.16,1.16,1.16,1.16,400,0
BKHAR.US,D,20241001,000000,1.12,1.2,1.11,1.11,2200,0
BKHAR.US,D,20241003,000000,1.11,1.11,1.11,1.11,2602,0
BKHAR.US,D,20241007,000000,1.11,1.16,1.11,1.16,1803,0
BKHAR.US,D,20241023,000000,1,1.01,1,1.01,1645,0
