<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLACU.US,D,20240510,000000,11.47,11.47,11.21,11.31,900,0
BLACU.US,D,20240529,000000,10.83,11.04,10.7,11.04,554,0
BLACU.US,D,20240604,000000,11.1,11.1,10.86,10.86,204,0
BLACU.US,D,20240605,000000,10.86,10.86,10.86,10.86,100,0
BLACU.US,D,20240708,000000,10.94,10.94,10.94,10.94,257,0
BLACU.US,D,20240723,000000,11.25,11.25,11.13,11.14,1750,0
BLACU.US,D,20240801,000000,11.15,11.15,11.15,11.15,504,0
BLACU.US,D,20240802,000000,11.12,11.3,11.11,11.11,1096,0
BLACU.US,D,20240806,000000,10.85,12,10.85,11.2,4098,0
BLACU.US,D,20240807,000000,11.32,11.9,10.63,10.9,5450,0
BLACU.US,D,20240808,000000,10.89,10.99,10.89,10.99,1300,0
BLACU.US,D,20240816,000000,10.95,10.95,10.71,10.88,1130,0
BLACU.US,D,20240819,000000,10.89,11.02,10.89,11.02,600,0
BLACU.US,D,20240820,000000,10.95,10.95,10.95,10.95,107,0
BLACU.US,D,20240821,000000,10.95,10.95,10.95,10.95,190,0
BLACU.US,D,20240828,000000,10.96,10.96,10.96,10.96,200,0
BLACU.US,D,20240829,000000,10.96,11.1,10.96,11.1,2199,0
BLACU.US,D,20240830,000000,10.95,10.95,10.95,10.95,505,0
BLACU.US,D,20240904,000000,10.95,10.95,10.95,10.95,200,0
BLACU.US,D,20240905,000000,10.96,10.96,10.95,10.95,202,0
BLACU.US,D,20241007,000000,10.95,10.95,10.95,10.95,100,0
BLACU.US,D,20241017,000000,11,11,11,11,300,0
