<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLEU.US,D,20220111,000000,9.61,9.66,9.61,9.66,10101,0
BLEU.US,D,20220112,000000,9.66,9.66,9.64,9.66,33147,0
BLEU.US,D,20220113,000000,9.66,9.66,9.65,9.65,171766,0
BLEU.US,D,20220114,000000,9.65,9.7,9.63,9.63,179240,0
BLEU.US,D,20220118,000000,9.65,9.69,9.64,9.64,66241,0
BLEU.US,D,20220119,000000,9.6499,9.65,9.6499,9.65,1204,0
BLEU.US,D,20220121,000000,9.66,9.66,9.64,9.64,12540,0
BLEU.US,D,20220124,000000,9.6576,9.66,9.6576,9.66,9832,0
BLEU.US,D,20220127,000000,9.66,9.66,9.65,9.65,21011,0
BLEU.US,D,20220128,000000,9.66,9.66,9.66,9.66,3125,0
BLEU.US,D,20220131,000000,9.66,9.66,9.66,9.66,320,0
BLEU.US,D,20220201,000000,9.66,9.7,9.66,9.7,11113,0
BLEU.US,D,20220207,000000,9.7,9.7,9.7,9.7,1203,0
BLEU.US,D,20220208,000000,9.67,9.67,9.65,9.65,18224,0
BLEU.US,D,20220209,000000,9.66,9.66,9.66,9.66,650223,0
BLEU.US,D,20220210,000000,9.67,9.67,9.6406,9.66,160618,0
BLEU.US,D,20220211,000000,9.7,9.7,9.7,9.7,105,0
BLEU.US,D,20220214,000000,9.68,9.68,9.68,9.68,517,0
BLEU.US,D,20220215,000000,9.68,9.7,9.68,9.68,6297,0
BLEU.US,D,20220217,000000,9.67,9.69,9.63,9.63,762438,0
BLEU.US,D,20220218,000000,9.66,9.66,9.66,9.66,50001,0
BLEU.US,D,20220222,000000,9.68,9.68,9.68,9.68,2001,0
BLEU.US,D,20220223,000000,9.67,9.67,9.67,9.67,338,0
BLEU.US,D,20220303,000000,9.68,9.7,9.65,9.7,256316,0
BLEU.US,D,20220315,000000,9.7,9.7,9.7,9.7,149219,0
BLEU.US,D,20220316,000000,9.7,9.7,9.7,9.7,703,0
BLEU.US,D,20220317,000000,9.72,9.72,9.72,9.72,58702,0
BLEU.US,D,20220318,000000,9.71,9.74,9.7,9.74,40625,0
BLEU.US,D,20220322,000000,9.74,9.74,9.71,9.71,242009,0
BLEU.US,D,20220328,000000,9.74,9.74,9.74,9.74,10177,0
BLEU.US,D,20220401,000000,9.73,9.73,9.73,9.73,300,0
BLEU.US,D,20220404,000000,9.72,9.74,9.72,9.73,324635,0
BLEU.US,D,20220405,000000,9.73,9.74,9.73,9.74,114794,0
BLEU.US,D,20220406,000000,9.75,9.75,9.74,9.74,71000,0
BLEU.US,D,20220407,000000,9.74,9.74,9.73,9.73,140100,0
BLEU.US,D,20220408,000000,9.72,9.73,9.72,9.73,301,0
BLEU.US,D,20220412,000000,9.76,9.79,9.76,9.76,7841,0
BLEU.US,D,20220413,000000,9.76,9.77,9.73,9.75,67634,0
BLEU.US,D,20220414,000000,9.75,9.76,9.75,9.76,9104,0
BLEU.US,D,20220418,000000,9.77,9.77,9.77,9.77,100,0
BLEU.US,D,20220420,000000,9.76,9.78,9.76,9.78,451977,0
BLEU.US,D,20220426,000000,9.76,9.77,9.75,9.75,600,0
BLEU.US,D,20220428,000000,9.74,9.74,9.74,9.74,1717,0
BLEU.US,D,20220502,000000,9.74,9.74,9.74,9.74,28000,0
BLEU.US,D,20220503,000000,9.75,9.75,9.75,9.75,50005,0
BLEU.US,D,20220504,000000,9.8,9.8,9.8,9.8,163,0
BLEU.US,D,20220506,000000,9.75,9.75,9.75,9.75,2999,0
BLEU.US,D,20220509,000000,9.75,9.75,9.75,9.75,4598,0
BLEU.US,D,20220511,000000,9.74,9.74,9.74,9.74,11415,0
BLEU.US,D,20220517,000000,9.75,9.75,9.75,9.75,1500040,0
BLEU.US,D,20220526,000000,9.72,9.72,9.72,9.72,929,0
BLEU.US,D,20220527,000000,9.76,9.76,9.76,9.76,100,0
BLEU.US,D,20220531,000000,9.76,9.76,9.76,9.76,101,0
BLEU.US,D,20220613,000000,9.78,9.78,9.75,9.78,2802,0
BLEU.US,D,20220614,000000,9.76,9.76,9.76,9.76,10022,0
BLEU.US,D,20220615,000000,9.81,9.81,9.75,9.75,16155,0
BLEU.US,D,20220616,000000,9.75,9.76,9.75,9.75,3607,0
BLEU.US,D,20220617,000000,9.76,9.95,9.7362,9.87,103460,0
BLEU.US,D,20220621,000000,9.8499,9.8499,9.7201,9.74,36579,0
BLEU.US,D,20220622,000000,9.74,9.74,9.74,9.74,57998,0
BLEU.US,D,20220623,000000,9.87,9.87,9.74,9.74,300,0
BLEU.US,D,20220624,000000,9.87,9.87,9.72,9.75,2533,0
BLEU.US,D,20220627,000000,9.74,9.75,9.74,9.74,4906,0
BLEU.US,D,20220628,000000,9.76,9.76,9.76,9.76,301,0
BLEU.US,D,20220629,000000,9.76,9.76,9.73,9.73,4201,0
BLEU.US,D,20220630,000000,9.74,9.74,9.74,9.74,707,0
BLEU.US,D,20220701,000000,9.87,9.87,9.74,9.74,2111,0
BLEU.US,D,20220705,000000,9.86,9.86,9.74,9.76,263227,0
BLEU.US,D,20220706,000000,9.74,9.8259,9.74,9.75,5770,0
BLEU.US,D,20220707,000000,9.74,9.75,9.74,9.74,5282,0
BLEU.US,D,20220708,000000,9.74,9.87,9.74,9.87,560,0
BLEU.US,D,20220711,000000,9.78,9.78,9.77,9.77,452,0
BLEU.US,D,20220713,000000,9.75,9.76,9.75,9.76,531,0
BLEU.US,D,20220714,000000,9.75,9.76,9.75,9.76,210836,0
BLEU.US,D,20220715,000000,9.75,9.765,9.75,9.76,41087,0
BLEU.US,D,20220718,000000,9.76,9.77,9.76,9.77,50100,0
BLEU.US,D,20220719,000000,9.76,9.76,9.76,9.76,50001,0
BLEU.US,D,20220720,000000,9.76,9.785,9.76,9.785,210639,0
BLEU.US,D,20220721,000000,9.79,9.8,9.79,9.8,29595,0
BLEU.US,D,20220722,000000,9.82,9.82,9.81,9.82,28013,0
BLEU.US,D,20220725,000000,9.82,9.82,9.82,9.82,21104,0
BLEU.US,D,20220726,000000,9.82,9.82,9.8,9.82,5741,0
BLEU.US,D,20220728,000000,9.81,9.81,9.81,9.81,578,0
BLEU.US,D,20220802,000000,9.79,9.79,9.79,9.79,430,0
BLEU.US,D,20220803,000000,9.79,9.79,9.79,9.79,20612,0
BLEU.US,D,20220809,000000,9.79,9.79,9.79,9.79,57332,0
BLEU.US,D,20220812,000000,9.79,9.79,9.79,9.79,485,0
BLEU.US,D,20220817,000000,9.79,9.79,9.78,9.78,466042,0
BLEU.US,D,20220818,000000,9.8,9.81,9.79,9.8,5502,0
BLEU.US,D,20220823,000000,9.8,9.8,9.8,9.8,143,0
BLEU.US,D,20220901,000000,9.82,9.9,9.8,9.85,92865,0
BLEU.US,D,20220907,000000,9.83,9.84,9.82,9.83,214924,0
BLEU.US,D,20220909,000000,9.83,9.845,9.83,9.845,335311,0
BLEU.US,D,20220912,000000,9.85,9.85,9.84,9.84,66454,0
