<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNGO.US,D,20180921,000000,100,100,62.48,69.9,642.9,0
BNGO.US,D,20180924,000000,71.1,79.9,65,65.857,2440.1,0
BNGO.US,D,20180925,000000,65.4,70,55.11,63.1,1739.6,0
BNGO.US,D,20180926,000000,62.7,69.499,62.4,65.325,536,0
BNGO.US,D,20180927,000000,68.4,86.385,63.4,82.5,7034.5,0
BNGO.US,D,20180928,000000,85,85,72.391,79.63,2102.7,0
BNGO.US,D,20181001,000000,79,85,76.096,76.416,675.8,0
BNGO.US,D,20181002,000000,74.3,79.354,73,76.3,699.4,0
BNGO.US,D,20181003,000000,73.3,73.8,72.6,72.6,427.5,0
BNGO.US,D,20181004,000000,70.6,73.145,67.5,68.34,1550.1,0
BNGO.US,D,20181005,000000,67.5,68.717,67.5,68.4,795.5,0
BNGO.US,D,20181008,000000,65,70,65,65.325,1267.2,0
BNGO.US,D,20181009,000000,67.5,69.9,65,69.4,1746.6,0
BNGO.US,D,20181010,000000,71,71,65,65.75,1154.1,0
BNGO.US,D,20181011,000000,65,67.7,65,67.7,401.4,0
BNGO.US,D,20181012,000000,73,73,65,69.455,200.1,0
BNGO.US,D,20181015,000000,68.5,68.5,65.325,65.325,68.2,0
BNGO.US,D,20181016,000000,67.5,67.5,66.325,67.357,80,0
BNGO.US,D,20181017,000000,69.9,69.9,65.501,69.5,509.7,0
BNGO.US,D,20181018,000000,69.672,69.672,69,69,57.2,0
BNGO.US,D,20181019,000000,68.1,70,65,69.6,1093.7,0
BNGO.US,D,20181022,000000,68.247,70,65,65.675,430.7,0
BNGO.US,D,20181023,000000,63.7,67.125,63,63,2627.4,0
BNGO.US,D,20181024,000000,63.5,64.242,62.5,62.5,472.1,0
BNGO.US,D,20181025,000000,63.5,65,62.5,65,326.5,0
BNGO.US,D,20181026,000000,67.018,67.018,63,63.8,485.5,0
BNGO.US,D,20181029,000000,64,69.88,64,67.96,989.2,0
BNGO.US,D,20181031,000000,67.5,67.5,64.5,64.5,126.2,0
BNGO.US,D,20181101,000000,67.167,67.167,67.167,67.167,29.3,0
BNGO.US,D,20181102,000000,66.5,69.7,66.5,69.7,52.1,0
BNGO.US,D,20181105,000000,71.7,73.999,71,71.204,685.7,0
BNGO.US,D,20181106,000000,74.9,77.027,72.56,73.9,287.9,0
BNGO.US,D,20181107,000000,74.189,74.999,71,71.912,608.4,0
BNGO.US,D,20181108,000000,71.87,72.5,68,69.5,803.3,0
BNGO.US,D,20181109,000000,62.6,68.9,62.6,68.5,141.1,0
BNGO.US,D,20181112,000000,70,74.65,65.1,69.7,497.5,0
BNGO.US,D,20181113,000000,70.5,70.5,66.485,69.5,238.5,0
BNGO.US,D,20181114,000000,67,69.9,67,69.9,69,0
BNGO.US,D,20181115,000000,68.9,70.2,68.9,70.2,428.5,0
BNGO.US,D,20181116,000000,68.291,72.5,68.291,72,265.3,0
BNGO.US,D,20181119,000000,74.851,74.851,67.5,70.1,273.4,0
BNGO.US,D,20181120,000000,69.7,69.7,69.4,69.4,49,0
BNGO.US,D,20181121,000000,69.2,69.2,67.79,68,59.3,0
BNGO.US,D,20181126,000000,68,70.25,65,65,168.5,0
BNGO.US,D,20181127,000000,65,70,65,66.2,543.2,0
BNGO.US,D,20181128,000000,68.146,70.5,65.3,70.5,450.5,0
BNGO.US,D,20181129,000000,71.5,71.5,71.5,71.5,54.3,0
BNGO.US,D,20181130,000000,71,71,68,69.9,87.8,0
BNGO.US,D,20181203,000000,69.5,69.9,69,69.9,145.7,0
BNGO.US,D,20181204,000000,68.247,68.247,66.02,68,70,0
BNGO.US,D,20181206,000000,66.328,68,65,65,144.3,0
BNGO.US,D,20181207,000000,66.1,66.1,65.099,65.099,85.4,0
BNGO.US,D,20181210,000000,66.7,66.7,65,65,153.4,0
