<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCY.US,D,20240614,000000,20.315,20.315,20.315,20.315,2,0
BSCY.US,D,20240617,000000,20.2161,20.245,20.2161,20.245,1154,0
BSCY.US,D,20240618,000000,20.31,20.32,20.31,20.315,602,0
BSCY.US,D,20240620,000000,20.22,20.27,20.22,20.26,4654,0
BSCY.US,D,20240621,000000,20.2364,20.2644,20.23,20.26,19838,0
BSCY.US,D,20240624,000000,20.2799,20.3,20.2671,20.285,8566,0
BSCY.US,D,20240625,000000,20.28,20.2892,20.27,20.285,5126,0
BSCY.US,D,20240626,000000,20.2,20.2,20.16,20.185,28280,0
BSCY.US,D,20240627,000000,20.24,20.24,20.2251,20.2251,5100,0
BSCY.US,D,20240628,000000,20.26,20.27,20.15,20.155,9201,0
BSCY.US,D,20240701,000000,20.06,20.06,20.009,20.02,20881,0
BSCY.US,D,20240702,000000,20.09,20.13,20.0745,20.12,14581,0
BSCY.US,D,20240703,000000,20.1657,20.25,20.1657,20.2476,10771,0
BSCY.US,D,20240705,000000,20.355,20.37,20.355,20.36,3364,0
BSCY.US,D,20240708,000000,20.37,20.38,20.31,20.365,9274,0
BSCY.US,D,20240709,000000,20.36,20.379,20.32,20.335,14595,0
BSCY.US,D,20240710,000000,20.36,20.3692,20.3565,20.3692,2064,0
BSCY.US,D,20240711,000000,20.5,20.51,20.4765,20.4851,13143,0
BSCY.US,D,20240712,000000,20.505,20.5367,20.505,20.5367,3187,0
BSCY.US,D,20240715,000000,20.49,20.5,20.4553,20.4553,9523,0
BSCY.US,D,20240716,000000,20.51,20.549,20.51,20.545,8798,0
BSCY.US,D,20240717,000000,20.55,20.58,20.5233,20.565,10203,0
BSCY.US,D,20240718,000000,20.55,20.55,20.495,20.4952,12858,0
BSCY.US,D,20240719,000000,20.445,20.445,20.445,20.445,30010,0
BSCY.US,D,20240722,000000,20.36,20.39,20.3,20.32,18405,0
BSCY.US,D,20240723,000000,20.3499,20.37,20.325,20.325,6029,0
BSCY.US,D,20240724,000000,20.34,20.345,20.24,20.24,13774,0
BSCY.US,D,20240725,000000,20.3,20.33,20.29,20.305,15187,0
BSCY.US,D,20240726,000000,20.3841,20.41,20.3699,20.405,5873,0
BSCY.US,D,20240729,000000,20.44,20.44,20.41,20.43,12767,0
BSCY.US,D,20240730,000000,20.57,20.57,20.42,20.475,4685,0
BSCY.US,D,20240731,000000,20.55,20.59,20.5,20.585,28416,0
BSCY.US,D,20240801,000000,20.69,20.69,20.6529,20.665,21416,0
BSCY.US,D,20240802,000000,20.8,20.91,20.77,20.89,99075,0
BSCY.US,D,20240805,000000,20.93,20.93,20.78,20.8141,46461,0
BSCY.US,D,20240806,000000,20.7498,20.7498,20.62,20.62,8080,0
BSCY.US,D,20240807,000000,20.66,20.66,20.588,20.61,2755,0
