<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSLKW.US,D,20240815,000000,0.1101,0.1101,0.11,0.11,299317,0
BSLKW.US,D,20240822,000000,0.11,0.11,0.1,0.105,5925,0
BSLKW.US,D,20240823,000000,0.1,0.1,0.05,0.05,443584,0
BSLKW.US,D,20240826,000000,0.0525,0.0551,0.0501,0.0501,112177,0
BSLKW.US,D,20240827,000000,0.05,0.0526,0.05,0.0526,5320,0
BSLKW.US,D,20240828,000000,0.0799,0.099999,0.071,0.071,88274,0
BSLKW.US,D,20240829,000000,0.071,0.071,0.0312,0.0655,62769,0
BSLKW.US,D,20240830,000000,0.04,0.041,0.0397,0.04,11625,0
BSLKW.US,D,20240905,000000,0.0401,0.0401,0.0401,0.0401,1079,0
BSLKW.US,D,20240906,000000,0.0401,0.0401,0.0401,0.0401,467,0
BSLKW.US,D,20240909,000000,0.03,0.03,0.0261,0.0262,3617,0
BSLKW.US,D,20240910,000000,0.0265,0.0265,0.0261,0.0261,4664,0
BSLKW.US,D,20240911,000000,0.0252,0.0253,0.0252,0.0253,400,0
BSLKW.US,D,20240913,000000,0.0252,0.0252,0.0252,0.0252,43938,0
BSLKW.US,D,20240923,000000,0.029899,0.03,0.026,0.03,6050,0
BSLKW.US,D,20240926,000000,0.05,0.06,0.05,0.06,800,0
BSLKW.US,D,20241004,000000,0.027,0.027,0.027,0.027,200,0
BSLKW.US,D,20241008,000000,0.0451,0.0598,0.025,0.032501,5383,0
BSLKW.US,D,20241010,000000,0.04,0.0401,0.04,0.0401,2015,0
BSLKW.US,D,20241011,000000,0.03,0.03,0.03,0.03,519,0
BSLKW.US,D,20241014,000000,0.025,0.025,0.025,0.025,23004,0
BSLKW.US,D,20241015,000000,0.025,0.025,0.023,0.023,1320,0
BSLKW.US,D,20241016,000000,0.022,0.022,0.0157,0.0199,115200,0
BSLKW.US,D,20241024,000000,0.02,0.02,0.02,0.02,10007,0
BSLKW.US,D,20241025,000000,0.0199,0.025968,0.0181,0.0181,54697,0
BSLKW.US,D,20241028,000000,0.0161,0.0161,0.0161,0.0161,100,0
