<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMY.US,D,20240919,000000,25.11,25.11,25.11,25.11,1,0
BSMY.US,D,20240923,000000,25.13,25.13,25.13,25.13,1,0
BSMY.US,D,20240926,000000,25.1,25.115,25.1,25.115,1213,0
BSMY.US,D,20240930,000000,25.2,25.21,25.155,25.155,3609,0
BSMY.US,D,20241002,000000,25.22,25.22,25.22,25.22,1,0
BSMY.US,D,20241003,000000,25.22,25.22,25.18,25.18,210,0
BSMY.US,D,20241007,000000,24.99,24.99,24.99,24.99,1,0
BSMY.US,D,20241008,000000,24.96,25.05,24.96,24.9819,3066,0
BSMY.US,D,20241009,000000,24.8895,24.895,24.8895,24.895,149,0
BSMY.US,D,20241010,000000,24.895,24.895,24.895,24.895,3,0
BSMY.US,D,20241011,000000,24.93,24.94,24.9182,24.9182,438,0
BSMY.US,D,20241014,000000,24.825,24.825,24.825,24.825,1,0
BSMY.US,D,20241015,000000,24.94,24.955,24.94,24.955,441,0
BSMY.US,D,20241016,000000,24.96,24.995,24.96,24.995,43590,0
BSMY.US,D,20241017,000000,24.939,24.939,24.915,24.915,4331,0
BSMY.US,D,20241018,000000,24.92,24.9244,24.92,24.9244,1210,0
BSMY.US,D,20241021,000000,24.735,24.735,24.735,24.735,10,0
BSMY.US,D,20241022,000000,24.65,24.65,24.65,24.65,96,0
BSMY.US,D,20241023,000000,24.5049,24.5049,24.42,24.43,2202,0
BSMY.US,D,20241024,000000,24.49,24.49,24.49,24.49,7,0
BSMY.US,D,20241025,000000,24.57,24.57,24.535,24.535,274,0
BSMY.US,D,20241028,000000,24.55,24.56,24.55,24.56,200,0
BSMY.US,D,20241029,000000,24.61,24.61,24.61,24.61,5911,0
