<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAMP.US,D,20241011,000000,11.16,11.5,10.25,10.72,849300,0
CAMP.US,D,20241014,000000,11.23,12.3,9.51,9.75,309208,0
CAMP.US,D,20241015,000000,9.72,11.47,9.395,10.75,178007,0
CAMP.US,D,20241016,000000,11.15,11.795,9.52,10.92,168481,0
CAMP.US,D,20241017,000000,10.37,11.24,10.37,10.86,75781,0
CAMP.US,D,20241018,000000,11.25,11.25,10.3985,11,40725,0
CAMP.US,D,20241021,000000,11.4,11.6,10.57,10.9,58754,0
CAMP.US,D,20241022,000000,11.63,11.63,10.54,10.9,103895,0
CAMP.US,D,20241023,000000,10.78,11.18,10.7501,11,63651,0
CAMP.US,D,20241024,000000,11.225,11.225,10.71,11,37486,0
CAMP.US,D,20241025,000000,11.24,11.24,10.835,11.19,25102,0
CAMP.US,D,20241028,000000,11.43,11.6,10.6901,11.11,49927,0
CAMP.US,D,20241029,000000,11.05,11.4699,10.76,11.37,57551,0
