<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAPNU.US,D,20240923,000000,10,10.01,10,10.01,231206,0
CAPNU.US,D,20240924,000000,10.04,10.05,10.04,10.05,12528,0
CAPNU.US,D,20240925,000000,10,10.05,10,10.0018,29202,0
CAPNU.US,D,20240926,000000,10.04,10.04,10.01,10.02,102103,0
CAPNU.US,D,20240927,000000,10.01,10.01,10.01,10.01,50707,0
CAPNU.US,D,20240930,000000,10.02,10.02,10.02,10.02,1570,0
CAPNU.US,D,20241001,000000,10.01,10.02,10.01,10.02,73744,0
CAPNU.US,D,20241002,000000,10.01,10.02,10.01,10.011492,151234,0
CAPNU.US,D,20241003,000000,10.02,10.02,10.02,10.02,2000,0
CAPNU.US,D,20241008,000000,10.0234,10.0234,10.0234,10.0234,500,0
CAPNU.US,D,20241009,000000,10.04,10.04,10.02,10.04,101803,0
CAPNU.US,D,20241010,000000,10.022,10.04,10.015,10.04,25639,0
CAPNU.US,D,20241011,000000,10.03,10.03,10.015,10.03,11206,0
CAPNU.US,D,20241015,000000,10.03,10.03,10.02,10.03,6722,0
CAPNU.US,D,20241016,000000,10.03,10.038,10.03,10.03,906,0
CAPNU.US,D,20241017,000000,10.03,10.03,10.03,10.03,500,0
CAPNU.US,D,20241018,000000,10.03,10.03,10.03,10.03,513,0
CAPNU.US,D,20241022,000000,10.04,10.05,10.04,10.05,40302,0
CAPNU.US,D,20241023,000000,10.05,10.07,10.05,10.06,20815,0
CAPNU.US,D,20241028,000000,10.15,10.15,10.097602,10.097602,700,0
CAPNU.US,D,20241029,000000,10.06,10.07,10.06,10.07,202600,0
