<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCSB.US,D,20240416,000000,20.05,20.05,19.9905,20.035,332579,0
CCSB.US,D,20240417,000000,20.055,20.09,20.05,20.05,1728,0
CCSB.US,D,20240418,000000,20.05,20.1,20.05,20.05,40639,0
CCSB.US,D,20240419,000000,20.07,20.12,20.07,20.1,54194,0
CCSB.US,D,20240422,000000,20.11,20.11,20.07,20.07,579,0
CCSB.US,D,20240423,000000,20.0896,20.1066,20.08,20.08,686,0
CCSB.US,D,20240424,000000,20.06,20.11,20.06,20.075,538,0
CCSB.US,D,20240425,000000,20.11,20.11,20.075,20.075,130,0
CCSB.US,D,20240426,000000,20.085,20.12,20.07,20.085,1128,0
CCSB.US,D,20240429,000000,20.13,20.13,20.095,20.095,228,0
CCSB.US,D,20240430,000000,20.12,20.12,20.09,20.09,355,0
CCSB.US,D,20240501,000000,20.13,20.13,20.1053,20.1053,1835,0
CCSB.US,D,20240502,000000,20.14,20.14,20.115,20.115,787,0
CCSB.US,D,20240503,000000,20.17,20.18,20.12,20.14,1354,0
CCSB.US,D,20240506,000000,20.17,20.18,20.1269,20.145,2698,0
CCSB.US,D,20240507,000000,20.17,20.17,20.14,20.14,517,0
CCSB.US,D,20240508,000000,20.17,20.17,20.135,20.135,1707,0
CCSB.US,D,20240509,000000,20.12,20.1999,20.12,20.155,429,0
CCSB.US,D,20240510,000000,20.14,20.14,20.14,20.14,103,0
CCSB.US,D,20240513,000000,20.18,20.18,20.145,20.145,574,0
CCSB.US,D,20240514,000000,20.18,20.24,20.16,20.16,2082,0
CCSB.US,D,20240515,000000,20.21,20.21,20.21,20.21,395,0
CCSB.US,D,20240516,000000,20.21,20.21,20.18,20.18,2568,0
CCSB.US,D,20240517,000000,20.21,20.26,20.17,20.17,3020,0
CCSB.US,D,20240520,000000,20.22,20.22,20.175,20.175,1197,0
CCSB.US,D,20240521,000000,20.15,20.22,20.15,20.18,997,0
CCSB.US,D,20240522,000000,20.175,20.2099,20.175,20.19,460,0
CCSB.US,D,20240523,000000,20.17,20.22,20.17,20.19,4261,0
CCSB.US,D,20240524,000000,20.14,20.23,20.14,20.175,2067,0
CCSB.US,D,20240528,000000,20.16,20.26,20.16,20.17,2058,0
CCSB.US,D,20240529,000000,20.155,20.155,20.155,20.155,57,0
CCSB.US,D,20240530,000000,20.185,20.185,20.185,20.185,62,0
CCSB.US,D,20240531,000000,20.25,20.25,20.208,20.215,1109,0
CCSB.US,D,20240603,000000,20.25,20.27,20.17,20.22,664,0
CCSB.US,D,20240604,000000,20.27,20.27,20.23,20.23,6127,0
CCSB.US,D,20240605,000000,20.3,20.3,20.27,20.27,707,0
CCSB.US,D,20240606,000000,20.28,20.28,20.245,20.245,499,0
CCSB.US,D,20240607,000000,20.25,20.25,20.22,20.22,284,0
CCSB.US,D,20240610,000000,20.25,20.25,20.225,20.225,610,0
CCSB.US,D,20240611,000000,20.2412,20.2412,20.235,20.235,39527,0
CCSB.US,D,20240612,000000,20.33,20.34,20.26,20.26,828,0
CCSB.US,D,20240613,000000,20.31,20.31,20.31,20.31,23792,0
CCSB.US,D,20240614,000000,20.32,20.33,20.285,20.285,895,0
CCSB.US,D,20240617,000000,20.32,20.32,20.31,20.31,1723,0
CCSB.US,D,20240618,000000,20.33,20.33,20.285,20.285,372,0
CCSB.US,D,20240620,000000,20.24,20.33,20.24,20.33,1222,0
CCSB.US,D,20240621,000000,20.34,20.34,20.295,20.295,1190,0
CCSB.US,D,20240624,000000,20.3144,20.69,20.3,20.3,2897,0
CCSB.US,D,20240625,000000,20.33,20.33,20.285,20.285,333,0
CCSB.US,D,20240626,000000,20.15,20.205,20.14,20.185,985,0
CCSB.US,D,20240627,000000,20.25,20.25,20.2,20.2,294,0
CCSB.US,D,20240628,000000,20.26,20.26,20.195,20.195,1621,0
CCSB.US,D,20240701,000000,20.23,20.28,20.23,20.24,2630,0
CCSB.US,D,20240702,000000,20.25,20.25,20.205,20.205,7039,0
