<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDT.US,D,20220329,000000,10.1,10.1,10.1,10.1,205,0
CDT.US,D,20220330,000000,9.95,10,9.95,9.9501,704,0
CDT.US,D,20220401,000000,9.96,9.97,9.95,9.96,44605,0
CDT.US,D,20220404,000000,9.97,9.97,9.97,9.97,29005,0
CDT.US,D,20220406,000000,9.97,9.97,9.97,9.97,25000,0
CDT.US,D,20220407,000000,9.9772,9.99,9.97,9.99,42549,0
CDT.US,D,20220411,000000,9.98,9.99,9.98,9.99,470349,0
CDT.US,D,20220414,000000,9.99,9.99,9.99,9.99,700,0
CDT.US,D,20220426,000000,10,10,10,10,634,0
CDT.US,D,20220503,000000,10.01,10.01,10,10,70001,0
CDT.US,D,20220505,000000,10,10.01,10,10.01,10301,0
CDT.US,D,20220506,000000,10,10,10,10,448962,0
CDT.US,D,20220509,000000,10,10,10,10,5000,0
CDT.US,D,20220510,000000,9.99,9.99,9.99,9.99,100,0
CDT.US,D,20220511,000000,9.9867,9.9867,9.9867,9.9867,100,0
CDT.US,D,20220512,000000,9.98,9.98,9.96,9.97,58654,0
CDT.US,D,20220517,000000,9.99,9.99,9.99,9.99,206,0
CDT.US,D,20220518,000000,9.99,9.99,9.98,9.98,2378,0
CDT.US,D,20220520,000000,9.98,9.98,9.98,9.98,4426,0
CDT.US,D,20220524,000000,9.98,9.98,9.98,9.98,183,0
CDT.US,D,20220526,000000,9.97,9.97,9.97,9.97,21300,0
CDT.US,D,20220602,000000,9.97,9.97,9.97,9.97,25000,0
CDT.US,D,20220603,000000,10,10.01,10,10,4001,0
CDT.US,D,20220606,000000,10.5,10.5,10.01,10.01,257465,0
CDT.US,D,20220610,000000,10.01,10.01,10.01,10.01,101,0
CDT.US,D,20220613,000000,10.5,10.5,10.005,10.005,5086,0
CDT.US,D,20220617,000000,9.99,10,9.99,9.99,40767,0
CDT.US,D,20220621,000000,10.03,10.03,10.03,10.03,5878,0
CDT.US,D,20220622,000000,10.02,10.02,10.02,10.02,3900,0
CDT.US,D,20220627,000000,9.99,10.04,9.975,10,772417,0
CDT.US,D,20220628,000000,10.04,10.04,10.04,10.04,800,0
CDT.US,D,20220629,000000,10.01,10.01,10,10,148933,0
CDT.US,D,20220630,000000,10.03,10.03,10.03,10.03,11067,0
CDT.US,D,20220707,000000,10.005,10.01,10,10.01,5253,0
CDT.US,D,20220711,000000,10.03,10.03,10.03,10.03,220,0
CDT.US,D,20220715,000000,10.02,10.02,10.02,10.02,100,0
CDT.US,D,20220815,000000,10.07,10.07,10.07,10.07,101,0
CDT.US,D,20220822,000000,10.05,10.05,10.05,10.05,25810,0
CDT.US,D,20220824,000000,10.02,10.06,10.02,10.06,634485,0
CDT.US,D,20220906,000000,10.06,10.06,10.06,10.06,117,0
CDT.US,D,20220907,000000,10.06,10.06,10.06,10.06,100,0
CDT.US,D,20220909,000000,10.055,10.07,10.055,10.07,60001,0
CDT.US,D,20220912,000000,10.1,10.55,10.055,10.055,1600,0
