<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CETX.US,D,20150625,000000,65958.6,67628.4,63619.2,65122.8,0.9642857625000008,0
CETX.US,D,20150626,000000,65122.8,65122.8,62449.8,63785.4,1.4971429320000011,0
CETX.US,D,20150629,000000,59110.8,64289.4,59110.8,63285.6,0.9461905235000007,0
CETX.US,D,20150630,000000,56439.6,64289.4,50429.3,52666,3.736190663000003,0
CETX.US,D,20150701,000000,53768.4,55438,52932.5,52932.5,3.491428746000002,0
CETX.US,D,20150702,000000,52932.5,53434.4,52598.8,53100.5,0.8742857580000006,0
CETX.US,D,20150706,000000,53268.5,53268.5,52098.8,53100.5,0.7185714645000004,0
CETX.US,D,20150707,000000,52598.8,53100.5,52098.8,52764.5,0.46714288050000036,0
CETX.US,D,20150708,000000,52098.8,52764.5,51932.9,52432.8,0.09000000450000008,0
CETX.US,D,20150709,000000,52932.5,52932.5,51428.9,51596.9,0.5152381210000004,0
CETX.US,D,20150710,000000,51428.9,52764.5,51428.9,52598.8,1.7428572300000011,0
CETX.US,D,20150713,000000,63285.6,63285.6,51428.9,52264.8,0.9642857625000008,0
CETX.US,D,20150714,000000,52598.8,52598.8,50429.3,50429.3,1.0090476695000006,0
CETX.US,D,20150715,000000,50429.3,51097.2,50429.3,50929.2,0.18238096150000013,0
CETX.US,D,20150716,000000,52432.8,58442.9,50595.2,53934.4,5.006666917000005,0
CETX.US,D,20150717,000000,52764.5,56607.6,51428.9,54268.1,1.377619116500001,0
CETX.US,D,20150720,000000,51932.9,53934.4,49427.6,49593.6,2.1561905840000013,0
CETX.US,D,20150721,000000,49759.6,49759.6,48757.7,48757.7,0.3833333525000003,0
CETX.US,D,20150722,000000,48757.7,49427.6,44750.9,45252.8,4.742857380000004,0
CETX.US,D,20150723,000000,45084.8,49427.6,45084.8,48258,0.45523811800000036,0
CETX.US,D,20150724,000000,47590.1,47590.1,45918.5,47254.1,0.34142858850000024,0
CETX.US,D,20150727,000000,45586.8,48592,45586.8,48592,0.2933333480000002,0
CETX.US,D,20150728,000000,48090,48757.7,46754.4,46754.4,0.07190476550000005,0
CETX.US,D,20150729,000000,45084.8,48258,45084.8,46086.5,0.9280952845000008,0
CETX.US,D,20150730,000000,51097.2,53768.4,47758.1,48090,3.078095392000002,0
CETX.US,D,20150731,000000,47590.1,48925.7,47590.1,48258,1.185714345000001,0
CETX.US,D,20150803,000000,47088.4,48424,45084.8,45918.5,1.9790477180000015,0
CETX.US,D,20150804,000000,45084.8,48258,43415.3,43917.2,1.1257143420000006,0
CETX.US,D,20150805,000000,47590.1,47590.1,43583.3,44249.2,0.7966667065000005,0
CETX.US,D,20150806,000000,46588.4,48424,46588.4,46922.4,0.19000000950000015,0
CETX.US,D,20150807,000000,47422.1,47422.1,47422.1,47422.1,0.06000000300000004,0
CETX.US,D,20150810,000000,48258,48757.7,47254.1,48757.7,0.3895238290000003,0
CETX.US,D,20150811,000000,46756.4,47590.1,46754.4,47176.4,0.3504762080000003,0
CETX.US,D,20150812,000000,46922.4,46922.4,41911.7,42579.6,1.569047697500001,0
CETX.US,D,20150813,000000,42579.6,44582.9,41743.7,41911.7,1.4133334040000012,0
CETX.US,D,20150814,000000,40744.1,47924,39240.5,42913.6,11.030952932500007,0
CETX.US,D,20150817,000000,45084.8,45418.8,40076.4,41412,6.653333666000005,0
CETX.US,D,20150818,000000,42247.7,43247.3,40744.1,41743.7,1.0300000515000007,0
CETX.US,D,20150819,000000,42579.6,44249.2,42247.7,42247.7,0.6166666975000005,0
CETX.US,D,20150820,000000,41743.7,42413.6,40408.1,40408.1,0.5328571695000004,0
CETX.US,D,20150821,000000,39574.4,45918.5,39574.4,41244,0.8442857565000007,0
CETX.US,D,20150824,000000,39742.4,46382.8,36233.3,37235.2,0.7671428955000005,0
CETX.US,D,20150825,000000,38906.8,39908.4,37736.9,38406.8,0.9580952860000008,0
CETX.US,D,20150826,000000,38238.8,38238.8,36903.2,37904.9,0.6166666975000005,0
CETX.US,D,20150827,000000,39742.4,39742.4,38072.9,39240.5,0.9761905250000007,0
CETX.US,D,20150828,000000,39742.4,41578,38406.8,40242.4,0.34142858850000024,0
CETX.US,D,20150831,000000,40744.1,40744.1,37069.2,37904.9,0.6585714615000005,0
CETX.US,D,20150901,000000,45918.5,46086.5,39240.5,40912.1,2.1261905825000014,0
CETX.US,D,20150902,000000,40076.4,40076.4,37736.9,40076.4,0.6290476505000004,0
CETX.US,D,20150903,000000,40076.4,41578,39408.5,41244,1.8204762815000015,0
CETX.US,D,20150904,000000,42913.6,42913.6,40408.1,41578,1.5090476945000013,0
CETX.US,D,20150908,000000,41743.7,43247.3,40408.1,42913.6,1.2395238715000012,0
CETX.US,D,20150909,000000,42913.6,47924,42747.6,47924,11.743810111000007,0
CETX.US,D,20150910,000000,49259.6,61282.2,46672.4,56105.6,23.89619167100002,0
CETX.US,D,20150911,000000,56607.6,62953.8,55104,61950,8.923333779500007,0
CETX.US,D,20150914,000000,66792.6,86662.8,65122.8,72636.6,15.840000792000012,0
CETX.US,D,20150915,000000,72636.6,72636.6,51097.2,65122.8,37.94428761150003,0
CETX.US,D,20150916,000000,65958.6,67628.4,61114.2,65122.8,5.4438097960000045,0
CETX.US,D,20150917,000000,62785.8,65122.8,55603.7,64621.2,10.923333879500008,0
CETX.US,D,20150918,000000,60614.4,64121.4,52598.8,52598.8,5.413809794500004,0
CETX.US,D,20150921,000000,60780,61450.2,55939.7,58274.9,4.730952617500003,0
CETX.US,D,20150922,000000,54268.1,82489.8,51932.9,72303,192.21239056300013,0
CETX.US,D,20150923,000000,63785.4,65958.6,57443.3,60280.2,39.255716248500036,0
CETX.US,D,20150924,000000,58610.9,61741.8,55939.7,57775.2,3.808095428500003,0
CETX.US,D,20150925,000000,58442.9,60948,56105.6,59110.8,6.102381257500004,0
CETX.US,D,20150928,000000,59110.8,65958.6,57443.3,59612.8,7.022381303500005,0
CETX.US,D,20150929,000000,60114.6,63285.6,57107.3,58944.8,2.730952517500002,0
CETX.US,D,20150930,000000,60448.2,60780,55771.7,57275.3,8.252381365000007,0
CETX.US,D,20151001,000000,56939.3,58442.9,55270,55438,1.8566667595000015,0
CETX.US,D,20151002,000000,54604.1,56105.6,53768.4,55270,2.2876191620000017,0
CETX.US,D,20151005,000000,54604.1,54770,46922.4,47924,12.936667313500008,0
CETX.US,D,20151006,000000,47924,48424,44750.9,44750.9,3.395714455500003,0
CETX.US,D,20151007,000000,44918.9,49593.6,44918.9,46754.4,3.856666859500003,0
CETX.US,D,20151008,000000,46254.5,49093.7,46254.5,47254.1,3.1861906355000023,0
CETX.US,D,20151009,000000,47422.1,48424,45418.8,45918.5,3.4495239820000023,0
CETX.US,D,20151012,000000,44918.9,46588.4,43900.4,44083.2,2.943809671000002,0
CETX.US,D,20151013,000000,44582.9,46754.4,42413.6,43081.6,3.7609525690000023,0
CETX.US,D,20151014,000000,43749.2,47422.1,42747.6,45586.8,14.450476913000012,0
CETX.US,D,20151015,000000,46086.5,47422.1,45084.8,46588.4,6.701428906500004,0
CETX.US,D,20151016,000000,46588.4,47590.1,45084.8,45252.8,4.120476396500003,0
CETX.US,D,20151019,000000,47590.1,47590.1,45084.8,45084.8,0.8742857580000006,0
CETX.US,D,20151020,000000,51764.9,51764.9,44750.9,44750.9,4.191904971500002,0
CETX.US,D,20151021,000000,44249.2,46422.5,44249.2,45252.8,1.6047619850000012,0
CETX.US,D,20151022,000000,45752.8,45752.8,44249.2,44417.2,2.1500001075000017,0
CETX.US,D,20151023,000000,46086.5,46086.5,44417.2,45084.8,1.3652381635000008,0
CETX.US,D,20151026,000000,43081.6,44582.9,42913.6,44249.2,1.7366667535000015,0
CETX.US,D,20151027,000000,41911.7,43917.2,41743.7,42579.6,2.407619168000002,0
CETX.US,D,20151028,000000,45752.8,46086.5,43415.3,43583.3,5.096190731000004,0
CETX.US,D,20151029,000000,43749.2,47422.1,43415.3,44918.9,4.467619271000003,0
CETX.US,D,20151030,000000,44249.2,46422.5,42579.6,44582.9,2.3057144010000017,0
CETX.US,D,20151102,000000,44582.9,45584.8,44417.2,45084.8,1.3676191160000009,0
CETX.US,D,20151103,000000,44582.9,45252.8,43583.3,44750.9,1.1557143435000008,0
CETX.US,D,20151104,000000,44582.9,44582.9,43583.3,44582.9,0.9914286210000006,0
CETX.US,D,20151105,000000,45084.8,45918.5,43917.2,44582.9,1.557142935000001,0
CETX.US,D,20151106,000000,44083.2,45918.5,43749.2,43917.2,0.5028571680000004,0
CETX.US,D,20151109,000000,45252.8,45252.8,43247.3,44083.2,1.2280952995000007,0
CETX.US,D,20151110,000000,43415.3,44083.2,43081.6,43917.2,0.5690476475000004,0
CETX.US,D,20151111,000000,43917.2,44249.2,42913.6,43081.6,0.9404762375000008,0
CETX.US,D,20151112,000000,42913.6,44249.2,42247.7,44249.2,1.9161905720000016,0
CETX.US,D,20151113,000000,43081.6,43415.3,41911.7,42079.7,4.4195240305000025,0
CETX.US,D,20151116,000000,42579.6,42579.6,39240.5,40576.1,8.473809947500007,0
CETX.US,D,20151117,000000,39742.4,41412,39742.4,40744.1,10.420476711500008,0
CETX.US,D,20151118,000000,39908.4,40912.1,38572.8,39408.5,7.785238484500006,0
CETX.US,D,20151119,000000,40912.1,41743.7,38906.8,40408.1,2.8266668080000024,0
CETX.US,D,20151120,000000,40912.1,46754.4,40408.1,43247.3,3.737143044000003,0
CETX.US,D,20151123,000000,44083.2,45752.8,44083.2,44582.9,2.479523933500002,0
CETX.US,D,20151124,000000,44582.9,44582.9,42247.7,43749.2,1.377619116500001,0
CETX.US,D,20151125,000000,43917.2,43917.2,42579.6,43081.6,1.6590477020000014,0
CETX.US,D,20151127,000000,43749.2,43749.2,43081.6,43415.3,0.9823810015000007,0
CETX.US,D,20151130,000000,43415.3,45752.8,43081.6,44582.9,3.173809682500002,0
CETX.US,D,20151201,000000,45084.8,48258,44582.9,46754.4,8.809524250000008,0
CETX.US,D,20151202,000000,47088.4,49593.6,46086.5,49593.6,9.197143317000007,0
CETX.US,D,20151203,000000,50595.2,52432.8,48424,49427.6,8.810952821500006,0
CETX.US,D,20151204,000000,50261.3,57943.2,49427.6,55771.7,13.62428639550001,0
CETX.US,D,20151207,000000,57107.3,62449.8,55771.7,57443.3,14.16333404150001,0
CETX.US,D,20151208,000000,56607.6,57609.2,55272,56105.6,4.924762151000004,0
CETX.US,D,20151209,000000,54436.1,55603.7,53434.4,53934.4,3.6052382755000023,0
CETX.US,D,20151210,000000,54436.1,55603.7,51097.2,51263.2,3.7247620910000028,0
CETX.US,D,20151211,000000,54268.1,54268.1,51263.2,51596.9,2.2938096385000017,0
CETX.US,D,20151214,000000,51596.9,55519.7,48925.7,50093.3,4.240952593000003,0
CETX.US,D,20151215,000000,50429.3,51097.2,48424,50093.3,5.401905032000004,0
CETX.US,D,20151216,000000,51764.9,52432.8,50093.3,50261.3,2.700952516000002,0
CETX.US,D,20151217,000000,50093.3,54938,50093.3,53434.4,6.737143194000005,0
CETX.US,D,20151218,000000,54102.4,54102.4,48424,49927.6,11.192857702500008,0
CETX.US,D,20151221,000000,50261.3,51596.9,45918.5,47422.1,7.102381307500004,0
CETX.US,D,20151222,000000,46922.4,47210,43415.3,43749.2,3.860000193000003,0
CETX.US,D,20151223,000000,44750.9,47088.4,44750.9,45418.8,1.8204762815000015,0
CETX.US,D,20151224,000000,45084.8,47741.3,43749.2,45418.8,0.6195238405000005,0
CETX.US,D,20151228,000000,45918.5,46466.8,43583.3,43583.3,4.562857371000004,0
CETX.US,D,20151229,000000,44916.8,44916.8,38906.8,40315.7,9.175238554000007,0
CETX.US,D,20151230,000000,39908.4,41743.7,39908.4,40242.4,1.591428651000001,0
CETX.US,D,20151231,000000,40912.1,41412,39072.5,39408.5,5.005714536000005,0
CETX.US,D,20160104,000000,43415.3,46254.5,40977.2,41743.7,7.983333732500006,0
