<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CING.US,D,20211209,000000,82,87.998,75,77.8,46985.4,0
CING.US,D,20211210,000000,75.276,79.8,72.4,73.6,22127.75,0
CING.US,D,20211213,000000,72.4,74.198,61.6,61.8,23704.25,0
CING.US,D,20211214,000000,62.6,66.398,56,63.2,35313.05,0
CING.US,D,20211215,000000,62.4,62.998,56.6,60,14215.35,0
CING.US,D,20211216,000000,60,61.8,54.6,55,14410.5,0
CING.US,D,20211217,000000,54,55,50.6,51.8,16785.2,0
CING.US,D,20211220,000000,53.4,53.4,50,52,18708.5,0
CING.US,D,20211221,000000,54,59.4,52.6,55.086,21597.4,0
CING.US,D,20211222,000000,55.4,57.8,44,46.4,54487.55,0
CING.US,D,20211223,000000,49.2,54.588,46.2,51,51314.35,0
CING.US,D,20211227,000000,50.8,54.6,48,53.2,25484.85,0
CING.US,D,20211228,000000,51.8,53.6,49.2,50,10907.2,0
CING.US,D,20211229,000000,53.4,54,47.2,53.4,51190.7,0
CING.US,D,20211230,000000,53.8,57,51,53,35422.6,0
CING.US,D,20211231,000000,52,55.2,52,55.2,9292.4,0
CING.US,D,20220103,000000,54.2,62.8,54.2,58.2,95319.15,0
CING.US,D,20220104,000000,60.8,60.8,53.2,56.2,21139.05,0
CING.US,D,20220105,000000,57.2,57.2,48.6,50.8,21643.25,0
CING.US,D,20220106,000000,51,53,47.002,50.4,46511.2,0
CING.US,D,20220107,000000,48.8,50.086,46.6,49.2,29313.85,0
CING.US,D,20220110,000000,48.8,49.8,45,48.9,12379.85,0
CING.US,D,20220111,000000,48.4,57,48.4,52.2,88365.7,0
CING.US,D,20220112,000000,52,53,51,51.8,9751.1,0
CING.US,D,20220113,000000,51.8,52.76,48.6,49.2,10911,0
CING.US,D,20220114,000000,49.6,52.478,48.6,52,8978.85,0
CING.US,D,20220118,000000,52,54.2,51,53,13529.1,0
CING.US,D,20220119,000000,53.4,54.4,50.4,51.6,8965.65,0
CING.US,D,20220120,000000,56.4,59,48.364,49.6,205290.95,0
CING.US,D,20220121,000000,48,49.598,46,46.8,23266.15,0
CING.US,D,20220124,000000,46,47.6,34,37.8,67326.8,0
CING.US,D,20220125,000000,36.2,41.6,34.8,40.8,15310.85,0
CING.US,D,20220126,000000,40,43.4,36.8,38.8,10772.05,0
CING.US,D,20220127,000000,39.2,40.6,35.002,35.4,7963.7,0
CING.US,D,20220128,000000,36,36,33.8,35.8,6883.5,0
CING.US,D,20220131,000000,36.4,38.6,34,37,9617.55,0
CING.US,D,20220201,000000,36.2,38.6,35.8,37.4,5899.5,0
CING.US,D,20220202,000000,36.1,38,36,38,3814.35,0
CING.US,D,20220203,000000,38,38,35.6,35.8,3619,0
CING.US,D,20220204,000000,36.4,37.2,35.2,36.6,1294.6,0
CING.US,D,20220207,000000,36.6,36.8,35.2,36.6,3017,0
CING.US,D,20220208,000000,36.2,36.782,32.2,33.2,11677.15,0
