<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CJET.US,D,20230605,000000,5.58,8.36,5.55,5.9,28817652,0
CJET.US,D,20230606,000000,5.07,5.2699,4.14,4.2,1884564,0
CJET.US,D,20230607,000000,5.5,5.8493,5.04,5.36,9598922,0
CJET.US,D,20230608,000000,4.75,5.49,4.69,4.95,1125737,0
CJET.US,D,20230609,000000,4.92,5.0041,4.3,4.55,619277,0
CJET.US,D,20230612,000000,4.34,4.44,3.8,3.96,779790,0
CJET.US,D,20230613,000000,3.72,3.792,3.5,3.6,1066442,0
CJET.US,D,20230614,000000,3.6,3.9,3.53,3.61,761108,0
CJET.US,D,20230615,000000,3.65,3.71,3.23,3.38,665671,0
CJET.US,D,20230616,000000,3.33,3.33,2.69,2.84,928297,0
CJET.US,D,20230620,000000,3.19,3.2,2.704,2.71,373912,0
CJET.US,D,20230621,000000,2.67,3.1,2.4201,2.89,848574,0
CJET.US,D,20230622,000000,2.95,3.3393,2.76,3.19,659312,0
CJET.US,D,20230623,000000,3.09,3.4197,2.81,3.3,639700,0
CJET.US,D,20230626,000000,3.3,3.49,3.11,3.36,334370,0
CJET.US,D,20230627,000000,3.36,3.55,3.151,3.22,560274,0
CJET.US,D,20230628,000000,3.19,3.3699,2.6,2.83,581346,0
CJET.US,D,20230629,000000,2.78,2.84,2.5,2.77,450856,0
CJET.US,D,20230630,000000,2.88,2.92,2.66,2.68,476656,0
CJET.US,D,20230703,000000,2.69,2.76,2.49,2.53,465541,0
CJET.US,D,20230705,000000,2.53,2.62,2.36,2.46,347954,0
CJET.US,D,20230706,000000,2.46,2.4699,2.32,2.33,187429,0
CJET.US,D,20230707,000000,2.32,2.47,2.3,2.36,119514,0
CJET.US,D,20230710,000000,2.37,2.5,2.27,2.48,335523,0
CJET.US,D,20230711,000000,2.5,2.69,2.44,2.55,306410,0
CJET.US,D,20230712,000000,2.59,3.55,2.55,3.49,1229668,0
CJET.US,D,20230713,000000,3.49,3.71,3.14,3.14,424658,0
CJET.US,D,20230714,000000,3.26,5.18,3.26,4.25,10795562,0
CJET.US,D,20230717,000000,4.14,4.18,3.16,3.37,747728,0
CJET.US,D,20230718,000000,3.38,3.41,3,3.27,290623,0
CJET.US,D,20230719,000000,3.24,3.4,3.18,3.24,294818,0
CJET.US,D,20230720,000000,3.19,3.34,3.19,3.33,99569,0
CJET.US,D,20230721,000000,3.35,3.38,3.2,3.27,172150,0
CJET.US,D,20230724,000000,3.14,3.5099,3.14,3.23,256262,0
CJET.US,D,20230725,000000,3.24,3.34,2.97,3.07,176596,0
CJET.US,D,20230726,000000,3.03,3.1506,2.81,2.9,196045,0
CJET.US,D,20230727,000000,2.89,2.9199,2.6,2.62,237809,0
CJET.US,D,20230728,000000,2.66,2.8763,2.585,2.72,197591,0
CJET.US,D,20230731,000000,2.67,2.83,2.59,2.64,119575,0
CJET.US,D,20230801,000000,2.71,3.2,2.62,3.01,435746,0
CJET.US,D,20230802,000000,2.91,3.01,2.8,2.86,196258,0
CJET.US,D,20230803,000000,2.86,2.92,2.78,2.81,136557,0
CJET.US,D,20230804,000000,2.85,2.85,2.73,2.76,103351,0
CJET.US,D,20230807,000000,2.77,2.77,2.69,2.69,35176,0
CJET.US,D,20230808,000000,2.62,2.72,2.55,2.62,108717,0
CJET.US,D,20230809,000000,2.63,2.66,2.58,2.59,57605,0
CJET.US,D,20230810,000000,2.6301,2.6301,2.38,2.43,182962,0
CJET.US,D,20230811,000000,2.36,2.46,2.3,2.32,111115,0
CJET.US,D,20230814,000000,2.34,2.4,2.3,2.31,67564,0
CJET.US,D,20230815,000000,2.26,2.35,2.22,2.32,207232,0
CJET.US,D,20230816,000000,2.22,2.2326,1.95,2.06,249380,0
CJET.US,D,20230817,000000,2.06,2.24,2.02,2.02,68430,0
CJET.US,D,20230818,000000,2.0201,2.1597,2.02,2.1,46885,0
CJET.US,D,20230821,000000,2.096,2.24,2.09,2.18,70830,0
CJET.US,D,20230822,000000,2.16,2.1919,1.9,1.9,104669,0
CJET.US,D,20230823,000000,1.9,2.04,1.89,1.9501,70788,0
CJET.US,D,20230824,000000,2.03,2.03,1.83,1.86,44870,0
CJET.US,D,20230825,000000,1.9007,1.9007,1.82,1.88,29695,0
CJET.US,D,20230828,000000,1.87,1.95,1.75,1.76,46086,0
CJET.US,D,20230829,000000,1.76,1.87,1.7568,1.82,47364,0
CJET.US,D,20230830,000000,1.82,1.93,1.73,1.73,172247,0
CJET.US,D,20230831,000000,1.81,1.81,1.61,1.65,77483,0
CJET.US,D,20230901,000000,1.66,1.7,1.6301,1.66,43355,0
CJET.US,D,20230905,000000,1.63,1.67,1.51,1.57,88924,0
CJET.US,D,20230906,000000,1.52,1.57,1.51,1.52,47362,0
CJET.US,D,20230907,000000,1.52,1.52,1.4,1.4,83116,0
CJET.US,D,20230908,000000,1.43,1.4794,1.33,1.38,82126,0
CJET.US,D,20230911,000000,1.39,1.39,1.2501,1.34,65984,0
CJET.US,D,20230912,000000,1.31,1.36,1.27,1.31,75705,0
CJET.US,D,20230913,000000,1.29,1.49,1.27,1.49,173739,0
CJET.US,D,20230914,000000,1.5,1.64,1.47,1.64,151509,0
CJET.US,D,20230915,000000,1.61,1.75,1.58,1.74,101295,0
CJET.US,D,20230918,000000,1.8,1.88,1.72,1.81,101946,0
CJET.US,D,20230919,000000,1.78,1.9756,1.78,1.93,69566,0
CJET.US,D,20230920,000000,1.93,2.19,1.93,2.13,233662,0
CJET.US,D,20230921,000000,2.09,2.35,2.09,2.33,141676,0
CJET.US,D,20230922,000000,2.27,2.37,1.95,1.95,169609,0
