<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLEU.US,D,20200508,000000,75,81.3,68.25,73.5,13073.200006537,0
CLEU.US,D,20200511,000000,73.95,73.95,60.15,60.15,3379.6000016898,0
CLEU.US,D,20200512,000000,59.85,59.85,53.25,56.625,3475.9333350713,0
CLEU.US,D,20200513,000000,55.8,59.25,54.9,58.2,1412.666667373,0
CLEU.US,D,20200514,000000,55.5,66.3,55.5,61.6515,2507.0666679202,0
CLEU.US,D,20200515,000000,63.6,65.2485,63,64.65,1033.1333338499,0
CLEU.US,D,20200518,000000,63.75,65.25,57.6,62.25,2708.666668021,0
CLEU.US,D,20200519,000000,60,63.7485,60,61.5015,667.4666670004,0
CLEU.US,D,20200520,000000,63.225,73.05,61.8,66.3,3185.0666682592,0
CLEU.US,D,20200521,000000,68.85,72.7425,67.803,68.55,769.2666670513,0
CLEU.US,D,20200522,000000,68.6205,74.85,68.6205,74.55,414.4000002072,0
CLEU.US,D,20200526,000000,74.55,78.2325,66,66,1566.0666674497,0
CLEU.US,D,20200527,000000,69.3,71.9985,60.75,63.75,790.4000003952,0
CLEU.US,D,20200528,000000,60,64.5,54.3,62.85,1716.9333341918,0
CLEU.US,D,20200529,000000,59.25,60.7695,54,54,966.4000004832,0
CLEU.US,D,20200601,000000,56.7,58.4985,51.0105,54.75,1113.7333338902,0
CLEU.US,D,20200602,000000,57.75,58.2,55.5,56.3985,544.7333336057,0
CLEU.US,D,20200603,000000,58.35,58.95,54.75,56.4,251.0666667922,0
CLEU.US,D,20200604,000000,58.2,60,54.75,56.7,2203.333334435,0
CLEU.US,D,20200605,000000,55.95,58.35,54,56.475,1794.3333342305,0
CLEU.US,D,20200608,000000,57,60.75,55.95,58.95,1063.0666671982,0
CLEU.US,D,20200609,000000,59.25,65.25,57.3,60.6,661.4666669974,0
CLEU.US,D,20200610,000000,58.05,63.3,54.75,59.1,2709.4666680214,0
CLEU.US,D,20200611,000000,64.35,91.65,60.7515,72,12055.066672694,0
CLEU.US,D,20200612,000000,74.25,79.368,72,75.15,3549.7333351082,0
CLEU.US,D,20200615,000000,70.5,74.25,70.5,73.5,248.1333334574,0
CLEU.US,D,20200616,000000,73.35,97.5,64.95,71.85,17406.333342037,0
CLEU.US,D,20200617,000000,70.8,75,66.75,69,1279.4666673064,0
CLEU.US,D,20200618,000000,72,74.85,67.5,70.95,552.666666943,0
CLEU.US,D,20200619,000000,70.2015,74.85,68.25,72.1245,1016.9333338418,0
CLEU.US,D,20200622,000000,66.7515,78.3,65.1,78.3,1595.1333341309,0
CLEU.US,D,20200623,000000,75,78.3,67.3515,69.75,926.5333337966,0
CLEU.US,D,20200624,000000,75,82.2,68.1,71.25,5960.0666696467,0
CLEU.US,D,20200625,000000,71.25,75,69.6465,72.15,327.1333334969,0
CLEU.US,D,20200626,000000,70.65,70.65,67.5,68.7,603.4666669684,0
CLEU.US,D,20200629,000000,66.6,74.4,65.7,71.25,5237.8000026189,0
CLEU.US,D,20200630,000000,69.75,73.5,66.15,72.15,4647.5333356571,0
CLEU.US,D,20200701,000000,72.75,72.7515,69.75,71.7,871.333333769,0
CLEU.US,D,20200702,000000,71.7,71.7,68.7,69.75,1794.4666675639,0
CLEU.US,D,20200706,000000,69.75,75.9,68.253,72.6,2612.5333346396,0
CLEU.US,D,20200707,000000,72,72,66.75,70.9485,923.7333337952,0
CLEU.US,D,20200708,000000,68.25,68.25,64.95,65.7,867.2666671003,0
CLEU.US,D,20200709,000000,66.3,67.65,57.6,57.75,2951.0000014755,0
CLEU.US,D,20200710,000000,69,71.25,62.4015,71.0985,14715.466674024,0
CLEU.US,D,20200713,000000,74.25,74.25,63.39,67.5,10703.666672019,0
CLEU.US,D,20200714,000000,71.7,87.45,69,77.1,87694.733377181,0
CLEU.US,D,20200715,000000,72.6,73.875,64.8,72.0315,9203.2000046016,0
CLEU.US,D,20200716,000000,72.15,85.05,65.8665,72.9,15750.600007875,0
CLEU.US,D,20200717,000000,74.7,76.4985,66,67.35,4434.6000022173,0
CLEU.US,D,20200720,000000,66.3,67.65,60,60.15,5140.3333359035,0
CLEU.US,D,20200721,000000,60.15,65.7,60.15,64.5105,4113.0000020565,0
CLEU.US,D,20200722,000000,63.45,63.75,59.25,60.75,3297.4666683154,0
CLEU.US,D,20200723,000000,59.55,62.325,57,60.9,3576.3333351215,0
CLEU.US,D,20200724,000000,59.85,60.3,54,58.875,3181.7333349242,0
CLEU.US,D,20200727,000000,58.5,62.7,55.0905,61.221,2128.000001064,0
CLEU.US,D,20200728,000000,58.5015,60.447,57.825,58.533,1050.8666671921,0
CLEU.US,D,20200729,000000,57.9,59.85,54.75,56.85,3260.2666682968,0
CLEU.US,D,20200730,000000,58.05,61.2,56.1,57.6,3032.6000015163,0
CLEU.US,D,20200731,000000,55.9995,60.3,54.75,55.5315,1481.4000007407,0
CLEU.US,D,20200803,000000,55.2,58.29,54.9,55.7685,668.7333336677,0
CLEU.US,D,20200804,000000,58.9455,58.9455,56.55,58.0485,1407.6000007038,0
CLEU.US,D,20200805,000000,57.597,65.1,56.601,61.2,5487.9333360773,0
CLEU.US,D,20200806,000000,59.55,64.65,57.9,64.65,3024.9333348458,0
CLEU.US,D,20200807,000000,66.15,66.15,61.05,61.5735,1247.9333339573,0
CLEU.US,D,20200810,000000,60.3,60.3,54.9,59.25,2742.8666680381,0
CLEU.US,D,20200811,000000,58.65,60,57,58.05,1495.1333340809,0
CLEU.US,D,20200812,000000,58.95,60.75,57,57,1372.9333340198,0
CLEU.US,D,20200813,000000,58.05,58.275,55.5,55.5,831.2666670823,0
CLEU.US,D,20200814,000000,58.1595,58.7295,54.9015,56.25,451.6000002258,0
CLEU.US,D,20200817,000000,55.95,61.2,54.15,58.95,9325.6000046628,0
CLEU.US,D,20200818,000000,58.5,67.5,57.375,59.1,17585.533342126,0
CLEU.US,D,20200819,000000,57,63.7485,56.865,57.75,4394.6000021973,0
CLEU.US,D,20200820,000000,58.05,72,58.05,70.875,21537.933344102,0
CLEU.US,D,20200821,000000,66.15,71.85,63,68.25,7996.2666706648,0
CLEU.US,D,20200824,000000,69,75.9,65.409,75.9,3774.7333352207,0
CLEU.US,D,20200825,000000,74.4,85.95,72.825,76.95,14118.533340393,0
CLEU.US,D,20200826,000000,77.25,83.547,69.6,81.3,6651.6666699925,0
CLEU.US,D,20200827,000000,82.5,97.5,82.5,94.35,11913.600005957,0
CLEU.US,D,20200828,000000,103.125,156.9,87.3,95.25,194711.20009736,0
CLEU.US,D,20200831,000000,95.85,95.85,81.9045,87.45,7830.4000039152,0
CLEU.US,D,20200901,000000,84,120,82.2,101.25,21849.666677592,0
CLEU.US,D,20200902,000000,99,109.05,95.25,100.65,3826.8000019134,0
CLEU.US,D,20200903,000000,103.5,108.75,94.05,101.4,3966.3333353165,0
CLEU.US,D,20200904,000000,94.05,108,92.85,102.15,1245.8666672896,0
CLEU.US,D,20200908,000000,101.4,101.4,90,99.6,1215.8000006079,0
CLEU.US,D,20200909,000000,108.75,108.75,96.048,96.15,780.4666670569,0
CLEU.US,D,20200910,000000,98.6205,108.45,93.159,100.5,994.4000004972,0
CLEU.US,D,20200911,000000,96.45,105,96,100.35,597.8000002989,0
CLEU.US,D,20200914,000000,97.5,100.65,97.5,97.65,144.4666667389,0
CLEU.US,D,20200915,000000,99.75,101.038,98.775,99.9,360.3333335135,0
CLEU.US,D,20200916,000000,98.55,113.248,98.55,111.6,1333.7333340002,0
CLEU.US,D,20200917,000000,113.55,113.55,97.65,98.85,5213.1333359399,0
CLEU.US,D,20200918,000000,102,102.15,72.9,88.8,19808.733343238,0
CLEU.US,D,20200921,000000,86.6205,103.575,86.6205,95.418,6570.9333366188,0
CLEU.US,D,20200922,000000,103.05,103.05,84.75,84.75,4065.4000020327,0
CLEU.US,D,20200923,000000,87.9,104.7,84.9,89.25,18263.600009132,0
CLEU.US,D,20200924,000000,91.5,94.95,90,94.8,486.2666669098,0
CLEU.US,D,20200925,000000,85.05,94.3875,85.05,87,602.1333336344,0
CLEU.US,D,20200928,000000,93,93.75,88.05,88.05,854.1333337604,0
CLEU.US,D,20200929,000000,92.85,92.991,87.657,89.7285,337.4000001687,0
CLEU.US,D,20200930,000000,92.1,93.75,84.75,92.25,1122.5333338946,0
CLEU.US,D,20201001,000000,91.5,92.7,84,86.4,860.2666670968,0
CLEU.US,D,20201002,000000,84.3,85.35,78.18,85.35,310.8666668221,0
CLEU.US,D,20201005,000000,85.95,85.95,78.15,81.261,82.6000000413,0
CLEU.US,D,20201006,000000,81.3,85.5,81.3,83.211,241.4000001207,0
CLEU.US,D,20201007,000000,81.3,83.25,78.0855,83.1,144.9333334058,0
CLEU.US,D,20201008,000000,79.8,82.95,79.05,82.95,249.7333334582,0
CLEU.US,D,20201009,000000,78.9,84.9,78.9,84.9,409.0000002045,0
CLEU.US,D,20201012,000000,83.3295,105.75,83.3295,91.35,22473.066677903,0
CLEU.US,D,20201013,000000,87.75,90,79.05,86.25,4179.0666687562,0
CLEU.US,D,20201014,000000,83.25,91.65,81.15,87.75,2637.2666679853,0
CLEU.US,D,20201015,000000,85.083,90.9,85.083,90.9,392.3333335295,0
CLEU.US,D,20201016,000000,90,91.5,81.4515,90.9,776.8666670551,0
CLEU.US,D,20201019,000000,84.975,91.65,84.9015,89.85,227.8000001139,0
CLEU.US,D,20201020,000000,90.9,97.2,86.25,91.8,727.9333336973,0
CLEU.US,D,20201021,000000,91.05,91.05,89.4,90.075,206.8666667701,0
CLEU.US,D,20201022,000000,87.9,91.35,86.5695,90.75,464.2000002321,0
CLEU.US,D,20201023,000000,87.45,89.9025,87.021,89.9025,86.3333333765,0
CLEU.US,D,20201026,000000,87.4215,87.4215,87.4215,87.4215,12.7333333397,0
