<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLNN.US,D,20210104,000000,9.0501,9.25,7.2,7.57,143869,0
CLNN.US,D,20210105,000000,7.5,7.96,7.2,7.35,71964,0
CLNN.US,D,20210106,000000,7.5,7.6,6.4,6.71,95454,0
CLNN.US,D,20210107,000000,6.72,7.5,6.4,7.07,76286,0
CLNN.US,D,20210108,000000,7.47,7.47,6.6,6.9344,55393,0
CLNN.US,D,20210111,000000,7.14,7.45,6.93,7.35,50012,0
CLNN.US,D,20210112,000000,7.35,7.82,7.16,7.5,32896,0
CLNN.US,D,20210113,000000,7.5,7.82,6.78,7.1,87260,0
CLNN.US,D,20210114,000000,7.09,7.46,6.5,6.93,80428,0
CLNN.US,D,20210115,000000,6.85,7.04,6.48,6.65,91672,0
CLNN.US,D,20210119,000000,6.95,6.95,6.55,6.8,82411,0
CLNN.US,D,20210120,000000,6.7,7.05,6.6001,7.04,72337,0
CLNN.US,D,20210121,000000,6.9,6.9,6.585,6.62,86990,0
CLNN.US,D,20210122,000000,6.53,6.9,6.3,6.89,55607,0
CLNN.US,D,20210125,000000,6.89,7,6.8,7,58654,0
CLNN.US,D,20210126,000000,7,7,6.6,6.76,86868,0
CLNN.US,D,20210127,000000,6.6,6.76,6.4,6.55,113601,0
CLNN.US,D,20210128,000000,6.4,6.69,6.355,6.49,43512,0
CLNN.US,D,20210129,000000,6.65,6.65,6.3,6.39,93434,0
CLNN.US,D,20210201,000000,6.5,6.65,6.23,6.55,67262,0
CLNN.US,D,20210202,000000,6.59,6.6,6.38,6.54,74773,0
CLNN.US,D,20210203,000000,7.75,13.68,7.75,13.21,6134125,0
CLNN.US,D,20210204,000000,13.05,13.1,10.32,10.94,950232,0
CLNN.US,D,20210205,000000,11,11.29,10.38,10.73,211825,0
CLNN.US,D,20210208,000000,10.75,11.45,10.5,11.37,182670,0
CLNN.US,D,20210209,000000,11.13,11.2749,10.6,10.9,210469,0
CLNN.US,D,20210210,000000,10.1,10.95,9.95,10.79,176108,0
CLNN.US,D,20210211,000000,10.86,11.05,10.73,10.79,150158,0
CLNN.US,D,20210212,000000,10.86,12.49,10.3968,12.49,236195,0
CLNN.US,D,20210216,000000,12.56,16.5,12.56,16.3,462182,0
CLNN.US,D,20210217,000000,15.66,15.85,13.4,14.44,329731,0
CLNN.US,D,20210218,000000,14.4,14.43,13.35,13.9,116539,0
CLNN.US,D,20210219,000000,13.95,14.39,13.3,13.61,91685,0
CLNN.US,D,20210222,000000,14,14.6,13.6001,13.79,104390,0
CLNN.US,D,20210223,000000,13.61,13.61,12.5601,13.12,80592,0
CLNN.US,D,20210224,000000,13.54,14.69,13.1832,14.54,268359,0
CLNN.US,D,20210225,000000,14.59,14.69,12.6296,13.03,204524,0
CLNN.US,D,20210226,000000,12.7,13.46,12.61,12.84,59676,0
CLNN.US,D,20210301,000000,13.15,13.975,12.94,13.58,102508,0
CLNN.US,D,20210302,000000,13.66,14.58,13.5949,13.76,143887,0
CLNN.US,D,20210303,000000,13.64,14.075,13.21,13.51,54569,0
CLNN.US,D,20210304,000000,13.38,13.38,10.83,11.11,115547,0
CLNN.US,D,20210305,000000,11.2,11.49,10,10.81,133907,0
CLNN.US,D,20210308,000000,10.96,12.44,10.75,11.67,100143,0
CLNN.US,D,20210309,000000,11.84,13.59,11.8,13.11,124611,0
CLNN.US,D,20210310,000000,12.99,14.03,12.74,13.76,161284,0
CLNN.US,D,20210311,000000,13.92,14.5,13.81,14.35,148563,0
CLNN.US,D,20210312,000000,14.23,14.35,14,14.25,85092,0
CLNN.US,D,20210315,000000,14.32,14.7,14.15,14.4,130697,0
CLNN.US,D,20210316,000000,14.46,14.5,13.31,13.41,152820,0
CLNN.US,D,20210317,000000,13.49,14,13.23,13.59,289755,0
CLNN.US,D,20210318,000000,13.49,14.5,13.3874,14.22,289558,0
CLNN.US,D,20210319,000000,14.31,14.31,13.29,13.48,1175686,0
CLNN.US,D,20210322,000000,13.74,14.02,13.5,13.98,258006,0
CLNN.US,D,20210323,000000,13.67,13.89,12.76,13.29,188166,0
CLNN.US,D,20210324,000000,13.29,13.5455,12.92,13,76569,0
CLNN.US,D,20210325,000000,13,14,12.85,13.87,80143,0
CLNN.US,D,20210326,000000,14.03,14.03,13.24,13.88,90186,0
CLNN.US,D,20210329,000000,13.53,13.88,13.38,13.8,54989,0
CLNN.US,D,20210330,000000,13.77,14.02,13.42,13.89,54471,0
CLNN.US,D,20210331,000000,13.93,14,12.77,12.78,161962,0
CLNN.US,D,20210401,000000,12.78,13.31,12.56,13,54554,0
CLNN.US,D,20210405,000000,13,13.38,12.97,13.11,44137,0
CLNN.US,D,20210406,000000,13.02,13.42,12.94,13.33,66180,0
CLNN.US,D,20210407,000000,13.29,13.29,12.92,12.99,75738,0
CLNN.US,D,20210408,000000,13.07,13.08,12.7,12.84,32710,0
CLNN.US,D,20210409,000000,12.84,12.85,12.37,12.58,28612,0
CLNN.US,D,20210412,000000,12.58,12.65,12.2,12.64,22823,0
CLNN.US,D,20210413,000000,12.6,12.76,12.32,12.39,24834,0
CLNN.US,D,20210414,000000,12.38,13.15,12.31,12.89,114390,0
CLNN.US,D,20210415,000000,13.11,13.23,12.36,12.48,48947,0
CLNN.US,D,20210416,000000,12.52,12.52,11.38,11.71,50979,0
CLNN.US,D,20210419,000000,11.68,11.77,10.83,10.84,91555,0
CLNN.US,D,20210420,000000,10.9,11.9597,10.5,10.89,90380,0
CLNN.US,D,20210421,000000,10.96,11.27,10.87,10.87,82882,0
CLNN.US,D,20210422,000000,11,11.1,10.25,10.25,72202,0
CLNN.US,D,20210423,000000,10.37,10.64,9.45,9.45,877877,0
CLNN.US,D,20210426,000000,9.925,10.15,9.42,9.42,83592,0
CLNN.US,D,20210427,000000,9.33,9.98,9.33,9.49,64790,0
CLNN.US,D,20210428,000000,9.49,10,9.49,9.74,27877,0
CLNN.US,D,20210429,000000,9.76,9.87,9.16,9.36,43148,0
CLNN.US,D,20210430,000000,9.24,9.4599,8.91,9,41440,0
CLNN.US,D,20210503,000000,9.29,10.09,9.28,9.66,106292,0
CLNN.US,D,20210504,000000,9.66,10.265,8.64,8.9,89435,0
CLNN.US,D,20210505,000000,8.87,9.31,8.7001,8.84,58936,0
CLNN.US,D,20210506,000000,8.84,9.16,7.8,7.97,96128,0
CLNN.US,D,20210507,000000,8.65,11,8.01,9.19,380794,0
CLNN.US,D,20210510,000000,9.45,10.18,8.03,8.26,125444,0
CLNN.US,D,20210511,000000,7.73,7.7301,6.75,7.29,186759,0
CLNN.US,D,20210512,000000,7.62,7.705,7.3,7.4,94372,0
CLNN.US,D,20210513,000000,7.38,7.38,6.81,6.98,113927,0
CLNN.US,D,20210514,000000,7.07,7.47,7.0001,7.3,43844,0
CLNN.US,D,20210517,000000,7.29,8.9799,7.29,8.59,109440,0
CLNN.US,D,20210518,000000,8.6,9.63,8.51,9.1,70208,0
CLNN.US,D,20210519,000000,9,9.14,8.6712,8.95,41685,0
CLNN.US,D,20210520,000000,9.29,9.49,8.95,9.39,84612,0
CLNN.US,D,20210521,000000,9.29,9.74,9.1,9.63,78529,0
CLNN.US,D,20210524,000000,9.9598,9.9598,8.64,8.91,96066,0
CLNN.US,D,20210525,000000,9.71,9.92,9.145,9.52,107858,0
CLNN.US,D,20210526,000000,9.46,10.43,9.46,10.43,249699,0
CLNN.US,D,20210527,000000,10.51,10.9493,10.16,10.6,143288,0
CLNN.US,D,20210528,000000,10.89,11.77,10.87,11.4,241169,0
CLNN.US,D,20210601,000000,11.5,11.94,10.5767,10.78,154763,0
CLNN.US,D,20210602,000000,11.07,11.15,10.53,10.76,86567,0
CLNN.US,D,20210603,000000,10.54,10.805,10.3101,10.55,87635,0
CLNN.US,D,20210604,000000,10.64,10.77,10.38,10.56,55114,0
CLNN.US,D,20210607,000000,10.61,11.5,10.56,11.18,176798,0
CLNN.US,D,20210608,000000,11.57,11.83,11.4,11.6,150060,0
CLNN.US,D,20210609,000000,11.7,12.28,11.47,12.01,161020,0
CLNN.US,D,20210610,000000,12,12,11.25,11.85,180677,0
CLNN.US,D,20210611,000000,11.84,11.84,11,11.14,100108,0
CLNN.US,D,20210614,000000,11.14,11.84,11.07,11.36,159401,0
CLNN.US,D,20210615,000000,11.29,11.655,10.92,11.22,114309,0
CLNN.US,D,20210616,000000,11.25,11.499,10.9035,11.24,137363,0
CLNN.US,D,20210617,000000,11.31,11.6,11.08,11.59,161224,0
CLNN.US,D,20210618,000000,11.61,12.07,11.1,11.88,278909,0
CLNN.US,D,20210621,000000,11.85,11.85,11.28,11.31,142755,0
CLNN.US,D,20210622,000000,11.16,11.33,10.51,10.86,121873,0
CLNN.US,D,20210623,000000,10.86,11.1,10.71,10.86,135007,0
CLNN.US,D,20210624,000000,10.95,11.33,10.51,11.16,153776,0
CLNN.US,D,20210625,000000,11.2,11.26,10.85,11.05,2850548,0
CLNN.US,D,20210628,000000,10.85,11.35,10.81,11.15,185423,0
CLNN.US,D,20210629,000000,11.24,11.3418,10.88,11.01,186328,0
CLNN.US,D,20210630,000000,10.98,11.3,10.5,11.24,190971,0
CLNN.US,D,20210701,000000,11.35,11.41,10.78,11.13,145623,0
CLNN.US,D,20210702,000000,11.34,11.34,10.87,10.87,73173,0
CLNN.US,D,20210706,000000,10.77,10.82,10.42,10.48,45632,0
CLNN.US,D,20210707,000000,10.46,10.48,9.985,10.09,61725,0
CLNN.US,D,20210708,000000,10.03,11,9.91,10.64,260700,0
CLNN.US,D,20210709,000000,10.87,11.01,10.51,10.79,125886,0
CLNN.US,D,20210712,000000,10.85,13.3,10.715,13.04,2570994,0
CLNN.US,D,20210713,000000,17.0235,17.82,12.5,13.58,7895833,0
CLNN.US,D,20210714,000000,13.63,13.6936,10.8,10.89,1364733,0
CLNN.US,D,20210715,000000,10.78,13.69,9.5,9.92,4428049,0
CLNN.US,D,20210716,000000,10.33,10.46,8.61,8.9,888039,0
CLNN.US,D,20210719,000000,8.31,8.89,8.13,8.74,494440,0
CLNN.US,D,20210720,000000,8.56,8.95,8.38,8.91,429553,0
CLNN.US,D,20210721,000000,8.89,9.29,8.57,8.98,435246,0
CLNN.US,D,20210722,000000,8.78,9.45,8.2,9.18,335488,0
CLNN.US,D,20210723,000000,9.1796,9.1796,7.3895,7.85,758738,0
CLNN.US,D,20210726,000000,8,8.2,7.75,7.77,370568,0
CLNN.US,D,20210727,000000,7.6,7.93,7.395,7.8,155784,0
CLNN.US,D,20210728,000000,7.88,8.54,7.69,8.34,214639,0
CLNN.US,D,20210729,000000,8.4,8.4,8,8.09,107444,0
CLNN.US,D,20210730,000000,8.1,8.65,8.03,8.6,218331,0
CLNN.US,D,20210802,000000,8.67,8.87,8.56,8.62,222360,0
