<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRKN.US,D,20200608,000000,360,486,360,486,1.116666689,0
CRKN.US,D,20200630,000000,900,900,900,900,0.550000011,0
CRKN.US,D,20200706,000000,1440,1440,1440,1440,0.550000011,0
CRKN.US,D,20200708,000000,1800,1800,1800,1800,0.550000011,0
CRKN.US,D,20200709,000000,1080,1080,1080,1080,0.550000011,0
CRKN.US,D,20200722,000000,1080,1080,990,990,1.150000023,0
CRKN.US,D,20200724,000000,990,990,990,990,1.16666669,0
CRKN.US,D,20200729,000000,990,990,990,990,3.3333334,0
CRKN.US,D,20200730,000000,990,990,990,990,0.550000011,0
CRKN.US,D,20200804,000000,990,990,990,990,1.116666689,0
CRKN.US,D,20200805,000000,972,972,972,972,0.550000011,0
CRKN.US,D,20200807,000000,973.8,973.8,973.8,973.8,0.550000011,0
CRKN.US,D,20200810,000000,900,900,900,900,0.550000011,0
CRKN.US,D,20200817,000000,855,855,675,675,2.783333389,0
CRKN.US,D,20200818,000000,675,675,675,675,1.116666689,0
CRKN.US,D,20200819,000000,540,540,538.2,538.2,3.383333401,0
CRKN.US,D,20200821,000000,538.2,538.2,538.2,538.2,1.850000037,0
CRKN.US,D,20200824,000000,405,405,358.2,358.2,1.383333361,0
CRKN.US,D,20200825,000000,358.2,358.2,358.2,358.2,13.883333611,0
CRKN.US,D,20200901,000000,325.8,325.8,325.8,325.8,0.83333335,0
CRKN.US,D,20200908,000000,360,403.2,360,403.2,1.116666689,0
CRKN.US,D,20200911,000000,405,405,405,405,8.16666683,0
CRKN.US,D,20200915,000000,360,468,91.8,189,189.250003785,0
CRKN.US,D,20200916,000000,270,270,135,225,11.6666669,0
CRKN.US,D,20200917,000000,189,225,189,225,29.450000589,0
CRKN.US,D,20200921,000000,216,243,216,243,3.3333334,0
CRKN.US,D,20200922,000000,270,270,252,252,1.6666667,0
CRKN.US,D,20200923,000000,252,266.4,252,266.4,6.6666668,0
CRKN.US,D,20201016,000000,234,270,234,270,1.250000025,0
CRKN.US,D,20201102,000000,252,252,252,252,0.550000011,0
CRKN.US,D,20201103,000000,252,252,252,252,1.216666691,0
CRKN.US,D,20201130,000000,360,360,234,234,2.783333389,0
CRKN.US,D,20201201,000000,270,270,270,270,1.400000028,0
CRKN.US,D,20201202,000000,270,270,270,270,0.550000011,0
CRKN.US,D,20201221,000000,360,360,360,360,0.550000011,0
CRKN.US,D,20201223,000000,403.2,617.4,403.2,583.2,5.866666784,0
CRKN.US,D,20201224,000000,360,360,265.8,270,8.466666836,0
CRKN.US,D,20201228,000000,261,261,208.2,243,11.816666903,0
CRKN.US,D,20201229,000000,270,270,243,243,23.100000462,0
CRKN.US,D,20201230,000000,279,279,216,216,38.650000773,0
CRKN.US,D,20201231,000000,270,270,234,234,24.416667155,0
CRKN.US,D,20210105,000000,315,630,315,406.8,36.400000728,0
CRKN.US,D,20210106,000000,639,900,630,810,16.150000323,0
CRKN.US,D,20210107,000000,900,1620,900,1016.4,30.983333953,0
CRKN.US,D,20210108,000000,900,901.8,864,864,12.950000259,0
CRKN.US,D,20210111,000000,900,900,765,765,17.783333689,0
CRKN.US,D,20210112,000000,900,900,639,639,19.183333717,0
CRKN.US,D,20210119,000000,693,945,693,945,12.433333582,0
CRKN.US,D,20210120,000000,990,1125,810,972,79.116668249,0
CRKN.US,D,20210121,000000,1080,1134,972,990,17.116667009,0
CRKN.US,D,20210122,000000,999,1065.6,999,1035,98.716668641,0
CRKN.US,D,20210125,000000,1224,1440,972,1260,56.616667799,0
CRKN.US,D,20210126,000000,255,297,255,279,12459.283582519,0
CRKN.US,D,20210127,000000,285,299.4,262.2,263.4,5768.300115366,0
CRKN.US,D,20210128,000000,264,365.4,258,296.4,7815.550156311,0
CRKN.US,D,20210129,000000,323.4,336,285.6,326.4,5294.416772555,0
CRKN.US,D,20210201,000000,336,336,300,301.8,4810.183429537,0
CRKN.US,D,20210202,000000,301.2,317.4,300,304.8,2628.966719246,0
CRKN.US,D,20210203,000000,309,323.4,303,306,2385.083381035,0
CRKN.US,D,20210204,000000,310.2,318,295.8,300.6,2465.0000493,0
CRKN.US,D,20210205,000000,300,301.2,289.8,297,1998.183373297,0
CRKN.US,D,20210208,000000,303.6,303.6,292.2,298.8,1614.516698957,0
CRKN.US,D,20210209,000000,298.8,330,291,328.8,3288.683399107,0
CRKN.US,D,20210210,000000,330,348,318,333,4493.533423204,0
CRKN.US,D,20210211,000000,339,339,324.6,328.8,3525.216737171,0
CRKN.US,D,20210212,000000,333,352.8,327.006,339.3,1607.283365479,0
CRKN.US,D,20210216,000000,351.6,351.6,327.006,336,1562.516697917,0
CRKN.US,D,20210217,000000,341.4,341.4,315,325.8,926.983351873,0
CRKN.US,D,20210218,000000,328.8,337.2,321,333,2068.883374711,0
CRKN.US,D,20210219,000000,339,344.1,321,329.4,1860.383370541,0
CRKN.US,D,20210222,000000,324.6,341.394,315,320.4,1312.33335958,0
CRKN.US,D,20210223,000000,313.2,318,296.4,300,2684.266720352,0
CRKN.US,D,20210224,000000,300.6,313.2,291,307.8,2746.633388266,0
CRKN.US,D,20210225,000000,304.2,307.794,270.6,284.4,1706.683367467,0
CRKN.US,D,20210226,000000,279.6,294,244.2,255,6075.850121517,0
CRKN.US,D,20210301,000000,292.584,292.584,267,288,4552.00009104,0
CRKN.US,D,20210302,000000,291,291.6,267,270,3381.866734304,0
CRKN.US,D,20210303,000000,271.2,285.6,253.2,259.2,2263.316711933,0
CRKN.US,D,20210304,000000,259.8,276.594,231,239.4,3609.533405524,0
CRKN.US,D,20210305,000000,243,272.4,229.2,253.2,2227.650044553,0
CRKN.US,D,20210308,000000,256.2,269.394,236.4,255,1398.683361307,0
CRKN.US,D,20210309,000000,272.4,274.476,247.2,270.6,3102.16672871,0
CRKN.US,D,20210310,000000,266.4,274.5,252.564,270.6,4146.316749593,0
CRKN.US,D,20210311,000000,273,300,273,293.4,3520.433403742,0
CRKN.US,D,20210312,000000,291.6,333,276.6,326.4,8138.850162777,0
CRKN.US,D,20210315,000000,330,330,297.6,312,5606.866778804,0
CRKN.US,D,20210316,000000,325.2,327.6,292.8,303.6,3005.516726777,0
CRKN.US,D,20210317,000000,288,309.6,277.8,285.6,3547.133404276,0
CRKN.US,D,20210318,000000,295.8,309,287.4,288,2494.16671655,0
CRKN.US,D,20210319,000000,288.6,319.8,288.6,298.2,7598.266818632,0
CRKN.US,D,20210322,000000,301.8,315,287.4,287.4,2057.116707809,0
CRKN.US,D,20210323,000000,287.4,308.4,277.2,279,3762.950075259,0
CRKN.US,D,20210324,000000,281.4,295.752,276,283.2,2520.516717077,0
CRKN.US,D,20210325,000000,276,277.416,258,267,2288.866712444,0
CRKN.US,D,20210326,000000,273,284.538,267,270,1615.733365648,0
CRKN.US,D,20210329,000000,280.2,285,261,270,659.416679855,0
CRKN.US,D,20210330,000000,270,270,252,256.2,822.883349791,0
CRKN.US,D,20210331,000000,253.2,264,253.2,258.6,845.966683586,0
CRKN.US,D,20210401,000000,260.4,281.364,260.4,276.6,2655.516719777,0
CRKN.US,D,20210405,000000,276.6,282,255.006,258,1719.800034396,0
CRKN.US,D,20210406,000000,253.2,272.4,252.06,256.8,837.966683426,0
CRKN.US,D,20210407,000000,256.2,265.5,246.6,255,1415.316694973,0
CRKN.US,D,20210408,000000,255,257.394,246,250.2,417.600008352,0
CRKN.US,D,20210409,000000,247.2,260.4,240.6,249,1497.316696613,0
CRKN.US,D,20210412,000000,255.6,255.6,228,232.8,1893.116704529,0
CRKN.US,D,20210413,000000,232.8,239.4,213,232.8,2192.250043845,0
CRKN.US,D,20210414,000000,228,239.1,220.8,228,728.100014562,0
CRKN.US,D,20210415,000000,229.2,237.9,219.6,221.4,1853.16670373,0
CRKN.US,D,20210416,000000,219,231.6,213,216.6,2169.83337673,0
CRKN.US,D,20210419,000000,210.6,215.4,193.344,205.8,2399.66671466,0
CRKN.US,D,20210420,000000,210,210,192,193.2,1248.650024973,0
CRKN.US,D,20210421,000000,193.2,219.6,189,210,1981.433372962,0
CRKN.US,D,20210422,000000,213,220.8,198.606,208.2,1341.466693496,0
CRKN.US,D,20210423,000000,199.8,210,198,202.8,1440.050028801,0
CRKN.US,D,20210426,000000,208.2,232.38,204.006,229.8,2106.283375459,0
CRKN.US,D,20210427,000000,234.6,268.2,226.8,261.6,3163.883396611,0
CRKN.US,D,20210428,000000,258,261,243.33,244.8,1281.766692302,0
CRKN.US,D,20210429,000000,247.8,262.794,237,246.6,585.250011705,0
CRKN.US,D,20210430,000000,244.2,249,237.66,241.8,388.83334111,0
CRKN.US,D,20210503,000000,249,253.2,234,238.2,399.866674664,0
CRKN.US,D,20210504,000000,235.2,264,231.6,263.4,1960.416705875,0
CRKN.US,D,20210505,000000,265.8,270.99,253.8,258.6,1243.450024869,0
CRKN.US,D,20210506,000000,256.8,264,244.8,249.6,547.050010941,0
CRKN.US,D,20210507,000000,249,253.2,244.8,253.2,547.950010959,0
CRKN.US,D,20210510,000000,253.2,263.994,240,240,763.433348602,0
CRKN.US,D,20210511,000000,234,240,228,236.4,949.700018994,0
CRKN.US,D,20210512,000000,234,238.2,224.7,227.4,1748.400034968,0
CRKN.US,D,20210513,000000,226.2,235.098,218.4,222,2411.233381558,0
CRKN.US,D,20210514,000000,223.8,228.6,217.2,219,772.50001545,0
CRKN.US,D,20210517,000000,222,222,216,217.2,497.816676623,0
CRKN.US,D,20210518,000000,217.2,226.5,217.2,219,240.016671467,0
CRKN.US,D,20210519,000000,216,222,210,214.2,1473.83336281,0
CRKN.US,D,20210520,000000,213.6,230.4,213.6,230.4,628.200012564,0
