<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSCI.US,D,20240812,000000,5.51,6.6,5.47,6.31,3927,0
CSCI.US,D,20240813,000000,6.44,6.45,6.28,6.415,2880,0
CSCI.US,D,20240814,000000,6.46,6.58,6.3,6.5,4625,0
CSCI.US,D,20240815,000000,6.07,6.37,6,6.01,1992,0
CSCI.US,D,20240816,000000,6.31,6.4,5.65,5.65,4186,0
CSCI.US,D,20240819,000000,6.22,6.4,5.66,5.73,5412,0
CSCI.US,D,20240820,000000,5.96,5.96,5.87,5.87,888,0
CSCI.US,D,20240821,000000,5.915,5.915,5.8,5.8607,3353,0
CSCI.US,D,20240822,000000,5.81,6.05,5.81,6.045,1676,0
CSCI.US,D,20240823,000000,6.1748,6.18,5.92,6.18,6935,0
CSCI.US,D,20240826,000000,5.73,5.86,5.69,5.86,1898,0
CSCI.US,D,20240827,000000,3.66,4.49,3.56,3.96,125684,0
CSCI.US,D,20240828,000000,3.96,4.09,3.49,3.79,39794,0
CSCI.US,D,20240829,000000,3.75,3.8,3.7,3.76,4654,0
CSCI.US,D,20240830,000000,3.76,4.082,3.62,4.01,14739,0
CSCI.US,D,20240903,000000,3.98,3.98,3.91,3.97,2811,0
CSCI.US,D,20240904,000000,3.97,4.04,3.87,3.87,9646,0
CSCI.US,D,20240905,000000,3.9809,4,3.71,4,7589,0
CSCI.US,D,20240906,000000,3.82,4,3.7671,4,6279,0
CSCI.US,D,20240909,000000,3.925,4.1,3.925,4.1,6930,0
CSCI.US,D,20240910,000000,4.1,4.13,3.97,4.05,6807,0
CSCI.US,D,20240911,000000,4.017,4.15,4.017,4.1,1767,0
CSCI.US,D,20240912,000000,4.13,4.13,4,4.03,3256,0
CSCI.US,D,20240913,000000,4.03,4.31,4.03,4.16,7899,0
CSCI.US,D,20240916,000000,4.14,4.29,4.14,4.24,6818,0
CSCI.US,D,20240917,000000,4.1,4.1,4.1,4.1,350,0
CSCI.US,D,20240918,000000,4.135,4.3,4.0499,4.23,10885,0
CSCI.US,D,20240919,000000,4.08,4.3,4.08,4.145,2443,0
CSCI.US,D,20240920,000000,4.1327,4.1327,4.1327,4.1327,400,0
CSCI.US,D,20240923,000000,4.02,4.02,3.5,3.902,3679,0
CSCI.US,D,20240924,000000,3.85,4.02,3.65,3.8,6241,0
CSCI.US,D,20240925,000000,3.71,3.9465,3.71,3.84,5076,0
CSCI.US,D,20240926,000000,3.51,3.9967,3.51,3.95,9540,0
CSCI.US,D,20240927,000000,3.83,4.01,3.72,3.8,10411,0
CSCI.US,D,20240930,000000,3.8,3.8,3.75,3.75,765,0
CSCI.US,D,20241001,000000,3.7,3.88,3.7,3.8,19276,0
CSCI.US,D,20241002,000000,3.8803,3.9,3.87,3.9,1357,0
CSCI.US,D,20241003,000000,3.823,3.823,3.7001,3.7001,560,0
CSCI.US,D,20241004,000000,3.7,3.8,3.7,3.7,1678,0
CSCI.US,D,20241007,000000,3.8,3.82,3.685,3.7,7243,0
CSCI.US,D,20241008,000000,3.72,3.85,3.68,3.7,5004,0
CSCI.US,D,20241009,000000,3.7,3.8999,3.7,3.7,1408,0
CSCI.US,D,20241010,000000,3.7021,3.8052,3.7,3.7279,6679,0
CSCI.US,D,20241014,000000,3.7,3.97,3.7,3.7637,8442,0
CSCI.US,D,20241015,000000,3.84,3.8598,3.72,3.79,4635,0
CSCI.US,D,20241016,000000,3.71,3.99,3.71,3.71,3394,0
CSCI.US,D,20241017,000000,3.71,3.71,3.7,3.7,1777,0
CSCI.US,D,20241018,000000,3.51,3.7,3.51,3.7,1246,0
CSCI.US,D,20241021,000000,3.7,3.75,3.7,3.7,3096,0
CSCI.US,D,20241022,000000,3.7,3.73,3.7,3.7002,2200,0
CSCI.US,D,20241023,000000,3.68,3.9,3.68,3.71,3841,0
CSCI.US,D,20241024,000000,3.7,3.8,3.7,3.7,1402,0
CSCI.US,D,20241025,000000,3.6,3.84,3.6,3.69,8022,0
CSCI.US,D,20241028,000000,3.7,3.82,3.55,3.7183,3463,0
CSCI.US,D,20241029,000000,3.56,3.6081,3.51,3.6081,872,0
