<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CUBWW.US,D,20240813,000000,0.075,0.09,0.06,0.08,294592,0
CUBWW.US,D,20240814,000000,0.08,0.08,0.08,0.08,100473,0
CUBWW.US,D,20240815,000000,0.08,0.09,0.08,0.0899,3113,0
CUBWW.US,D,20240819,000000,0.125,0.125,0.0955,0.0955,5353,0
CUBWW.US,D,20240820,000000,0.09,0.09,0.09,0.09,2947,0
CUBWW.US,D,20240822,000000,0.117,0.117,0.117,0.117,125,0
CUBWW.US,D,20240823,000000,0.08,0.104,0.08,0.104,986,0
CUBWW.US,D,20240827,000000,0.09,0.1,0.08,0.1,128073,0
CUBWW.US,D,20240829,000000,0.0801,0.0801,0.08,0.08,50000,0
CUBWW.US,D,20240830,000000,0.09,0.09,0.0825,0.0899,270571,0
CUBWW.US,D,20240904,000000,0.0873,0.0873,0.075,0.075,23913,0
CUBWW.US,D,20240905,000000,0.0759,0.0815,0.072551,0.075,22130,0
CUBWW.US,D,20240909,000000,0.0755,0.08,0.0754,0.08,1970,0
CUBWW.US,D,20240911,000000,0.08,0.08,0.08,0.08,27600,0
CUBWW.US,D,20240912,000000,0.0768,0.0768,0.07,0.0701,56636,0
CUBWW.US,D,20240913,000000,0.091,0.091,0.08,0.08,100240,0
CUBWW.US,D,20240916,000000,0.070201,0.087051,0.0701,0.0701,13270,0
CUBWW.US,D,20240917,000000,0.0743,0.08,0.07,0.08,42800,0
CUBWW.US,D,20240918,000000,0.0867,0.086876,0.0653,0.075,7879,0
CUBWW.US,D,20240919,000000,0.075,0.075,0.075,0.075,1664,0
CUBWW.US,D,20240920,000000,0.08,0.08,0.08,0.08,73140,0
CUBWW.US,D,20240924,000000,0.061,0.061,0.061,0.061,1430,0
CUBWW.US,D,20240925,000000,0.0775,0.0775,0.0775,0.0775,152,0
CUBWW.US,D,20240926,000000,0.0806,0.0806,0.07715,0.07715,725,0
CUBWW.US,D,20240927,000000,0.0702,0.0702,0.0702,0.0702,122,0
CUBWW.US,D,20240930,000000,0.0647,0.0647,0.0647,0.0647,798,0
CUBWW.US,D,20241004,000000,0.0679,0.0679,0.0651,0.0651,1527,0
CUBWW.US,D,20241010,000000,0.0683,0.0801,0.0682,0.0801,1476,0
CUBWW.US,D,20241015,000000,0.0651,0.0651,0.0651,0.0651,924,0
CUBWW.US,D,20241018,000000,0.07,0.0738,0.0651,0.0651,2564,0
CUBWW.US,D,20241021,000000,0.0651,0.0846,0.0651,0.0693,4334,0
CUBWW.US,D,20241023,000000,0.072,0.072,0.072,0.072,382,0
CUBWW.US,D,20241024,000000,0.072,0.072,0.0673,0.0711,850,0
