<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVIIU.US,D,20240208,000000,10.41,10.41,10.41,10.41,1456,0
CVIIU.US,D,20240209,000000,10.4,10.4,9.37,9.4,3247,0
CVIIU.US,D,20240212,000000,10.41,10.45,9.37,10.45,5191,0
CVIIU.US,D,20240214,000000,9.9529,9.9529,9.9529,9.9529,100,0
CVIIU.US,D,20240216,000000,10.41,10.5,10.36,10.36,2235,0
CVIIU.US,D,20240220,000000,10.5,10.5,9.32,9.864,3988,0
CVIIU.US,D,20240222,000000,10.41,10.5,10.41,10.5,470,0
CVIIU.US,D,20240223,000000,10.6,10.6,10.55,10.6,530,0
CVIIU.US,D,20240226,000000,10.6,10.6,10.55,10.55,1420,0
CVIIU.US,D,20240227,000000,9.55,10.55,9.47,9.47,1809,0
CVIIU.US,D,20240228,000000,10.55,10.6,10.55,10.6,810,0
CVIIU.US,D,20240229,000000,10.51,10.51,10.51,10.51,100,0
CVIIU.US,D,20240301,000000,10.51,10.51,10.51,10.51,600,0
CVIIU.US,D,20240304,000000,10.51,10.51,10.51,10.51,700,0
CVIIU.US,D,20240306,000000,10.51,10.51,10.51,10.51,340,0
CVIIU.US,D,20240307,000000,10.51,10.51,10.51,10.51,247,0
CVIIU.US,D,20240308,000000,9.47,10.5,9.47,10.5,1410,0
CVIIU.US,D,20240311,000000,9.534,10.5,9.4,9.4,562,0
CVIIU.US,D,20240312,000000,9.5635,10.66,9.4,10.52,12458,0
CVIIU.US,D,20240313,000000,10.4733,10.4733,10.4733,10.4733,140,0
CVIIU.US,D,20240314,000000,10.5,10.68,9.4001,10.68,6934,0
CVIIU.US,D,20240315,000000,10.75,10.75,10.6678,10.68,4178,0
CVIIU.US,D,20240318,000000,10.68,10.8,10.68,10.8,2236,0
CVIIU.US,D,20240320,000000,10.55,10.55,10.55,10.55,100,0
CVIIU.US,D,20240321,000000,10.55,10.55,10.55,10.55,335,0
CVIIU.US,D,20240322,000000,10.7431,10.8,10.23,10.79,2100,0
CVIIU.US,D,20240325,000000,10.55,10.71,10.55,10.71,1432,0
CVIIU.US,D,20240326,000000,10.71,10.71,10.71,10.71,281,0
CVIIU.US,D,20240328,000000,10.7,10.8,9.62,10.8,10320,0
CVIIU.US,D,20240401,000000,10.7,10.8,10.55,10.79,2627,0
CVIIU.US,D,20240402,000000,10.2341,10.445,10.2341,10.445,1031,0
CVIIU.US,D,20240403,000000,10.61,10.75,10.61,10.75,255,0
CVIIU.US,D,20240404,000000,10.09,10.82,10.09,10.82,10970,0
CVIIU.US,D,20240405,000000,10.58,10.58,10.58,10.58,310,0
CVIIU.US,D,20240409,000000,10.75,10.81,10.7499,10.75,5135,0
CVIIU.US,D,20240410,000000,10.75,10.79,10.48,10.61,3513,0
CVIIU.US,D,20240411,000000,10.7,10.71,10.09,10.09,1473,0
CVIIU.US,D,20240417,000000,10.83,10.83,10.79,10.8,742,0
CVIIU.US,D,20240419,000000,10.126,10.126,10.126,10.126,638,0
CVIIU.US,D,20240425,000000,10.2533,10.2533,10.2533,10.2533,210,0
CVIIU.US,D,20240430,000000,10.61,10.61,10.61,10.61,723,0
CVIIU.US,D,20240502,000000,10.587,10.61,10.587,10.61,600,0
CVIIU.US,D,20240506,000000,10.61,10.8,10.61,10.8,650,0
CVIIU.US,D,20240507,000000,10.75,10.76,10.425,10.76,1090,0
CVIIU.US,D,20240508,000000,10.1117,10.1117,10.1117,10.1117,200,0
CVIIU.US,D,20240509,000000,10.59,10.59,10.59,10.59,233,0
CVIIU.US,D,20240510,000000,10.61,10.72,10.61,10.72,743,0
CVIIU.US,D,20240513,000000,10.55,10.55,10.55,10.55,309,0
CVIIU.US,D,20240514,000000,10.55,10.55,9.98,10.2095,1598,0
CVIIU.US,D,20240515,000000,10.14,10.7,10.14,10.7,4017,0
CVIIU.US,D,20240516,000000,10.3,10.65,10.272,10.65,1539,0
CVIIU.US,D,20240517,000000,10.46,10.46,10.37,10.37,837,0
CVIIU.US,D,20240520,000000,10.66,10.66,10.59,10.59,281,0
CVIIU.US,D,20240521,000000,10.49,10.6,10.49,10.6,664,0
CVIIU.US,D,20240522,000000,10.69,10.69,10.69,10.69,298,0
CVIIU.US,D,20240523,000000,10.3701,10.3701,10.3701,10.3701,178,0
CVIIU.US,D,20240524,000000,10.39,10.39,10.37,10.37,488,0
CVIIU.US,D,20240528,000000,10.47,10.47,10.47,10.47,184,0
CVIIU.US,D,20240529,000000,10.7,10.77,10.47,10.4703,4660,0
CVIIU.US,D,20240530,000000,10.46,10.77,10.46,10.71,1732,0
CVIIU.US,D,20240531,000000,10.79,10.79,10.79,10.79,200,0
CVIIU.US,D,20240603,000000,10.5,10.5,10.4999,10.5,2155,0
CVIIU.US,D,20240605,000000,10.77,10.79,10.592,10.592,961,0
CVIIU.US,D,20240606,000000,10.48,10.55,10.48,10.55,2152,0
CVIIU.US,D,20240607,000000,10.63,10.63,10.63,10.63,105,0
CVIIU.US,D,20240610,000000,10.79,10.8,9.81,9.81,4889,0
CVIIU.US,D,20240611,000000,10.79,10.8,10.79,10.8,4315,0
CVIIU.US,D,20240612,000000,10.75,10.8,10.75,10.8,1100,0
CVIIU.US,D,20240613,000000,10.24,10.8,10.24,10.7999,1511,0
CVIIU.US,D,20240617,000000,10.83,10.83,10.28,10.28,711,0
CVIIU.US,D,20240618,000000,10.85,10.85,10.705,10.705,342,0
CVIIU.US,D,20240620,000000,10.71,10.71,10.7,10.7,509,0
CVIIU.US,D,20240621,000000,10.71,10.74,10.65,10.74,1118,0
CVIIU.US,D,20240624,000000,10.58,10.75,10.58,10.75,2338,0
CVIIU.US,D,20240627,000000,10.87,10.88,10.87,10.88,546,0
CVIIU.US,D,20240702,000000,10.8,10.8,9.77,10.76,1536,0
CVIIU.US,D,20240703,000000,10.8,10.8,10.79,10.79,329,0
CVIIU.US,D,20240705,000000,10.8,10.8,9.73,9.73,650,0
CVIIU.US,D,20240708,000000,10.58,10.58,10.58,10.58,151,0
CVIIU.US,D,20240709,000000,10.79,10.79,10.79,10.79,4519,0
CVIIU.US,D,20240710,000000,10.8,10.8,10.75,10.76,846,0
CVIIU.US,D,20240711,000000,10.77,10.82,10.765,10.765,955,0
CVIIU.US,D,20240712,000000,10.8,10.8,10.75,10.75,778,0
CVIIU.US,D,20240715,000000,10.67,10.83,10.67,10.83,12077,0
CVIIU.US,D,20240717,000000,10.48,10.48,10.48,10.48,160,0
CVIIU.US,D,20240718,000000,10.8,10.8,10.24,10.7999,4989,0
CVIIU.US,D,20240719,000000,10.61,10.65,9.7101,10.65,3117,0
CVIIU.US,D,20240722,000000,10.65,10.73,10.65,10.65,669,0
CVIIU.US,D,20240723,000000,10.65,10.82,10.65,10.82,401,0
CVIIU.US,D,20240725,000000,10.56,10.82,10.56,10.82,1102,0
CVIIU.US,D,20240726,000000,10.83,10.83,10.68,10.6901,7003,0
CVIIU.US,D,20240729,000000,10.84,10.88,10.84,10.88,3001,0
CVIIU.US,D,20240730,000000,10.8,10.88,10.8,10.88,603,0
CVIIU.US,D,20240731,000000,10.5925,10.8,10.5925,10.78,1060,0
CVIIU.US,D,20240801,000000,9.62,10.8,9.62,10.6772,4386,0
CVIIU.US,D,20240802,000000,10.79,10.8,10.6483,10.6483,1403,0
CVIIU.US,D,20240805,000000,10.3,10.3,10.3,10.3,531,0
CVIIU.US,D,20240806,000000,9.4001,10.3,9.4001,10.3,910,0
CVIIU.US,D,20240807,000000,9.4,10.3,9.4,10.3,310,0
CVIIU.US,D,20240808,000000,9.6,10.55,9,10.47,8358,0
CVIIU.US,D,20240809,000000,10.3,10.66,10.08,10.65,1237,0
CVIIU.US,D,20240812,000000,10.264,14.9,10.264,11.86,36497,0
CVIIU.US,D,20240813,000000,10.73,10.73,10.68,10.68,397,0
CVIIU.US,D,20240814,000000,10.56,10.56,9.52,10,1836,0
CVIIU.US,D,20240815,000000,9.91,11.88,9.71,9.99,17278,0
CVIIU.US,D,20240816,000000,10.02,10.7,9.2,9.6,8630,0
