<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DECAU.US,D,20240108,000000,12.1,12.1,12.1,12.1,381,0
DECAU.US,D,20240109,000000,11.37,11.9,7.11,7.11,1604,0
DECAU.US,D,20240110,000000,5.84,5.88,4.93,5.88,1314,0
DECAU.US,D,20240111,000000,5.85,7.6,5.38,6.7,11220,0
DECAU.US,D,20240117,000000,5.55,5.58,5.01,5.01,2176,0
DECAU.US,D,20240124,000000,4.96,4.96,4.96,4.96,101,0
DECAU.US,D,20240130,000000,4.92,4.92,4.92,4.92,100,0
DECAU.US,D,20240214,000000,4.88,4.88,4.88,4.88,291,0
DECAU.US,D,20240221,000000,4.88,4.88,4.88,4.88,300,0
DECAU.US,D,20240305,000000,6.24,6.86,6.24,6.8,600,0
DECAU.US,D,20240307,000000,6.27,6.27,6.24,6.24,228,0
DECAU.US,D,20240315,000000,6.67,6.67,6.67,6.67,200,0
DECAU.US,D,20240319,000000,7.33,8.57,7.33,8.57,480,0
DECAU.US,D,20240320,000000,9.78,9.78,9.78,9.78,100,0
DECAU.US,D,20240321,000000,9.77,9.77,8.86,8.86,615,0
DECAU.US,D,20240327,000000,8.53,8.53,8.53,8.53,226,0
DECAU.US,D,20240328,000000,8.97,9,8.97,9,395,0
DECAU.US,D,20240404,000000,8.29,8.3,7.99,8.3,1251,0
DECAU.US,D,20240409,000000,8.7,8.7,8.7,8.7,141,0
DECAU.US,D,20240424,000000,7.43,8.17,7.43,8.17,613,0
DECAU.US,D,20240426,000000,8.8,9.5,8.8,9.5,502,0
DECAU.US,D,20240514,000000,8.29,8.29,8.29,8.29,100,0
DECAU.US,D,20240517,000000,7.28,7.8,7.22,7.8,1406,0
DECAU.US,D,20240520,000000,7.06,8.65,7.06,7.8,2242,0
DECAU.US,D,20240521,000000,8.35,8.5,7.71,8.3,4304,0
DECAU.US,D,20240522,000000,7.61,8.52,7.33,7.69,6588,0
DECAU.US,D,20240523,000000,7.9,7.91,7.9,7.91,840,0
DECAU.US,D,20240524,000000,7.2002,7.6,6.24,6.35,9364,0
DECAU.US,D,20240528,000000,5.58,5.58,5.4,5.4,624,0
DECAU.US,D,20240529,000000,5.76,6.79,5.49,5.5,7419,0
DECAU.US,D,20240530,000000,5.5,5.5,5.26,5.32,1609,0
DECAU.US,D,20240531,000000,5.31,6.79,5.31,6.79,1308,0
DECAU.US,D,20240603,000000,6.81,6.81,6.81,6.81,100,0
DECAU.US,D,20240605,000000,6.68,6.68,6.68,6.68,314,0
DECAU.US,D,20240611,000000,6.58,7.41,6.58,7.41,1363,0
DECAU.US,D,20240613,000000,6.69,6.69,6.69,6.69,100,0
DECAU.US,D,20240614,000000,6.2,6.48,6.2,6.48,364,0
DECAU.US,D,20240620,000000,6.94,7.6,6.94,7.5,658,0
DECAU.US,D,20240621,000000,7.5,8.2,7.5,7.99,670,0
DECAU.US,D,20240626,000000,8.36,8.36,8.36,8.36,350,0
DECAU.US,D,20240627,000000,8.11,11.21,8.11,11.21,3370,0
DECAU.US,D,20240701,000000,11.75,11.75,11.75,11.75,122,0
DECAU.US,D,20240708,000000,11.34,11.34,11.34,11.34,101,0
DECAU.US,D,20240712,000000,11.34,11.35,11.34,11.34,3820,0
DECAU.US,D,20240717,000000,11.5,11.5,11.5,11.5,3238,0
DECAU.US,D,20240729,000000,11.5,11.5,11.5,11.5,200,0
DECAU.US,D,20240812,000000,11.55,11.55,11.55,11.55,101,0
DECAU.US,D,20240816,000000,11.55,11.55,11.53,11.53,300,0
