<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DECO.US,D,20240913,000000,26.4422,26.4422,26.4422,26.4422,8,0
DECO.US,D,20240916,000000,26.1519,26.1519,26.1519,26.1519,9,0
DECO.US,D,20240917,000000,26.4929,26.4929,26.4929,26.4929,10042,0
DECO.US,D,20240918,000000,26.4219,26.4219,26.4219,26.4219,38,0
DECO.US,D,20240919,000000,27.2081,27.2081,27.2081,27.2081,1,0
DECO.US,D,20240920,000000,27.2915,27.2915,27.2915,27.2915,52,0
DECO.US,D,20240923,000000,27.7693,27.7693,27.7693,27.7693,32,0
DECO.US,D,20240924,000000,28.2599,28.4033,28.2599,28.4033,257,0
DECO.US,D,20240925,000000,28.45,28.73,28.3159,28.3159,9345,0
DECO.US,D,20240926,000000,28.54,29.26,28.54,29.2193,1092,0
DECO.US,D,20240927,000000,29.8,29.8,28.96,29.0468,757,0
DECO.US,D,20240930,000000,28.46,28.46,28.3147,28.3147,289,0
DECO.US,D,20241001,000000,28.43,28.43,27.419,27.419,293,0
DECO.US,D,20241002,000000,27.87,27.87,27.82,27.82,102,0
DECO.US,D,20241003,000000,27.76,28.05,27.76,28.05,768,0
DECO.US,D,20241004,000000,28.7499,28.7499,28.295,28.67,1188,0
DECO.US,D,20241007,000000,28.21,28.47,28.21,28.47,1059,0
DECO.US,D,20241008,000000,28.51,28.51,28.51,28.51,2,0
DECO.US,D,20241009,000000,28.24,28.24,28.129,28.129,387,0
DECO.US,D,20241010,000000,28.0422,28.0422,28.0422,28.0422,82,0
DECO.US,D,20241011,000000,29.5597,29.5597,29.5597,29.5597,8,0
DECO.US,D,20241014,000000,30.0956,30.0956,30.0956,30.0956,35,0
DECO.US,D,20241015,000000,29.7986,29.7986,29.7986,29.7986,8,0
DECO.US,D,20241016,000000,31.0438,31.0438,31.0438,31.0438,64,0
DECO.US,D,20241017,000000,30.9868,30.9868,30.9868,30.9868,3,0
DECO.US,D,20241018,000000,31.7019,31.7019,31.7019,31.7019,1,0
DECO.US,D,20241021,000000,32.4953,32.4953,32.4953,32.4953,23,0
DECO.US,D,20241022,000000,32.46,32.79,32.46,32.79,1308,0
DECO.US,D,20241023,000000,31.65,31.9761,31.65,31.9761,1246,0
DECO.US,D,20241024,000000,32.5864,32.5864,32.5864,32.5864,14,0
DECO.US,D,20241025,000000,33,33,32.3718,32.3718,146,0
DECO.US,D,20241028,000000,33.49,33.7119,33.49,33.7119,1102,0
DECO.US,D,20241029,000000,33.94,33.99,33.85,33.99,4379,0
