<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOYU.US,D,20190717,000000,110.2,115.4,110,115,3259863.9000000004,0
DOYU.US,D,20190718,000000,110.5,118.8,110,110.5,907158.9,0
DOYU.US,D,20190719,000000,109.3,111.6,101,105,604826.3,0
DOYU.US,D,20190722,000000,100.5,105.1,96.3,100.5,529127.6,0
DOYU.US,D,20190723,000000,103.8,105,99,103.8,276570.5,0
DOYU.US,D,20190724,000000,105,105.9,99,102,286676.5,0
DOYU.US,D,20190725,000000,100.5,104.6,97,97.2,218611.80000000002,0
DOYU.US,D,20190726,000000,99,102,97.31,100.8,208328.7,0
DOYU.US,D,20190729,000000,101.9,101.93,99.4,100.8,137589.30000000002,0
DOYU.US,D,20190730,000000,100,101.2,99.8,100.2,98597.40000000001,0
DOYU.US,D,20190731,000000,99.4,101.5,97.3,97.7,87475.6,0
DOYU.US,D,20190801,000000,97.9,98.3,88.5,93.3,265307,0
DOYU.US,D,20190802,000000,90.7,91.3,85.7,88,362652.7,0
DOYU.US,D,20190805,000000,84.9,85,78.7,81.8,310005.9,0
DOYU.US,D,20190806,000000,82,84.8,77.7,78.4,202348.80000000002,0
DOYU.US,D,20190807,000000,79.6,84,79.001,83.9,168700.5,0
DOYU.US,D,20190808,000000,86,92.2,85.5,92.2,262618.7,0
DOYU.US,D,20190809,000000,90.6,95.8,90.6,95.6,214350.80000000002,0
DOYU.US,D,20190812,000000,96.5,101.5,95.3,99.3,443068.80000000005,0
DOYU.US,D,20190813,000000,106.7,109.8,88.2,88.4,408682.5,0
DOYU.US,D,20190814,000000,86.6,87.9,80.5,81.4,251859.90000000002,0
DOYU.US,D,20190815,000000,82.2,83.8,80.8,83.1,218201.1,0
DOYU.US,D,20190816,000000,84.65,91.1,84,87,296095.7,0
DOYU.US,D,20190819,000000,90,91,82.7,84.5,403277.4,0
DOYU.US,D,20190820,000000,84.5,86.8,83.1,83.1,219759.7,0
DOYU.US,D,20190821,000000,84.1,85.2,80.1,82.2,253270.6,0
DOYU.US,D,20190822,000000,82.7,84.4,81.5,82,153017.6,0
DOYU.US,D,20190823,000000,82.1,82.5,78.6,80.7,236627.7,0
DOYU.US,D,20190826,000000,81.5,83.6,81.5,83.5,45048.3,0
DOYU.US,D,20190827,000000,84.4,89.3,84.1,86.4,173676.5,0
DOYU.US,D,20190828,000000,88,88.6,84.5,88.2,64607.8,0
DOYU.US,D,20190829,000000,89.6,93.8,89.5,92,170383.80000000002,0
DOYU.US,D,20190830,000000,93.6,95,91.5,94.6,79552.6,0
DOYU.US,D,20190903,000000,94.5,100.5,93.1,93.5,284672.5,0
DOYU.US,D,20190904,000000,96.7,101.3,96.11,99.8,184804.5,0
DOYU.US,D,20190905,000000,101,101.4,99.1,99.7,113930.8,0
DOYU.US,D,20190906,000000,100.8,101.7,98.5,99.6,86695.70000000001,0
DOYU.US,D,20190909,000000,100.3,102.7,97.1,97.8,167379.90000000002,0
DOYU.US,D,20190910,000000,97,98,93.9,97.5,104814.8,0
DOYU.US,D,20190911,000000,97.7,98.35,94.8,95.7,97027.70000000001,0
DOYU.US,D,20190912,000000,95.6,97.9,93.6,93.9,56207.3,0
DOYU.US,D,20190913,000000,94.5,95.9,94.1,95,126401.70000000001,0
DOYU.US,D,20190916,000000,95.1,96.6,92.5,93.3,60444,0
DOYU.US,D,20190917,000000,92.4,92.8,90,90.2,107888.1,0
DOYU.US,D,20190918,000000,90,91.4,89.5,90.4,76325.7,0
DOYU.US,D,20190919,000000,90,93.8,89.9,91.6,101181.5,0
DOYU.US,D,20190920,000000,92.9,96,92.5,95,117063.8,0
DOYU.US,D,20190923,000000,94,94,90.6,90.6,77412.90000000001,0
DOYU.US,D,20190924,000000,90.6,91.8,87.7,87.8,130628,0
DOYU.US,D,20190925,000000,87.7,90.274,86.9,87.5,133768.80000000002,0
DOYU.US,D,20190926,000000,87.2,88.9,86.1,86.1,72522.6,0
DOYU.US,D,20190927,000000,86,86.8,80.9,81.9,287002.2,0
DOYU.US,D,20190930,000000,82.8,83.1,81,81.9,116882.40000000001,0
DOYU.US,D,20191001,000000,81.3,83,80.9,81.9,83462.40000000001,0
DOYU.US,D,20191002,000000,81.4,81.5,80.45,81.2,135874.2,0
DOYU.US,D,20191003,000000,82.2,82.4,80.2,82.4,127584.3,0
DOYU.US,D,20191004,000000,82,85.7,82,85.1,34094.700000000004,0
