<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DUKX.US,D,20240715,000000,25.46,25.46,25.3504,25.3504,2004,0
DUKX.US,D,20240716,000000,25.41,25.52,25.41,25.5093,4092,0
DUKX.US,D,20240717,000000,25.33,25.33,25.2606,25.2606,2240,0
DUKX.US,D,20240718,000000,25.2052,25.2052,24.9999,25.01,751,0
DUKX.US,D,20240719,000000,24.9285,24.9285,24.8235,24.8235,3999,0
DUKX.US,D,20240722,000000,24.97,24.97,24.95,24.965,1340,0
DUKX.US,D,20240723,000000,24.9,24.9,24.84,24.84,1751,0
DUKX.US,D,20240724,000000,24.55,24.55,24.5306,24.5306,280,0
DUKX.US,D,20240725,000000,24.46,24.495,24.4178,24.4178,4048,0
DUKX.US,D,20240726,000000,24.71,24.71,24.69,24.691,505,0
DUKX.US,D,20240729,000000,24.63,24.63,24.6103,24.6103,100,0
DUKX.US,D,20240730,000000,24.58,24.61,24.58,24.5985,544,0
DUKX.US,D,20240731,000000,24.95,25.06,24.95,25.0131,800,0
DUKX.US,D,20240801,000000,24.85,24.85,24.4911,24.4927,1000,0
DUKX.US,D,20240802,000000,24.0897,24.14,24.08,24.1287,500,0
DUKX.US,D,20240805,000000,23.3305,23.5242,23.3305,23.5242,200,0
DUKX.US,D,20240806,000000,23.66,23.66,23.6373,23.6373,5000,0
DUKX.US,D,20240807,000000,24.0701,24.0701,23.7598,23.7598,5705,0
DUKX.US,D,20240808,000000,24.11,24.211,24.09,24.211,1300,0
DUKX.US,D,20240809,000000,24.265,24.3174,24.265,24.3174,400,0
DUKX.US,D,20240812,000000,24.4169,24.4169,24.3552,24.3552,401,0
DUKX.US,D,20240813,000000,24.508,24.69,24.508,24.685,600,0
DUKX.US,D,20240814,000000,24.6397,24.69,24.63,24.6722,985,0
DUKX.US,D,20240815,000000,24.9104,24.97,24.9104,24.9349,603,0
DUKX.US,D,20240816,000000,25.07,25.1203,25.07,25.1203,494,0
DUKX.US,D,20240819,000000,25.36,25.42,25.36,25.3974,449,0
DUKX.US,D,20240820,000000,25.27,25.27,25.24,25.2406,360,0
DUKX.US,D,20240821,000000,25.348,25.385,25.348,25.385,452,0
DUKX.US,D,20240822,000000,25.3,25.31,25.1328,25.1328,1336,0
DUKX.US,D,20240823,000000,25.5512,25.5768,25.5512,25.575,400,0
DUKX.US,D,20240826,000000,25.5103,25.5103,25.4356,25.4356,270,0
DUKX.US,D,20240827,000000,25.5,25.5,25.4845,25.4845,200,0
DUKX.US,D,20240828,000000,25.48,25.48,25.3725,25.3725,658,0
DUKX.US,D,20240829,000000,25.47,25.47,25.41,25.4198,316,0
DUKX.US,D,20240830,000000,25.498,25.498,25.41,25.4719,567,0
DUKX.US,D,20240903,000000,25.4,25.4,25.04,25.0454,540,0
DUKX.US,D,20240904,000000,25.0588,25.06,24.98,25.0183,756,0
DUKX.US,D,20240905,000000,25.125,25.125,25.0594,25.063,400,0
DUKX.US,D,20240906,000000,24.85,24.85,24.6441,24.6441,530,0
DUKX.US,D,20240909,000000,24.845,24.89,24.845,24.885,500,0
DUKX.US,D,20240910,000000,24.725,24.8006,24.725,24.8006,200,0
DUKX.US,D,20240911,000000,24.67,24.95,24.67,24.9491,534,0
DUKX.US,D,20240912,000000,25,25.1556,25,25.1556,400,0
DUKX.US,D,20240913,000000,25.2699,25.2699,25.2,25.2225,401,0
DUKX.US,D,20240916,000000,25.27,25.3861,25.27,25.3861,300,0
DUKX.US,D,20240917,000000,25.41,25.41,25.3,25.3219,213,0
DUKX.US,D,20240918,000000,25.25,25.335,25.247,25.247,408,0
DUKX.US,D,20240919,000000,25.6202,25.737,25.6202,25.737,302,0
DUKX.US,D,20240920,000000,25.568,25.5805,25.568,25.5805,403,0
DUKX.US,D,20240923,000000,25.735,25.745,25.735,25.735,225,0
DUKX.US,D,20240924,000000,26.0599,26.1972,26.0599,26.1972,202,0
DUKX.US,D,20240925,000000,26.1,26.1,25.9731,25.9731,203,0
DUKX.US,D,20240926,000000,26.52,26.64,26.52,26.6385,356,0
DUKX.US,D,20240927,000000,26.575,26.575,26.4747,26.4747,1754,0
