<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGIOQ.US,D,20070607,000000,600,600,600,600,0,0
EGIOQ.US,D,20070608,000000,920,973.2,852,887.2,305675.975,0
EGIOQ.US,D,20070611,000000,887.2,887.6,807.2,810,48732,0
EGIOQ.US,D,20070612,000000,813.6,829.2,754,765.2,39053.8,0
EGIOQ.US,D,20070613,000000,762.8,819.6,740,800.4,45392.725,0
EGIOQ.US,D,20070614,000000,819.6,819.6,770,780.8,14630.575,0
EGIOQ.US,D,20070615,000000,790,817.6,784.4,800,30445.325,0
EGIOQ.US,D,20070618,000000,800,808,776,783.2,14258.1,0
EGIOQ.US,D,20070619,000000,776,820,776,800,12700.225,0
EGIOQ.US,D,20070620,000000,804,812,780,785.2,10478.025,0
EGIOQ.US,D,20070621,000000,800,800,746.8,760,15529.8,0
EGIOQ.US,D,20070622,000000,760,760,740.4,744,17024.6,0
EGIOQ.US,D,20070625,000000,740,750,694,710.8,24333,0
EGIOQ.US,D,20070626,000000,715.6,719.6,694.8,706,9984.225,0
EGIOQ.US,D,20070627,000000,702,710,676,680,22687.45,0
EGIOQ.US,D,20070628,000000,670.4,676.4,619.6,622.8,34482.2,0
EGIOQ.US,D,20070629,000000,635.6,815.2,605.2,791.2,105282.825,0
EGIOQ.US,D,20070702,000000,780,781.6,744.4,756,21471.05,0
EGIOQ.US,D,20070703,000000,759.6,821.2,756,774,7010.175,0
EGIOQ.US,D,20070705,000000,793.2,867.6,756.8,830,36534.1,0
EGIOQ.US,D,20070706,000000,842.4,887.2,822.8,878.4,23322,0
EGIOQ.US,D,20070709,000000,880.8,913.6,880.4,904.8,15153.025,0
EGIOQ.US,D,20070710,000000,887.2,952.8,883.2,925.2,12374.575,0
EGIOQ.US,D,20070711,000000,920.8,924,893.2,920.8,13496.3,0
EGIOQ.US,D,20070712,000000,920.8,922,880,904.8,15936.1,0
EGIOQ.US,D,20070713,000000,906,906.8,840,844,17383.35,0
EGIOQ.US,D,20070716,000000,835.2,835.2,796.8,798.8,24445.875,0
EGIOQ.US,D,20070717,000000,802,802,766,770.4,18503.025,0
EGIOQ.US,D,20070718,000000,736,740,672,674,90948.975,0
EGIOQ.US,D,20070719,000000,692,699.2,672,674,21586.3,0
EGIOQ.US,D,20070720,000000,712.4,720,678.8,684.4,29827.625,0
EGIOQ.US,D,20070723,000000,686,692.8,682,688.4,20017.75,0
EGIOQ.US,D,20070724,000000,692,725.2,680.8,708,26922.275,0
EGIOQ.US,D,20070725,000000,714,723.2,699.2,705.2,17629.375,0
EGIOQ.US,D,20070726,000000,684,701.2,640,690,34975.825,0
EGIOQ.US,D,20070727,000000,700,700.4,655.2,658.8,17620.125,0
EGIOQ.US,D,20070730,000000,675.2,681.6,658,670,11000.3,0
EGIOQ.US,D,20070731,000000,686.8,689.2,647.6,662,10325.975,0
EGIOQ.US,D,20070801,000000,660.4,663.2,640,656,8442.3,0
EGIOQ.US,D,20070802,000000,658,662,649.6,661.6,9076.1,0
EGIOQ.US,D,20070803,000000,663.2,663.2,566,580.8,31661.35,0
EGIOQ.US,D,20070806,000000,585.6,589.6,478,524.4,51759.3,0
EGIOQ.US,D,20070807,000000,520,564,484.4,550.8,22884.9,0
EGIOQ.US,D,20070808,000000,564.4,629.6,564.4,592,23791.05,0
EGIOQ.US,D,20070809,000000,420,420,344,359.6,189273.55,0
EGIOQ.US,D,20070810,000000,340,347.2,312,317.6,68789.525,0
