<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EHGO.US,D,20240702,000000,4,4.4,2.6,3.26,852485,0
EHGO.US,D,20240703,000000,2.98,3,2.55,2.61,91774,0
EHGO.US,D,20240705,000000,2.69,2.69,1.92,2.15,123751,0
EHGO.US,D,20240708,000000,2.15,2.25,1.8,1.81,180614,0
EHGO.US,D,20240709,000000,1.76,1.99,1.66,1.83,68270,0
EHGO.US,D,20240710,000000,1.641,1.81,1.51,1.6554,94104,0
EHGO.US,D,20240711,000000,1.66,1.86,1.65,1.75,91170,0
EHGO.US,D,20240712,000000,1.72,2.43,1.72,2.05,356935,0
EHGO.US,D,20240715,000000,2.08,2.34,2.03,2.12,111353,0
EHGO.US,D,20240716,000000,2.17,2.33,2.02,2.1001,103896,0
EHGO.US,D,20240717,000000,2.09,2.11,1.85,1.96,65192,0
EHGO.US,D,20240718,000000,1.99,2.0185,1.8,1.9501,56032,0
EHGO.US,D,20240719,000000,2.05,2.05,1.87,1.91,35541,0
EHGO.US,D,20240722,000000,1.91,2.16,1.86,1.95,36687,0
EHGO.US,D,20240723,000000,1.82,2.05,1.82,1.89,96757,0
EHGO.US,D,20240724,000000,1.87,1.95,1.82,1.84,51401,0
EHGO.US,D,20240725,000000,1.76,1.8,1.63,1.759,37206,0
EHGO.US,D,20240726,000000,1.66,1.7846,1.5001,1.61,29629,0
EHGO.US,D,20240729,000000,1.67,1.73,1.61,1.63,21989,0
EHGO.US,D,20240730,000000,1.5101,1.765,1.45,1.7,55437,0
EHGO.US,D,20240731,000000,1.65,1.66,1.65,1.65,2421,0
EHGO.US,D,20240801,000000,1.8,1.8,1.64,1.66,26858,0
EHGO.US,D,20240802,000000,1.64,1.7637,1.6,1.66,26322,0
EHGO.US,D,20240805,000000,1.5401,1.66,1.5263,1.59,5583,0
EHGO.US,D,20240806,000000,1.52,1.61,1.52,1.61,1764,0
EHGO.US,D,20240807,000000,1.67,1.74,1.56,1.6058,2189,0
EHGO.US,D,20240808,000000,1.61,1.74,1.6,1.6768,20250,0
EHGO.US,D,20240809,000000,1.66,1.91,1.61,1.7,38931,0
EHGO.US,D,20240812,000000,1.6999,1.7,1.61,1.61,1967,0
EHGO.US,D,20240813,000000,1.61,1.88,1.61,1.8,16195,0
EHGO.US,D,20240814,000000,1.91,2.15,1.88,1.97,65047,0
EHGO.US,D,20240815,000000,1.94,2.03,1.88,1.959,6182,0
EHGO.US,D,20240816,000000,1.91,1.96,1.81,1.81,13968,0
EHGO.US,D,20240819,000000,1.8201,1.925,1.8201,1.86,3147,0
EHGO.US,D,20240820,000000,1.87,1.9999,1.741,1.9999,3623,0
EHGO.US,D,20240821,000000,2.03,2.03,2,2,15590,0
EHGO.US,D,20240822,000000,2.0208,2.06,1.83,1.99,14648,0
EHGO.US,D,20240823,000000,2.0899,2.22,1.99,2.11,14219,0
EHGO.US,D,20240826,000000,2.21,2.2964,2.14,2.15,14970,0
EHGO.US,D,20240827,000000,2.16,2.28,1.915,2.13,13653,0
EHGO.US,D,20240828,000000,2.12,2.16,2,2.02,14361,0
EHGO.US,D,20240829,000000,2.01,2.3,2.01,2.16,35968,0
EHGO.US,D,20240830,000000,2.1999,2.45,2.1802,2.3,37121,0
EHGO.US,D,20240903,000000,2.28,2.5391,2.15,2.15,29563,0
EHGO.US,D,20240904,000000,2.15,2.36,2.14,2.18,12014,0
EHGO.US,D,20240905,000000,2.18,2.3,2.18,2.18,7872,0
EHGO.US,D,20240906,000000,2.2155,2.26,2.2097,2.22,3155,0
EHGO.US,D,20240909,000000,2.2,2.25,2.18,2.18,1880,0
EHGO.US,D,20240910,000000,2.21,2.22,2.16,2.16,2859,0
EHGO.US,D,20240911,000000,2.17,2.17,2.17,2.17,431,0
EHGO.US,D,20240912,000000,1.87,2.284,1.87,2.1,5586,0
EHGO.US,D,20240913,000000,2.17,2.18,2.11,2.17,2896,0
EHGO.US,D,20240916,000000,2.28,2.58,2.15,2.15,15580,0
EHGO.US,D,20240917,000000,2.3,2.3,2.12,2.15,9311,0
EHGO.US,D,20240918,000000,2.1,2.2,2.1,2.2,1851,0
EHGO.US,D,20240919,000000,2.2,2.3,1.88,2.2,29289,0
EHGO.US,D,20240920,000000,2.201,2.201,2.201,2.201,334,0
EHGO.US,D,20240923,000000,2.06,2.325,2.03,2.19,8178,0
EHGO.US,D,20240924,000000,1.8901,2.18,1.88,2.18,5561,0
EHGO.US,D,20240925,000000,2.1746,2.1799,1.93,1.93,4649,0
EHGO.US,D,20240926,000000,2.235,2.235,1.95,2.01,12523,0
EHGO.US,D,20240927,000000,2.12,2.12,1.97,1.98,4943,0
EHGO.US,D,20240930,000000,2.04,2.39,2.04,2.08,22756,0
EHGO.US,D,20241001,000000,2.152,2.34,2.08,2.1842,10219,0
EHGO.US,D,20241002,000000,2.145,2.21,2.03,2.03,17125,0
EHGO.US,D,20241003,000000,2.0623,2.0623,1.98,1.99,9511,0
EHGO.US,D,20241004,000000,2.01,2.01,1.96,1.98,8397,0
EHGO.US,D,20241007,000000,1.91,2.15,1.87,1.93,25593,0
EHGO.US,D,20241008,000000,1.99,2.04,1.74,2.04,36433,0
EHGO.US,D,20241009,000000,1.84,2.0199,1.75,1.89,20249,0
EHGO.US,D,20241010,000000,1.8279,1.95,1.8279,1.9,7988,0
EHGO.US,D,20241011,000000,1.98,2,1.96,1.96,2022,0
EHGO.US,D,20241014,000000,2.02,2.49,2.02,2.49,48298,0
EHGO.US,D,20241015,000000,2.5,2.55,2.26,2.27,41258,0
EHGO.US,D,20241016,000000,2.16,2.4001,2.16,2.21,26122,0
EHGO.US,D,20241017,000000,2.14,2.28,2.14,2.24,4664,0
EHGO.US,D,20241018,000000,2.2449,2.5785,2.24,2.25,18424,0
EHGO.US,D,20241021,000000,2.28,2.4,2.11,2.11,13969,0
EHGO.US,D,20241022,000000,2.02,2.24,2.02,2.18,5193,0
EHGO.US,D,20241023,000000,2.15,2.37,2.11,2.11,7464,0
