<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMEQ.US,D,20240909,000000,24.83,24.8467,24.83,24.8467,143,0
EMEQ.US,D,20240910,000000,24.73,24.76,24.73,24.7596,711,0
EMEQ.US,D,20240911,000000,25.0363,25.0363,25.0363,25.0363,2,0
EMEQ.US,D,20240912,000000,25.4208,25.4208,25.4208,25.4208,6,0
EMEQ.US,D,20240913,000000,25.4206,25.4206,25.4206,25.4206,50,0
EMEQ.US,D,20240916,000000,25.4128,25.4128,25.4128,25.4128,2,0
EMEQ.US,D,20240917,000000,25.3668,25.3668,25.3668,25.3668,51,0
EMEQ.US,D,20240918,000000,25.3338,25.3338,25.3338,25.3338,51,0
EMEQ.US,D,20240919,000000,25.7334,25.7334,25.7334,25.7334,100000,0
EMEQ.US,D,20240920,000000,25.6014,25.6014,25.6014,25.6014,51,0
EMEQ.US,D,20240923,000000,25.8178,25.8178,25.8178,25.8178,51,0
EMEQ.US,D,20240924,000000,26.7372,26.7372,26.7372,26.7372,51,0
EMEQ.US,D,20240925,000000,26.57,26.57,26.3091,26.3091,700,0
EMEQ.US,D,20240926,000000,27.72,27.86,27.72,27.8278,1400,0
EMEQ.US,D,20240927,000000,27.7795,27.7795,27.6919,27.6919,4603,0
EMEQ.US,D,20240930,000000,27.51,27.51,26.9466,26.9466,604,0
EMEQ.US,D,20241001,000000,27.1917,27.1917,27.1917,27.1917,51,0
EMEQ.US,D,20241002,000000,27.5569,27.5569,27.5569,27.5569,101,0
EMEQ.US,D,20241003,000000,27.1912,27.1912,27.1912,27.1912,51,0
EMEQ.US,D,20241004,000000,27.5,27.5778,27.5,27.5778,282,0
EMEQ.US,D,20241007,000000,27.63,27.7353,27.63,27.7353,1002,0
EMEQ.US,D,20241008,000000,27.26,27.3419,27.26,27.3419,401,0
EMEQ.US,D,20241009,000000,27.15,27.2122,27.12,27.2122,1915,0
EMEQ.US,D,20241010,000000,27.46,27.46,27.3911,27.3911,314,0
EMEQ.US,D,20241011,000000,27.55,27.66,27.5111,27.5834,2286,0
EMEQ.US,D,20241014,000000,27.43,27.442,27.43,27.442,272,0
EMEQ.US,D,20241015,000000,27.04,27.04,26.6923,26.6923,1200,0
EMEQ.US,D,20241016,000000,26.99,27.01,26.9786,26.9786,503,0
EMEQ.US,D,20241017,000000,27.16,27.2399,27.16,27.1945,1562,0
EMEQ.US,D,20241018,000000,27.35,27.35,27.2718,27.2718,3016,0
EMEQ.US,D,20241021,000000,27.12,27.12,27.03,27.0859,3806,0
EMEQ.US,D,20241022,000000,27.03,27.03,27.0188,27.0188,1153,0
EMEQ.US,D,20241023,000000,26.94,26.9419,26.8699,26.9419,700,0
EMEQ.US,D,20241024,000000,26.8819,26.8819,26.8819,26.8819,3,0
EMEQ.US,D,20241025,000000,27.04,27.04,26.9656,26.9656,184,0
EMEQ.US,D,20241028,000000,26.8981,26.8981,26.8981,26.8981,4,0
