<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURK.US,D,20240913,000000,10.03,10.04,10.03,10.03,128723,0
EURK.US,D,20240916,000000,10.025,10.04,10.025,10.03,167691,0
EURK.US,D,20240917,000000,10.03,10.04,10.03,10.03,242312,0
EURK.US,D,20240918,000000,10.03,10.035,10.03,10.035,3445,0
EURK.US,D,20240919,000000,10.04,10.04,10.03,10.03,531172,0
EURK.US,D,20240920,000000,10.035,10.04,10.03,10.035,213136,0
EURK.US,D,20240923,000000,10.04,10.05,10.04,10.04,902808,0
EURK.US,D,20240924,000000,10.04,10.05,10.04,10.05,619921,0
EURK.US,D,20240925,000000,10.04,10.04,10.04,10.04,906,0
EURK.US,D,20240927,000000,10.04,10.04,10.04,10.04,2627,0
EURK.US,D,20240930,000000,10.06,10.06,10.06,10.06,698,0
EURK.US,D,20241001,000000,10.05,10.065,10.04,10.05,122206,0
EURK.US,D,20241002,000000,10.07,10.07,10.07,10.07,1396,0
EURK.US,D,20241008,000000,10.0652,10.0652,10.0652,10.0652,1373,0
EURK.US,D,20241011,000000,10.06,10.06,10.06,10.06,19472,0
EURK.US,D,20241014,000000,10.069,10.07,10.06,10.07,6623,0
EURK.US,D,20241015,000000,10.07,10.07,10.0699,10.0699,306,0
EURK.US,D,20241016,000000,10.06,10.09,10.06,10.075,4323,0
EURK.US,D,20241021,000000,10.0785,10.09,10.07,10.09,13127,0
EURK.US,D,20241023,000000,10.0732,10.0732,10.0732,10.0732,2500,0
EURK.US,D,20241024,000000,10.075301,10.09,10.07,10.08,25249,0
