<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVAX.US,D,20210205,000000,100,100,87.8,98.9,140036.8,0
EVAX.US,D,20210208,000000,103.4,103.4,97,99.5,50684.4,0
EVAX.US,D,20210209,000000,100.5,101,92,93.5,34034.6,0
EVAX.US,D,20210210,000000,99.9,99.9,92,94,24860,0
EVAX.US,D,20210211,000000,94.8,97.5,91,91.2,7086.4,0
EVAX.US,D,20210212,000000,90.6,94.999,90.1,91.8,6181.8,0
EVAX.US,D,20210216,000000,90.9,94,86.3,87.5,13106.4,0
EVAX.US,D,20210217,000000,87,87.8,81,82.4,12807.6,0
EVAX.US,D,20210218,000000,81.6,89.8,81.3,86.9,10358.5,0
EVAX.US,D,20210219,000000,88.8,89.5,84,84,9739.6,0
EVAX.US,D,20210222,000000,84,86.078,81.7,81.7,3014,0
EVAX.US,D,20210223,000000,80.1,80.1,67.7,72.8,18254,0
EVAX.US,D,20210224,000000,76.1,78.8,71.201,75,1672.1,0
EVAX.US,D,20210225,000000,76,78.461,70.1,74.1,9089.5,0
EVAX.US,D,20210226,000000,74.2,74.2,69.5,69.8,3155.4,0
EVAX.US,D,20210301,000000,69.6,73.4,69.6,70.8,1940.8,0
EVAX.US,D,20210302,000000,75.5,77.5,72.3,77.5,12156.2,0
EVAX.US,D,20210303,000000,78,78,68.1,70.6,7789,0
EVAX.US,D,20210304,000000,72.5,73.1,70,71,4092,0
EVAX.US,D,20210305,000000,71.6,71.6,68.5,70.3,7150.8,0
EVAX.US,D,20210308,000000,77,82.4,72.8,75.4,35308.8,0
EVAX.US,D,20210309,000000,75.6,77.45,72.75,75.4,12470.5,0
EVAX.US,D,20210310,000000,75,78.5,74,76.2,5091.4,0
EVAX.US,D,20210311,000000,77.6,80.309,74.106,75.1,2711.1,0
EVAX.US,D,20210312,000000,76.5,76.5,70.501,72.6,5019.2,0
EVAX.US,D,20210315,000000,73.191,78.6,72.9,78,5263.7,0
EVAX.US,D,20210316,000000,79,82.8,75.001,75.9,10965.2,0
EVAX.US,D,20210317,000000,77,80,77,77.6,4102.2,0
EVAX.US,D,20210318,000000,78.6,78.6,75,75,4032.2,0
EVAX.US,D,20210319,000000,76,77.9,74,76.3,5695.8,0
EVAX.US,D,20210322,000000,81.4,81.5,75.432,77.7,2789.5,0
EVAX.US,D,20210323,000000,78.951,80,71,72,4016.8,0
EVAX.US,D,20210324,000000,72.5,74.7,65.1,66.2,6666.8,0
EVAX.US,D,20210325,000000,67,70,64.7,65.2,2456.4,0
EVAX.US,D,20210326,000000,65.1,69.6,57.7,60.3,7749.2,0
EVAX.US,D,20210329,000000,58,60,53.101,54,7447.2,0
EVAX.US,D,20210330,000000,54.5,56,52.7,53,7700.3,0
EVAX.US,D,20210331,000000,53.2,61.687,53.1,59,40799.8,0
EVAX.US,D,20210401,000000,60,63.3,51.55,53.1,13888.4,0
EVAX.US,D,20210405,000000,55,57.8,51.8,52,22541.1,0
EVAX.US,D,20210406,000000,59.8,59.8,51.95,52.9,20940.8,0
EVAX.US,D,20210407,000000,53,56.111,52.201,54.4,8421.8,0
EVAX.US,D,20210408,000000,58.4,58.4,52.444,55.3,3907.1,0
EVAX.US,D,20210409,000000,57.9,61.416,57,60.9,26073.7,0
EVAX.US,D,20210412,000000,62.2,64.4,61.133,64,14952,0
EVAX.US,D,20210413,000000,65.5,68,64.2,65.1,9833.9,0
EVAX.US,D,20210414,000000,65.4,73.3,65.4,73.3,11145.9,0
EVAX.US,D,20210415,000000,73.4,79.6,72.5,77.2,12355.5,0
EVAX.US,D,20210416,000000,75.4,76.25,62.9,65.2,15197.9,0
EVAX.US,D,20210419,000000,65,70.5,60.9,68.5,8104,0
EVAX.US,D,20210420,000000,67,71.999,65.6,71.6,11457.9,0
EVAX.US,D,20210421,000000,71.6,73,67.5,70,6280.4,0
EVAX.US,D,20210422,000000,69.3,73,67.699,69.6,2574.8,0
EVAX.US,D,20210423,000000,69.7,71.1,67.8,69.3,1396.2,0
EVAX.US,D,20210426,000000,69.5,79,68.5,74.1,3206.7,0
EVAX.US,D,20210427,000000,78,79.9,71,78.3,3163,0
EVAX.US,D,20210428,000000,80,80.4,73,77,2019.2,0
EVAX.US,D,20210429,000000,76,77.04,71.448,73.4,1980.8,0
EVAX.US,D,20210430,000000,71.454,73.9,70.2,71.3,1263.2,0
