<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FBYD.US,D,20231009,000000,15.2,15.2,10.0101,14.94,142826,0
FBYD.US,D,20231010,000000,15.14,17.22,12,16.4,84651,0
FBYD.US,D,20231011,000000,12.01,13.4723,11.24,12.32,59552,0
FBYD.US,D,20231012,000000,11.59,12.99,11,11.99,63141,0
FBYD.US,D,20231013,000000,13.3,13.3,10.1,11.595,88867,0
FBYD.US,D,20231016,000000,10.5,12.57,10.5,11.8499,26013,0
FBYD.US,D,20231017,000000,12.6,12.95,11,12.25,30623,0
FBYD.US,D,20231018,000000,13.34,44,12.51,21.49,1359556,0
FBYD.US,D,20231019,000000,19.19,25,17.0301,22,251794,0
FBYD.US,D,20231020,000000,20.32,22.675,16.5,17.27,115023,0
FBYD.US,D,20231023,000000,16.55,16.55,12.81,12.81,124654,0
FBYD.US,D,20231024,000000,13.26,24.84,12.9501,16.685,531074,0
FBYD.US,D,20231025,000000,15.69,17.15,14.7,14.99,61973,0
FBYD.US,D,20231026,000000,14.69,17.25,14.44,14.85,70953,0
FBYD.US,D,20231027,000000,15.19,15.7,14.75,15.63,29584,0
FBYD.US,D,20231030,000000,15.32,17,15.25,15.89,14690,0
FBYD.US,D,20231031,000000,15.25,16.49,15.25,15.84,28386,0
FBYD.US,D,20231101,000000,15.9,19.4078,15.1306,15.73,59741,0
FBYD.US,D,20231102,000000,16,17.4,16,16.55,31624,0
FBYD.US,D,20231103,000000,16.05,16.9191,15.81,16.3,12924,0
FBYD.US,D,20231106,000000,16.15,16.99,15.25,16.29,27880,0
FBYD.US,D,20231107,000000,15.26,16.46,15.26,15.98,52470,0
FBYD.US,D,20231108,000000,14,14.59,12.56,13.25,120252,0
FBYD.US,D,20231109,000000,12.91,13,10.51,11.18,98959,0
FBYD.US,D,20231110,000000,11.26,12.1747,11.26,11.43,33594,0
FBYD.US,D,20231113,000000,11.5,12.33,11.5,11.77,31115,0
FBYD.US,D,20231114,000000,13.65,13.65,11.76,11.76,48826,0
FBYD.US,D,20231115,000000,12.52,12.625,11.79,12.06,37164,0
FBYD.US,D,20231116,000000,11.91,12.7786,11.91,12.27,55125,0
FBYD.US,D,20231117,000000,12.7,13.25,11.81,12.5,40897,0
FBYD.US,D,20231120,000000,12.41,14.245,12.34,12.36,36951,0
FBYD.US,D,20231121,000000,12.79,12.8,12.0165,12.02,13872,0
FBYD.US,D,20231122,000000,12.05,13.2,12.05,12.35,49142,0
FBYD.US,D,20231124,000000,12.3,12.52,11.8001,11.92,26679,0
FBYD.US,D,20231127,000000,11.9501,12.5,11.9501,12.14,13485,0
FBYD.US,D,20231128,000000,12.25,12.35,12.06,12.3,25340,0
FBYD.US,D,20231129,000000,12,12.5,12,12.35,43748,0
FBYD.US,D,20231130,000000,12.02,12.5,12.02,12.48,7507,0
FBYD.US,D,20231201,000000,12.35,12.35,11.95,12.29,5585,0
FBYD.US,D,20231204,000000,12.25,12.3595,11.73,11.86,20605,0
FBYD.US,D,20231205,000000,11.5,11.74,11.37,11.53,12585,0
FBYD.US,D,20231206,000000,11.855,12.1,11.83,12,7261,0
FBYD.US,D,20231207,000000,12.5,12.5,11.79,11.79,8755,0
FBYD.US,D,20231208,000000,12.26,12.35,11.42,11.42,8374,0
FBYD.US,D,20231211,000000,12.07,12.2,11.64,12.1,12486,0
FBYD.US,D,20231212,000000,11.43,12.21,11.43,12.11,13300,0
FBYD.US,D,20231213,000000,11.89,12.15,11.75,12.15,19068,0
FBYD.US,D,20231214,000000,11.71,12.15,11.71,11.81,15279,0
FBYD.US,D,20231215,000000,11.79,12.37,11.71,12.36,263397,0
FBYD.US,D,20231218,000000,11.7,12.41,11.5797,11.99,28178,0
FBYD.US,D,20231219,000000,12.1543,12.37,11.85,12.11,11510,0
FBYD.US,D,20231220,000000,12.39,12.8,12.08,12.4,35474,0
