<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FER.US,D,20240510,000000,39,39,37,37.5,29354,0
FER.US,D,20240513,000000,38,38.61,37.805,37.9,8708,0
FER.US,D,20240514,000000,40,41.02,38.96,40.4,6963,0
FER.US,D,20240515,000000,40.9,42.46,40.41,41.52,131153,0
FER.US,D,20240516,000000,41.04,41.21,40.18,40.49,27263,0
FER.US,D,20240517,000000,40.365,41.42,40.365,40.62,7526,0
FER.US,D,20240520,000000,39.61,40.59,39.6,40,3146,0
FER.US,D,20240521,000000,40.52,40.9,39.6,40.9,80575,0
FER.US,D,20240522,000000,40.4,40.4,39.61,40.12,27018,0
FER.US,D,20240523,000000,40.14,40.78,39.52,40,86979,0
FER.US,D,20240524,000000,39.74,41.7,39.26,40.21,53939,0
FER.US,D,20240528,000000,39.73,40.28,39.61,40.1,6058,0
FER.US,D,20240529,000000,39.6,39.6,39.205,39.6,8760,0
FER.US,D,20240530,000000,39.7,40.44,39.67,40.25,8325,0
FER.US,D,20240531,000000,39.87,40.495,39.44,40.495,3493,0
FER.US,D,20240603,000000,39.48,40.9,39.25,40.4,7782,0
FER.US,D,20240604,000000,39.42,40.1,39.42,39.91,10136,0
FER.US,D,20240605,000000,39.7,40.71,39.6999,40.5,4512,0
FER.US,D,20240606,000000,39.95,40.075,39.87,39.87,4512,0
FER.US,D,20240607,000000,39.7,39.9999,39.29,39.69,6920,0
FER.US,D,20240610,000000,38.85,39.4,38.735,39.4,4711,0
FER.US,D,20240611,000000,38.5,44,37.97,41.39,19278,0
FER.US,D,20240612,000000,39.53,40.45,39.53,39.9,9001,0
FER.US,D,20240613,000000,39.59,40.06,39.15,39.23,6045,0
FER.US,D,20240614,000000,39.28,40.24,38.78,39.355,12530,0
FER.US,D,20240617,000000,38.76,38.8,38.27,38.51,26098,0
FER.US,D,20240618,000000,39.33,39.6,39.02,39.02,16581,0
FER.US,D,20240620,000000,39.46,39.9,38.95,39.6,20562,0
FER.US,D,20240621,000000,38.78,39.2,37.92,37.92,34568,0
FER.US,D,20240624,000000,39.26,39.99,38.97,39.76,23073,0
FER.US,D,20240625,000000,38.98,40.38,38.98,39.8,20318,0
FER.US,D,20240626,000000,39.23,40.94,39.1422,39.8,63234,0
FER.US,D,20240627,000000,39.34,39.72,39.11,39.3,49014,0
FER.US,D,20240628,000000,39,39.5,38.74,38.89,13207,0
FER.US,D,20240701,000000,39.46,39.6,38.9,39,15224,0
FER.US,D,20240702,000000,38.99,40.035,38.98,39.25,66779,0
FER.US,D,20240703,000000,39.79,40.78,39.79,40.18,26025,0
FER.US,D,20240705,000000,40.66,41,40.41,40.62,11025,0
FER.US,D,20240708,000000,40.71,40.9,40.53,40.65,18398,0
FER.US,D,20240709,000000,39.96,39.96,39.39,39.71,16139,0
FER.US,D,20240710,000000,40.1,40.83,39.97,40.31,14051,0
FER.US,D,20240711,000000,41.56,42.33,41.464,41.52,23860,0
FER.US,D,20240712,000000,42.02,42.6,40.81,42.31,20401,0
FER.US,D,20240715,000000,42.17,42.28,41.65,41.95,15475,0
FER.US,D,20240716,000000,41.5,42.03,41.5,42.01,24288,0
FER.US,D,20240717,000000,41.91,42.23,41.71,42.23,17745,0
FER.US,D,20240718,000000,42.16,42.28,41.78,41.91,21073,0
FER.US,D,20240719,000000,41.79,41.97,41.44,41.83,16210,0
FER.US,D,20240722,000000,42.41,42.67,42.16,42.56,17329,0
FER.US,D,20240723,000000,42.06,42.48,41.94,42.25,51381,0
FER.US,D,20240724,000000,41.87,42.22,41.69,41.74,23386,0
FER.US,D,20240725,000000,41.56,42.17,41.4,41.79,30230,0
FER.US,D,20240726,000000,41.42,42.12,41.42,41.72,34517,0
FER.US,D,20240729,000000,41.44,41.51,41.19,41.42,39379,0
FER.US,D,20240730,000000,42.04,42.91,41.79,42.54,22023,0
