<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FFIE.US,D,20200903,000000,2332.8,2332.8,2325.6,2325.6,111.75416665549,0
FFIE.US,D,20200904,000000,2328,2342.4,2325.6,2337.6,2657.1374997343,0
FFIE.US,D,20200909,000000,2335.2,2337.6,2330.4,2337.6,34.804166663186,0
FFIE.US,D,20200910,000000,2340,2340,2330.4,2340,6096.1708327237,0
FFIE.US,D,20200911,000000,2332.8,2354.4,2332.8,2335.2,44.220833328911,0
FFIE.US,D,20200914,000000,2335.2,2340,2328,2340,1419.1249998581,0
FFIE.US,D,20200915,000000,2400,2565.6,2330.4,2330.4,360.09166663066,0
FFIE.US,D,20200916,000000,2332.8,2332.8,2330.4,2332.78,318.76249996812,0
FFIE.US,D,20200917,000000,2337.6,2340,2332.8,2337.6,4545.7416662121,0
FFIE.US,D,20200918,000000,2362.8,2362.8,2335.2,2344.8,952.86249990471,0
FFIE.US,D,20200921,000000,2337.43,2344.8,2337.43,2344.8,2282.1999997718,0
FFIE.US,D,20200922,000000,2342.4,2342.4,2340,2340,412.59999995874,0
FFIE.US,D,20200923,000000,2340,2344.8,2340,2342.4,2144.1833331189,0
FFIE.US,D,20200924,000000,2340,2342.4,2340,2340,1313.4374998687,0
FFIE.US,D,20200925,000000,2340,2342.4,2340,2340,688.76249993112,0
FFIE.US,D,20200928,000000,2340,2342.4,2340,2342.4,5.449999999455,0
FFIE.US,D,20200929,000000,2342.4,2352,2342.4,2344.8,3457.3499996543,0
FFIE.US,D,20200930,000000,2344.8,2376,2340,2354.4,2539.6791664127,0
FFIE.US,D,20201001,000000,2352,2354.4,2342.4,2344.8,873.383333246,0
FFIE.US,D,20201002,000000,2340,2342.4,2340,2340,1485.7166665181,0
FFIE.US,D,20201005,000000,2352,2352,2352,2352,0.53749999994625,0
FFIE.US,D,20201006,000000,2344.8,2344.8,2342.4,2342.4,68.929166659774,0
FFIE.US,D,20201007,000000,2344.8,2344.8,2344.8,2344.8,5.0958333328237,0
FFIE.US,D,20201008,000000,2342.4,2344.8,2342.4,2344.8,85.887499991411,0
FFIE.US,D,20201009,000000,2342.4,2342.4,2337.6,2337.6,99.108333323422,0
FFIE.US,D,20201012,000000,2340,2343.6,2340,2342.4,14.758333331857,0
FFIE.US,D,20201013,000000,2330.4,2335.2,2328,2335.2,638.87083326945,0
FFIE.US,D,20201014,000000,2335.2,2335.2,2335.2,2335.2,1298.0666665369,0
FFIE.US,D,20201015,000000,2335.2,2335.2,2332.8,2332.8,439.84583328935,0
FFIE.US,D,20201016,000000,2335.2,2349.6,2335.15,2335.2,60.062499993994,0
FFIE.US,D,20201019,000000,2335.2,2347.2,2335.2,2335.2,333.97083329994,0
FFIE.US,D,20201020,000000,2335.2,2335.2,2335.2,2335.2,23.458333330988,0
FFIE.US,D,20201021,000000,2335.2,2335.2,2335.2,2335.2,0.47083333328625,0
FFIE.US,D,20201022,000000,2330.4,2332.8,2323.2,2332.8,862.74999991372,0
FFIE.US,D,20201023,000000,2332.8,2332.8,2323.2,2328,9.883333332345,0
FFIE.US,D,20201026,000000,2323.2,2340,2323.2,2340,479.39583328539,0
FFIE.US,D,20201027,000000,2323.2,2328,2323.2,2324.4,40.095833329324,0
FFIE.US,D,20201028,000000,2323.2,2330.4,2320.8,2330.4,673.42083326599,0
FFIE.US,D,20201029,000000,2323.2,2328,2318.23,2320.8,521.26666661454,0
FFIE.US,D,20201030,000000,2323.2,2323.2,2318.4,2318.4,418.7041666248,0
FFIE.US,D,20201102,000000,2328,2328,2316,2316,83.674999991632,0
FFIE.US,D,20201103,000000,2318.4,2328,2316,2318.4,97.624999990237,0
FFIE.US,D,20201104,000000,2320.8,2328,2320.8,2328,34.070833329926,0
FFIE.US,D,20201105,000000,2328,2330.4,2328,2330.4,13.495833331984,0
FFIE.US,D,20201106,000000,2325.14,2325.14,2325.14,2325.14,1.6666666665,0
FFIE.US,D,20201109,000000,2330.4,2332.8,2330.4,2330.45,42.670833329066,0
FFIE.US,D,20201110,000000,2328,2328,2328,2328,31.258333330207,0
FFIE.US,D,20201111,000000,2328,2332.8,2328,2328,42.83333332905,0
FFIE.US,D,20201112,000000,2328,2332.78,2328,2332.78,42.9999999957,0
FFIE.US,D,20201113,000000,2332.8,2332.8,2332.8,2332.8,31.391666663527,0
FFIE.US,D,20201116,000000,2335.2,2337.6,2335.2,2335.2,444.94166662217,0
FFIE.US,D,20201117,000000,2335.2,2342.4,2334,2340,2357.129166431,0
FFIE.US,D,20201118,000000,2344.8,2347.2,2335.2,2347.2,535.3833332798,0
FFIE.US,D,20201119,000000,2335.2,2344.8,2335.2,2344.8,11.504166665516,0
FFIE.US,D,20201120,000000,2332.8,2344.8,2332.8,2335.2,30.429166663624,0
FFIE.US,D,20201123,000000,2335.2,2342.4,2332.8,2335.2,235.85833330975,0
FFIE.US,D,20201124,000000,2332.8,2344.8,2332.8,2344.8,6.89999999931,0
FFIE.US,D,20201125,000000,2332.8,2344.8,2332.8,2344.8,9.0583333324275,0
FFIE.US,D,20201127,000000,2347.2,2354.4,2347.2,2354.4,49.908333328342,0
FFIE.US,D,20201130,000000,2351.98,2352,2342.42,2352,3.1291666663537,0
FFIE.US,D,20201201,000000,2352,2354.4,2344.8,2352,39.358333329397,0
