<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMSTW.US,D,20240913,000000,0.2601,0.3,0.2601,0.27,1457,0
FMSTW.US,D,20240916,000000,0.2501,0.2501,0.2501,0.2501,2500,0
FMSTW.US,D,20240919,000000,0.254859,0.254859,0.254859,0.254859,1500,0
FMSTW.US,D,20240926,000000,0.305,0.305,0.305,0.305,810,0
FMSTW.US,D,20240930,000000,0.396499,0.396499,0.396499,0.396499,137,0
FMSTW.US,D,20241001,000000,0.32,0.39,0.32,0.3475,2439,0
FMSTW.US,D,20241002,000000,0.29,0.3,0.29,0.291023,2200,0
FMSTW.US,D,20241004,000000,0.258,0.258,0.258,0.258,1500,0
FMSTW.US,D,20241007,000000,0.281,0.281,0.281,0.281,115,0
FMSTW.US,D,20241008,000000,0.2601,0.2601,0.2601,0.2601,804,0
FMSTW.US,D,20241009,000000,0.2501,0.2501,0.2501,0.2501,229,0
FMSTW.US,D,20241015,000000,0.324999,0.3251,0.3103,0.325,1300,0
FMSTW.US,D,20241017,000000,0.419899,0.42,0.34,0.41,1333,0
FMSTW.US,D,20241021,000000,0.4,0.4,0.378626,0.378626,2060,0
FMSTW.US,D,20241024,000000,0.4,0.4,0.4,0.4,110,0
FMSTW.US,D,20241025,000000,0.360001,0.360001,0.325,0.325,1710,0
FMSTW.US,D,20241029,000000,0.32,0.395,0.32,0.395,1860,0
