<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRLAU.US,D,20240419,000000,11.5,11.5,11.5,11.5,568,0
FRLAU.US,D,20240716,000000,11.2,11.2,11.2,11.2,100,0
FRLAU.US,D,20240729,000000,11.06,11.06,11.06,11.06,131,0
FRLAU.US,D,20240812,000000,11.26,11.26,11.26,11.26,13099,0
FRLAU.US,D,20240813,000000,11.26,11.26,11.25,11.25,900,0
FRLAU.US,D,20240821,000000,11.27,11.27,11.26,11.26,800,0
FRLAU.US,D,20240826,000000,11.4002,11.4002,11.4,11.4,402,0
FRLAU.US,D,20240828,000000,11.26,11.26,11.26,11.26,102,0
FRLAU.US,D,20240909,000000,12.29,12.29,11.31,11.31,4115,0
FRLAU.US,D,20240917,000000,11.33,11.33,11.33,11.33,101,0
FRLAU.US,D,20240923,000000,11.35,11.35,11.33,11.33,500,0
FRLAU.US,D,20241002,000000,11.69,11.69,11.69,11.69,1000,0
