<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FSHPR.US,D,20240816,000000,0.14,0.14,0.11,0.12,655723,0
FSHPR.US,D,20240820,000000,0.1101,0.1101,0.1,0.1101,251000,0
FSHPR.US,D,20240822,000000,0.1101,0.14,0.11,0.1398,4330,0
FSHPR.US,D,20240828,000000,0.135,0.1399,0.135,0.1399,549,0
FSHPR.US,D,20240829,000000,0.14,0.14,0.14,0.14,301,0
FSHPR.US,D,20240903,000000,0.1431,0.1431,0.1429,0.1429,400,0
FSHPR.US,D,20240904,000000,0.16,0.16,0.1442,0.1442,200,0
FSHPR.US,D,20240906,000000,0.172,0.312,0.13,0.14,5160,0
FSHPR.US,D,20240909,000000,0.14,0.14,0.14,0.14,205,0
FSHPR.US,D,20240910,000000,0.128,0.128,0.1278,0.1278,610,0
FSHPR.US,D,20240911,000000,0.11,0.116,0.11,0.1101,13101,0
FSHPR.US,D,20240913,000000,0.112,0.112,0.1101,0.1101,106000,0
FSHPR.US,D,20240916,000000,0.12,0.12,0.115,0.12,53985,0
FSHPR.US,D,20240917,000000,0.1101,0.1101,0.1101,0.1101,400,0
FSHPR.US,D,20240920,000000,0.1184,0.1184,0.1184,0.1184,200,0
FSHPR.US,D,20240925,000000,0.1194,0.1194,0.1194,0.1194,10000,0
FSHPR.US,D,20241003,000000,0.119399,0.119399,0.119399,0.119399,125,0
FSHPR.US,D,20241004,000000,0.119,0.119,0.1189,0.1189,200,0
FSHPR.US,D,20241008,000000,0.11,0.11,0.11,0.11,126,0
FSHPR.US,D,20241015,000000,0.1168,0.1168,0.1102,0.1102,2489,0
FSHPR.US,D,20241022,000000,0.1471,0.15,0.144,0.15,409813,0
FSHPR.US,D,20241023,000000,0.16,0.16,0.115506,0.16,34323,0
FSHPR.US,D,20241024,000000,0.16,0.16,0.16,0.16,670,0
FSHPR.US,D,20241025,000000,0.1885,0.2,0.1885,0.2,5388,0
FSHPR.US,D,20241028,000000,0.17,0.195,0.17,0.195,1152,0
FSHPR.US,D,20241029,000000,0.18,0.18,0.1451,0.1451,740,0
