<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTLF.US,D,20230919,000000,16,16,15.21,15.5,11987,0
FTLF.US,D,20230920,000000,15.9,15.9,15.6,15.6001,701,0
FTLF.US,D,20230921,000000,15.5838,15.5838,15.38,15.38,2832,0
FTLF.US,D,20230922,000000,15.41,15.41,15.41,15.41,153,0
FTLF.US,D,20230925,000000,15.455,15.5,15.3999,15.3999,2740,0
FTLF.US,D,20230926,000000,15.2101,15.2844,15.19,15.2844,5260,0
FTLF.US,D,20230927,000000,15.399,17.78,15.05,17.29,34828,0
FTLF.US,D,20230928,000000,17.5,19.5183,17.5,18.85,42277,0
FTLF.US,D,20230929,000000,18.025,18.85,18,18.26,22378,0
FTLF.US,D,20231002,000000,18.44,19.95,18.04,19.87,27232,0
FTLF.US,D,20231003,000000,20,20,19.0001,19.05,3234,0
FTLF.US,D,20231004,000000,19,20,18.53,18.62,7389,0
FTLF.US,D,20231005,000000,19.53,19.53,19.15,19.2537,16218,0
FTLF.US,D,20231006,000000,19.2506,19.5,19.09,19.49,2823,0
FTLF.US,D,20231009,000000,19.3299,19.99,19.04,19.6183,9538,0
FTLF.US,D,20231010,000000,19.64,19.9999,19.2711,19.75,1979,0
FTLF.US,D,20231011,000000,19.8499,19.8499,19.15,19.32,8181,0
FTLF.US,D,20231012,000000,19.6253,19.84,19.2601,19.4999,1586,0
FTLF.US,D,20231013,000000,19.25,20,19.25,19.56,4621,0
FTLF.US,D,20231016,000000,19.97,20.41,19.97,20.033,7944,0
FTLF.US,D,20231017,000000,19.61,20.25,19.16,20.25,7859,0
FTLF.US,D,20231018,000000,19.5,20.2,19.5,19.96,3365,0
FTLF.US,D,20231019,000000,19.998,20.47,19.998,20.3892,26737,0
FTLF.US,D,20231020,000000,20.2,20.55,20.2,20.4,2082,0
FTLF.US,D,20231023,000000,20.64,21.66,20.41,21.66,20697,0
FTLF.US,D,20231024,000000,21.75,22.74,20.711,21.9,49568,0
FTLF.US,D,20231025,000000,21.9001,22.39,21.9001,22.25,4280,0
FTLF.US,D,20231026,000000,22.25,22.25,21.34,21.96,2750,0
FTLF.US,D,20231027,000000,22.39,22.55,21.13,22.25,3707,0
FTLF.US,D,20231030,000000,22.3058,22.445,22,22.445,1494,0
FTLF.US,D,20231031,000000,21.5501,22.4899,21.5501,22.02,983,0
FTLF.US,D,20231101,000000,21.995,22.485,21.5001,22.0901,9744,0
FTLF.US,D,20231102,000000,22.49,22.49,22.1001,22.28,8214,0
FTLF.US,D,20231103,000000,22.1961,22.1961,21.7,22.05,6246,0
FTLF.US,D,20231106,000000,21.6155,22.485,21.6155,22.095,2049,0
FTLF.US,D,20231107,000000,21.51,22.465,21.51,22.28,2967,0
FTLF.US,D,20231108,000000,21.95,21.95,21.95,21.95,797,0
FTLF.US,D,20231110,000000,21.96,22.28,21.5,22,2865,0
FTLF.US,D,20231113,000000,22,22,19.0101,19.9999,17204,0
FTLF.US,D,20231114,000000,19.5381,19.9999,18,19.09,23880,0
FTLF.US,D,20231115,000000,19.47,20.569,19.1485,20.3675,3192,0
FTLF.US,D,20231116,000000,19.835,19.835,19.835,19.835,822,0
FTLF.US,D,20231117,000000,19.2835,19.9999,18.86,19.9999,7906,0
FTLF.US,D,20231120,000000,19.98,20,19.9,19.9,3149,0
FTLF.US,D,20231121,000000,19.95,19.95,19.05,19.9,739,0
FTLF.US,D,20231122,000000,19.35,19.95,18.8872,19.6,2833,0
FTLF.US,D,20231124,000000,19.5,19.95,19.25,19.5,1744,0
FTLF.US,D,20231127,000000,19.505,19.7469,19.2,19.2,2599,0
FTLF.US,D,20231128,000000,19.5598,19.95,19.1,19.88,12597,0
FTLF.US,D,20231129,000000,19.05,19.9,19.05,19.13,6941,0
FTLF.US,D,20231130,000000,19.0601,19.1999,19.005,19.17,4084,0
FTLF.US,D,20231201,000000,19.1545,19.8,19.02,19.8,2252,0
FTLF.US,D,20231204,000000,19.8,19.8,19.16,19.16,10937,0
FTLF.US,D,20231205,000000,19.4937,19.79,19.33,19.33,9159,0
FTLF.US,D,20231206,000000,19.265,19.8,19.265,19.8,11609,0
FTLF.US,D,20231207,000000,20.14,20.15,19.73,20.15,14213,0
FTLF.US,D,20231208,000000,19.83,20.16,19.5671,20.16,7139,0
FTLF.US,D,20231211,000000,20,20.63,20,20.3289,10472,0
FTLF.US,D,20231212,000000,21.04,21.65,20.175,21.6,7960,0
FTLF.US,D,20231213,000000,21.56,22.63,21.5,22.03,12478,0
FTLF.US,D,20231214,000000,21.72,23.17,21.72,22.29,11407,0
FTLF.US,D,20231215,000000,22.78,25.84,22.15,22.15,68719,0
FTLF.US,D,20231218,000000,22.68,24.8433,21.08,21.08,12646,0
FTLF.US,D,20231219,000000,21.01,21.7095,20.79,20.79,15219,0
FTLF.US,D,20231220,000000,21.2,22.5122,19.83,21.24,10734,0
FTLF.US,D,20231221,000000,21.7,21.7,20.56,21.33,3372,0
FTLF.US,D,20231222,000000,21.33,21.64,20.66,21.07,6862,0
FTLF.US,D,20231226,000000,21.72,21.72,19,19.62,18292,0
FTLF.US,D,20231227,000000,19.7,19.7,19.05,19.15,7626,0
FTLF.US,D,20231228,000000,19.5,20.34,18.87,18.87,4953,0
FTLF.US,D,20231229,000000,19.05,19.324,18.92,19.1,8989,0
FTLF.US,D,20240102,000000,19.1,19.49,19,19.4899,5916,0
FTLF.US,D,20240103,000000,19.475,19.8418,19.1,19.79,4043,0
FTLF.US,D,20240104,000000,19.7147,20.19,19.1169,19.5001,3609,0
FTLF.US,D,20240105,000000,19.55,19.55,19.55,19.55,180,0
FTLF.US,D,20240108,000000,19.5,20.18,19.0101,20.18,1721,0
FTLF.US,D,20240109,000000,20.15,20.15,19.15,19.45,10927,0
FTLF.US,D,20240110,000000,19.31,19.31,19.23,19.26,3165,0
FTLF.US,D,20240111,000000,19.95,19.95,19.2,19.2,698,0
FTLF.US,D,20240112,000000,19.35,19.35,19.35,19.35,232,0
FTLF.US,D,20240116,000000,19.3,19.84,19.3,19.84,829,0
FTLF.US,D,20240117,000000,19.8195,20.47,19.03,20.47,2389,0
FTLF.US,D,20240118,000000,19.5446,21.8605,19.5446,21.8605,5882,0
FTLF.US,D,20240119,000000,20.84,21.975,20.84,21.975,4375,0
FTLF.US,D,20240122,000000,21.52,21.785,21.52,21.785,729,0
FTLF.US,D,20240123,000000,22.01,22.5125,21.95,22.48,5725,0
FTLF.US,D,20240124,000000,21.68,21.75,21.68,21.75,336,0
FTLF.US,D,20240125,000000,21.53,21.53,21.53,21.53,248,0
FTLF.US,D,20240126,000000,21.68,23,21.68,22.53,11215,0
FTLF.US,D,20240129,000000,22.6,22.74,21.81,22.01,3543,0
FTLF.US,D,20240130,000000,22.16,22.285,22.0001,22.285,1788,0
FTLF.US,D,20240131,000000,22.475,22.475,22,22.23,7076,0
FTLF.US,D,20240201,000000,22.25,22.25,21.3207,22,7781,0
FTLF.US,D,20240202,000000,22.1414,22.25,21.49,21.86,27468,0
FTLF.US,D,20240205,000000,21.3569,21.85,20.871,20.871,1479,0
FTLF.US,D,20240206,000000,21.4099,22,21.4099,22,4389,0
FTLF.US,D,20240207,000000,22.05,22.85,21.9937,22.3,2612,0
FTLF.US,D,20240208,000000,22.2201,22.6704,22.2201,22.51,3965,0
FTLF.US,D,20240209,000000,23.2,23.2,22.5,22.5,1898,0
FTLF.US,D,20240212,000000,22.7,23.3,22,22,5314,0
FTLF.US,D,20240213,000000,22,22.115,21.3,21.705,5723,0
FTLF.US,D,20240214,000000,22.04,22.495,22,22.1,2922,0
FTLF.US,D,20240215,000000,22,22.25,21.834,22.0501,9314,0
FTLF.US,D,20240216,000000,22.251,23.19,21.52,22.3685,1450,0
FTLF.US,D,20240220,000000,21.71,22.7,21.53,22.4817,1660,0
FTLF.US,D,20240221,000000,22.0834,22.5,22.0834,22.5,601,0
FTLF.US,D,20240222,000000,22.21,22.3511,22.0001,22.19,3009,0
FTLF.US,D,20240223,000000,22.085,22.3,22.085,22.2199,3532,0
FTLF.US,D,20240226,000000,22.25,22.3307,22.25,22.3307,1342,0
FTLF.US,D,20240227,000000,22.225,22.4497,22.225,22.43,6048,0
FTLF.US,D,20240228,000000,22.2435,23.1881,22.2435,22.6,10140,0
FTLF.US,D,20240229,000000,22.715,22.72,22.467,22.467,2477,0
FTLF.US,D,20240301,000000,22.57,23.0126,22.0101,22.585,5301,0
FTLF.US,D,20240304,000000,22.885,22.8936,22.59,22.59,4316,0
FTLF.US,D,20240305,000000,22.2729,22.2729,22.2729,22.2729,820,0
FTLF.US,D,20240306,000000,22.1972,22.1972,22,22.0474,1862,0
