<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GECCH.US,D,20240927,000000,24.91,24.97,24.865,24.88,21500,0
GECCH.US,D,20240930,000000,24.92,25,24.86,24.94,20673,0
GECCH.US,D,20241001,000000,24.9,24.99,24.85,24.99,23041,0
GECCH.US,D,20241002,000000,24.99,25,24.9,24.9999,27588,0
GECCH.US,D,20241003,000000,25,25.265,24.9,24.98,21325,0
GECCH.US,D,20241004,000000,24.97,25.01,24.92,24.99,15088,0
GECCH.US,D,20241007,000000,25.16,25.195,24.95,25,26095,0
GECCH.US,D,20241008,000000,24.97,25.01,24.94,25,11512,0
GECCH.US,D,20241009,000000,24.95,25.08,24.95,24.98,17476,0
GECCH.US,D,20241010,000000,24.98,24.99,24.9,24.95,28454,0
GECCH.US,D,20241011,000000,24.95,24.98,24.91,24.95,11446,0
GECCH.US,D,20241014,000000,24.97,25,24.97,24.99,13126,0
GECCH.US,D,20241015,000000,24.99,25,24.95,24.99,7003,0
GECCH.US,D,20241016,000000,24.99,25,24.95,24.99,10599,0
GECCH.US,D,20241017,000000,25,25,24.99,25,4175,0
GECCH.US,D,20241018,000000,25,25.255,24.98,25.255,12122,0
GECCH.US,D,20241021,000000,25.02,25.02,25,25.02,1184,0
GECCH.US,D,20241022,000000,25.1,25.1,25.05,25.055,2397,0
GECCH.US,D,20241023,000000,25.1,25.115,25.0875,25.0875,5405,0
GECCH.US,D,20241024,000000,25.09,25.0999,25.08,25.08,3353,0
GECCH.US,D,20241025,000000,25.1,25.1999,25.08,25.12,7519,0
GECCH.US,D,20241028,000000,25.2299,25.2299,25.01,25.02,2913,0
GECCH.US,D,20241029,000000,25.11,25.18,25.02,25.15,4741,0
