<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIFT.US,D,20240808,000000,4.22,4.22,3.65,3.8799,12487,0
GIFT.US,D,20240809,000000,3.7,3.81,3.55,3.729,4609,0
GIFT.US,D,20240812,000000,4.15,4.15,3.7,3.89,4146,0
GIFT.US,D,20240813,000000,3.82,3.89,3.6006,3.89,3729,0
GIFT.US,D,20240814,000000,3.66,3.8897,3.65,3.7,1341,0
GIFT.US,D,20240815,000000,3.75,3.8899,3.4,3.54,5851,0
GIFT.US,D,20240816,000000,3.79,3.82,2.9437,3.15,9187,0
GIFT.US,D,20240819,000000,3.12,3.25,2.95,2.98,3140,0
GIFT.US,D,20240820,000000,3.3511,3.3511,3.0501,3.14,2537,0
GIFT.US,D,20240821,000000,3.12,3.13,3.05,3.13,7250,0
GIFT.US,D,20240822,000000,3.08,3.1333,3.04,3.13,798,0
GIFT.US,D,20240823,000000,3.05,3.1,3,3.1,1395,0
GIFT.US,D,20240826,000000,3.12,3.38,3.12,3.27,2714,0
GIFT.US,D,20240827,000000,3.25,4.16,3.2,3.5,90293,0
GIFT.US,D,20240828,000000,3.53,3.9899,3.2749,3.48,58480,0
GIFT.US,D,20240829,000000,3.43,3.85,3.2,3.4399,21082,0
GIFT.US,D,20240830,000000,3.25,3.4607,2.9601,2.99,20429,0
GIFT.US,D,20240903,000000,3.1,3.43,2.8,3.25,9148,0
GIFT.US,D,20240904,000000,3.35,3.35,2.86,2.92,8100,0
GIFT.US,D,20240905,000000,2.92,3.14,2.78,2.78,6800,0
GIFT.US,D,20240906,000000,2.82,3.1999,2.72,2.88,6400,0
GIFT.US,D,20240909,000000,2.99,3.3,2.73,3.08,70100,0
GIFT.US,D,20240910,000000,3.17,3.3099,2.86,3.255,70700,0
GIFT.US,D,20240911,000000,3.11,3.41,3.07,3.38,27500,0
GIFT.US,D,20240912,000000,3.93,3.93,3.1901,3.46,27900,0
GIFT.US,D,20240913,000000,3.67,3.69,3.1,3.56,33800,0
GIFT.US,D,20240916,000000,3.3401,3.78,3.3401,3.5,21200,0
GIFT.US,D,20240917,000000,3.61,3.64,3.23,3.56,24400,0
GIFT.US,D,20240918,000000,3.69,3.71,3.34,3.45,36800,0
GIFT.US,D,20240919,000000,3.55,3.72,3.0801,3.5,17100,0
GIFT.US,D,20240920,000000,3.6437,3.8625,3.35,3.58,209200,0
GIFT.US,D,20240923,000000,3.51,3.7499,2.815,2.91,14900,0
GIFT.US,D,20240924,000000,3.2694,3.2694,2.51,2.52,13300,0
GIFT.US,D,20240925,000000,2.78,2.99,2.5,2.51,13100,0
GIFT.US,D,20240926,000000,2.75,2.78,2.035,2.2,44300,0
GIFT.US,D,20240927,000000,2.13,2.23,1.55,1.93,84400,0
GIFT.US,D,20240930,000000,1.87,2.209,1.714,1.83,40901,0
GIFT.US,D,20241001,000000,1.75,2.165,1.75,2,79828,0
GIFT.US,D,20241002,000000,2.12,2.54,1.83,1.93,139739,0
GIFT.US,D,20241003,000000,1.87,2.28,1.87,1.99,44630,0
GIFT.US,D,20241004,000000,1.95,2.14,1.8,1.87,51159,0
GIFT.US,D,20241007,000000,2.0023,2.0023,1.53,1.65,94340,0
GIFT.US,D,20241008,000000,1.75,1.89,1.26,1.35,93175,0
GIFT.US,D,20241009,000000,1.41,1.6115,1.41,1.45,51650,0
GIFT.US,D,20241010,000000,1.478,1.54,1.3,1.43,91183,0
GIFT.US,D,20241011,000000,1.42,1.54,1.42,1.42,55766,0
GIFT.US,D,20241014,000000,1.42,1.51,1.42,1.42,18595,0
GIFT.US,D,20241015,000000,1.4201,1.6246,1.42,1.42,11877,0
GIFT.US,D,20241016,000000,1.42,1.5199,1.42,1.49,11013,0
GIFT.US,D,20241017,000000,1.49,1.6204,1.49,1.59,8816,0
GIFT.US,D,20241018,000000,1.685,1.7781,1.44,1.49,18742,0
GIFT.US,D,20241021,000000,1.55,1.55,1.45,1.47,3723,0
GIFT.US,D,20241022,000000,1.43,1.5,1.43,1.5,13876,0
GIFT.US,D,20241023,000000,1.49,1.5299,1.431,1.5299,13944,0
GIFT.US,D,20241024,000000,1.53,1.675,1.53,1.64,15985,0
GIFT.US,D,20241025,000000,1.61,1.84,1.6,1.67,72149,0
GIFT.US,D,20241028,000000,1.7,1.7159,1.67,1.67,7743,0
GIFT.US,D,20241029,000000,1.72,1.73,1.43,1.73,60732,0
